,Season,Name,x2B%,2B%
153,2019,Eric Thames,0.488,0.501
401,2019,Jose Ramirez,0.487,0.609
352,2015,Hanley Ramirez,0.497,0.279
479,2018,Xander Bogaerts,0.493,0.776
309,2017,Kendrys Morales,0.477,0.411
890,2019,Joey Votto,0.513,0.526
220,2019,Michael Conforto,0.47,0.448
788,2021,Trent Grisham,0.495,0.531
244,2018,Gleyber Torres,0.487,0.331
533,2019,Avisail Garcia,0.458,0.472
819,2015,Asdrubal Cabrera,0.468,0.508
1148,2021,Raimel Tapia,0.419,0.488
242,2018,Salvador Perez,0.513,0.423
169,2017,Yonder Alonso,0.498,0.422
851,2018,Ian Kinsler,0.448,0.487
509,2019,Brian Anderson,0.479,0.635
997,2016,J.T. Realmuto,0.476,0.569
862,2018,Trea Turner,0.477,0.365
427,2019,Ian Desmond,0.456,0.643
58,2019,Kyle Schwarber,0.477,0.475
777,2019,Chris Taylor,0.501,0.7
910,2018,Ketel Marte,0.481,0.448
170,2019,Matt Chapman,0.456,0.537
911,2017,Hunter Pence,0.385,0.241
747,2015,Starling Marte,0.496,0.474
68,2017,Lucas Duda,0.485,0.57
360,2018,Mike Moustakas,0.467,0.52
679,2018,Niko Goodrum,0.481,0.589
624,2019,Willy Adames,0.459,0.428
1131,2019,Robbie Grossman,0.488,0.436
1119,2017,Delino DeShields,0.424,0.341
848,2018,Dansby Swanson,0.48,0.469
1186,2016,Yunel Escobar,0.48,0.494
373,2021,Brandon Crawford,0.45,0.546
1214,2016,Ender Inciarte,0.409,0.415
297,2016,Matt Holliday,0.447,0.469
476,2019,Maikel Franco,0.453,0.397
413,2021,Bo Bichette,0.48,0.435
602,2017,Yangervis Solarte,0.423,0.41
354,2021,J.D. Martinez,0.5,0.662
431,2021,Dansby Swanson,0.45,0.505
597,2018,Carlos Santana,0.449,0.412
