,Season,Name,xK%,K%,Deviation,Deviation%
1261,2018,Kevin Pillar,19.601,18.1,1.501,8.293
1262,2019,Rougned Odor,25.941,30.6,-4.659,-15.225
1263,2019,Jurickson Profar,17.412,14.5,2.912,20.083
1264,2019,Jason Kipnis,18.29,17.2,1.09,6.337
1265,2018,Jon Jay,19.069,16.2,2.869,17.71
1266,2017,Brandon Crawford,21.145,19.8,1.345,6.793
1267,2010,Yunel Escobar,10.008,10.1,-0.092,-0.911
1268,2013,Matt Dominguez,16.153,16.3,-0.147,-0.902
1269,2012,Jhonny Peralta,17.886,17.9,-0.014,-0.078
1270,2014,Dayan Viciedo,20.015,21.7,-1.685,-7.765
1271,2016,Josh Harrison,15.631,14.6,1.031,7.062
1272,2010,Skip Schumaker,10.957,12.1,-1.143,-9.446
1273,2013,Michael Bourn,22.386,23.0,-0.614,-2.67
1274,2015,Jose Reyes,12.759,11.9,0.859,7.218
1275,2015,Salvador Perez,13.031,14.8,-1.769,-11.953
1276,2014,Jed Lowrie,12.244,14.0,-1.756,-12.543
1277,2019,Elvis Andrus,17.387,14.8,2.587,17.48
1278,2016,Joe Panik,9.023,8.9,0.123,1.382
1279,2012,Ichiro Suzuki,6.726,9.2,-2.474,-26.891
1280,2010,Yadier Molina,10.091,9.8,0.291,2.969
1281,2018,Nick Ahmed,21.288,19.3,1.988,10.301
1282,2012,Ben Revere,7.58,9.8,-2.22,-22.653
1283,2012,Jamey Carroll,13.982,12.1,1.882,15.554
1284,2012,Kelly Johnson,27.562,27.4,0.162,0.591
1285,2014,Jordy Mercer,17.548,16.0,1.548,9.675
1286,2016,Yonder Alonso,12.546,13.9,-1.354,-9.741
1287,2013,Erick Aybar,10.789,10.0,0.789,7.89
1288,2014,Yunel Escobar,12.354,11.3,1.054,9.327
1289,2014,Gerardo Parra,14.808,17.4,-2.592,-14.897
1290,2016,Marwin Gonzalez,23.217,22.8,0.417,1.829
1291,2010,Elvis Andrus,15.973,14.2,1.773,12.486
1292,2013,Paul Konerko,15.51,14.2,1.31,9.225
1293,2011,Ryan Ludwick,21.987,22.2,-0.213,-0.959
1294,2012,Zack Cozart,18.358,18.8,-0.442,-2.351
1295,2010,Chone Figgins,16.145,16.2,-0.055,-0.34
1296,2012,Rafael Furcal,9.874,10.7,-0.826,-7.72
1297,2018,Ian Kinsler,12.547,12.0,0.547,4.558
1298,2015,Logan Morrison,16.269,15.9,0.369,2.321
1299,2016,Leonys Martin,25.669,25.9,-0.231,-0.892
1300,2019,Kevin Pillar,13.638,13.8,-0.162,-1.174
1301,2017,Freddy Galvis,16.882,16.7,0.182,1.09
1302,2012,Colby Rasmus,21.871,23.8,-1.929,-8.105
1303,2016,Melvin Upton Jr.,28.535,28.8,-0.265,-0.92
1304,2011,Danny Valencia,15.222,16.8,-1.578,-9.393
1305,2010,Kurt Suzuki,8.84,9.0,-0.16,-1.778
1306,2012,Michael Young,10.461,10.8,-0.339,-3.139
1307,2018,Yolmer Sanchez,21.915,20.8,1.115,5.361
1308,2013,Jose Altuve,9.843,12.6,-2.757,-21.881
1309,2010,Alberto Callaspo,3.478,7.0,-3.522,-50.314
1310,2011,Juan Pierre,6.137,5.8,0.337,5.81
1311,2010,Kevin Kouzmanoff,15.543,16.4,-0.857,-5.226
1312,2018,Ryon Healy,20.602,21.6,-0.998,-4.62
1313,2013,Brandon Crawford,19.833,17.5,2.333,13.331
1314,2013,Elvis Andrus,14.381,13.9,0.481,3.46
1315,2015,Avisail Garcia,24.402,23.5,0.902,3.838
1316,2012,Jesus Montero,17.086,17.9,-0.814,-4.547
1317,2011,Aubrey Huff,14.035,15.5,-1.465,-9.452
1318,2013,Jimmy Rollins,13.661,14.0,-0.339,-2.421
1319,2017,Mark Trumbo,24.581,24.7,-0.119,-0.482
1320,2010,Jeff Francoeur,16.371,16.1,0.271,1.683
1321,2018,Evan Longoria,18.674,19.7,-1.026,-5.208
1322,2016,Kevin Pillar,17.562,15.4,2.162,14.039
1323,2012,Gordon Beckham,17.212,15.3,1.912,12.497
1324,2017,Jose Bautista,25.68,24.8,0.88,3.548
1325,2010,Ronny Cedeno,20.256,21.1,-0.844,-4.0
1326,2019,Leury Garcia,20.618,22.5,-1.882,-8.364
1327,2018,Tim Anderson,23.721,24.6,-0.879,-3.573
1328,2015,Ian Desmond,25.494,29.2,-3.706,-12.692
1329,2011,Darwin Barney,12.139,11.7,0.439,3.752
1330,2015,Jacoby Ellsbury,15.742,17.2,-1.458,-8.477
1331,2018,Freddy Galvis,23.311,22.4,0.911,4.067
1332,2016,Danny Espinosa,28.463,29.0,-0.537,-1.852
1333,2014,Xander Bogaerts,24.041,23.2,0.841,3.625
1334,2010,Franklin Gutierrez,22.765,21.8,0.965,4.427
1335,2018,Dansby Swanson,24.576,22.9,1.676,7.319
1336,2010,Melky Cabrera,11.862,12.6,-0.738,-5.857
1337,2010,Aaron Hill,13.58,14.7,-1.12,-7.619
1338,2014,Austin Jackson,21.085,22.0,-0.915,-4.159
1339,2015,Elvis Andrus,12.612,11.8,0.812,6.881
1340,2018,Eduardo Nunez,11.529,13.7,-2.171,-15.847
1341,2010,Orlando Cabrera,7.281,9.9,-2.619,-26.455
1342,2017,Maikel Franco,16.765,15.2,1.565,10.296
1343,2014,DJ LeMahieu,16.046,18.0,-1.954,-10.856
1344,2012,Eric Hosmer,15.614,15.9,-0.286,-1.799
1345,2014,Jason Castro,25.716,29.5,-3.784,-12.827
1346,2014,Elvis Andrus,12.904,14.0,-1.096,-7.829
1347,2018,Amed Rosario,22.174,20.1,2.074,10.318
1348,2012,Cameron Maybin,18.564,19.6,-1.036,-5.286
1349,2012,J.J. Hardy,13.482,14.9,-1.418,-9.517
1350,2014,Adeiny Hechavarria,13.692,15.0,-1.308,-8.72
1351,2011,Aaron Hill,12.902,12.6,0.302,2.397
1352,2018,Jonathan Schoop,21.911,23.0,-1.089,-4.735
1353,2015,Andrelton Simmons,5.385,8.2,-2.815,-34.329
1354,2014,Aaron Hill,15.273,17.0,-1.727,-10.159
1355,2011,Ian Desmond,19.175,21.8,-2.625,-12.041
1356,2014,Jason Kipnis,18.692,18.0,0.692,3.844
1357,2019,Khris Davis,27.521,27.4,0.121,0.442
1358,2014,Chris Johnson,24.771,26.0,-1.229,-4.727
1359,2013,Zack Cozart,16.776,16.5,0.276,1.673
1360,2017,Tim Anderson,25.202,26.7,-1.498,-5.61
1361,2013,Eric Young Jr.,19.053,16.7,2.353,14.09
1362,2015,Starlin Castro,15.97,15.7,0.27,1.72
1363,2012,Justin Smoak,17.761,20.7,-2.939,-14.198
1364,2018,Manuel Margot,17.511,17.0,0.511,3.006
1365,2010,Nyjer Morgan,17.005,15.3,1.705,11.144
1366,2018,Kyle Seager,20.809,21.9,-1.091,-4.982
1367,2015,Pablo Sandoval,15.319,14.5,0.819,5.648
1368,2012,Brennan Boesch,17.416,20.7,-3.284,-15.865
1369,2014,Jay Bruce,25.285,27.3,-2.015,-7.381
1370,2012,Mike Aviles,15.068,14.1,0.968,6.865
1371,2013,Mike Moustakas,15.457,16.1,-0.643,-3.994
1372,2014,Billy Hamilton,19.013,19.1,-0.087,-0.455
1373,2012,Darwin Barney,9.547,9.9,-0.353,-3.566
1374,2015,Yadier Molina,10.221,11.1,-0.879,-7.919
1375,2015,Jace Peterson,20.977,20.1,0.877,4.363
1376,2010,Erick Aybar,14.445,13.8,0.645,4.674
1377,2010,Ryan Theriot,11.961,11.6,0.361,3.112
1378,2017,Albert Pujols,17.003,14.6,2.403,16.459
1379,2012,Jeff Francoeur,18.785,19.7,-0.915,-4.645
1380,2011,Vernon Wells,13.519,16.3,-2.781,-17.061
1381,2011,Gordon Beckham,20.32,19.9,0.42,2.111
1382,2016,Freddy Galvis,19.066,21.8,-2.734,-12.541
1383,2012,Yunel Escobar,10.382,11.5,-1.118,-9.722
1384,2018,Yangervis Solarte,12.685,14.2,-1.515,-10.669
1385,2015,Freddy Galvis,18.316,17.1,1.216,7.111
1386,2017,Carlos Beltran,18.519,20.0,-1.481,-7.405
1387,2018,Kole Calhoun,23.688,24.1,-0.412,-1.71
1388,2016,Jose Iglesias,12.645,9.7,2.945,30.361
1389,2015,Jimmy Rollins,14.649,15.3,-0.651,-4.255
1390,2012,Alexei Ramirez,12.513,12.4,0.113,0.911
1391,2011,Mark Ellis,15.916,14.5,1.416,9.766
1392,2016,Jason Heyward,13.717,15.7,-1.983,-12.631
1393,2018,Miguel Rojas,14.362,13.1,1.262,9.634
1394,2018,Victor Martinez,10.774,9.6,1.174,12.229
1395,2011,Alex Gonzalez,18.517,21.2,-2.683,-12.656
1396,2019,Yolmer Sanchez,22.199,21.1,1.099,5.209
1397,2013,Ichiro Suzuki,13.099,11.4,1.699,14.904
1398,2019,Brandon Crawford,22.531,20.9,1.631,7.804
1399,2011,Yuniesky Betancourt,9.136,10.8,-1.664,-15.407
1400,2011,Ichiro Suzuki,7.959,9.6,-1.641,-17.094
1401,2014,Mike Moustakas,15.015,14.8,0.215,1.453
1402,2015,Erick Aybar,10.283,11.4,-1.117,-9.798
1403,2015,Angel Pagan,12.459,16.9,-4.441,-26.278
1404,2013,Starlin Castro,17.66,18.3,-0.64,-3.497
1405,2014,Domonic Brown,17.251,17.8,-0.549,-3.084
1406,2014,Omar Infante,9.165,11.8,-2.635,-22.331
1407,2011,Alcides Escobar,14.973,12.2,2.773,22.73
1408,2011,Jason Bartlett,18.153,15.9,2.253,14.17
1409,2015,Alexei Ramirez,11.203,10.9,0.303,2.78
1410,2014,Derek Jeter,12.002,13.7,-1.698,-12.394
1411,2017,Billy Hamilton,18.871,21.0,-2.129,-10.138
1412,2019,Mallex Smith,24.433,24.9,-0.467,-1.876
1413,2016,Alcides Escobar,17.505,14.1,3.405,24.149
1414,2018,Billy Hamilton,21.675,23.7,-2.025,-8.544
1415,2014,Melvin Upton Jr.,28.451,29.7,-1.249,-4.205
1416,2018,Dee Strange-Gordon,13.346,13.6,-0.254,-1.868
1417,2011,Miguel Olivo,27.719,27.6,0.119,0.431
1418,2017,Dansby Swanson,22.018,21.8,0.218,1.0
1419,2012,Jemile Weeks,15.664,13.7,1.964,14.336
1420,2011,Casey McGehee,15.479,17.3,-1.821,-10.526
1421,2015,Michael A. Taylor,29.145,30.9,-1.755,-5.68
1422,2012,Dustin Ackley,15.858,18.6,-2.742,-14.742
1423,2014,Andrelton Simmons,8.867,10.4,-1.533,-14.74
1424,2017,Jose Peraza,14.423,13.5,0.923,6.837
1425,2017,Rougned Odor,22.145,24.9,-2.755,-11.064
1426,2014,Jean Segura,13.481,12.6,0.881,6.992
1427,2012,Casey Kotchman,10.252,9.8,0.452,4.612
1428,2012,Drew Stubbs,26.878,30.5,-3.622,-11.875
1429,2015,Alcides Escobar,14.311,11.3,3.011,26.646
1430,2010,Alcides Escobar,14.551,12.7,1.851,14.575
1431,2010,Jose Lopez,9.323,10.6,-1.277,-12.047
1432,2017,Alex Gordon,22.423,23.3,-0.877,-3.764
1433,2014,Allen Craig,20.258,22.4,-2.142,-9.562
1434,2019,Orlando Arcia,21.107,20.0,1.107,5.535
1435,2017,Alcides Escobar,16.554,16.2,0.354,2.185
1436,2015,Jean Segura,15.085,15.9,-0.815,-5.126
1437,2011,Alex Rios,10.474,11.9,-1.426,-11.983
1438,2015,Wilson Ramos,18.589,20.0,-1.411,-7.055
1439,2016,Alexei Ramirez,14.513,12.5,2.013,16.104
1440,2018,Alcides Escobar,17.039,13.9,3.139,22.583
1441,2014,Matt Dominguez,20.036,20.6,-0.564,-2.738
1442,2016,Adeiny Hechavarria,13.825,13.3,0.525,3.947
1443,2015,Chris Owings,24.444,26.1,-1.656,-6.345
1444,2014,Zack Cozart,14.554,14.5,0.054,0.372
1445,2013,Darwin Barney,12.597,11.5,1.097,9.539
1446,2013,Adeiny Hechavarria,14.474,16.6,-2.126,-12.807
1447,2010,Cesar Izturis,10.139,10.3,-0.161,-1.563
1448,2013,Alcides Escobar,14.223,13.1,1.123,8.573
1449,2018,Chris Davis,31.322,36.8,-5.478,-14.886
