,Season,Name,xK%,K%,Deviation,Deviation%
999,2017,Kendrys Morales,22.328,21.7,0.628,2.894
1000,2011,Vladimir Guerrero,9.576,9.5,0.076,0.8
1001,2014,Jimmy Rollins,16.72,16.4,0.32,1.951
1002,2013,Jon Jay,16.175,16.4,-0.225,-1.372
1003,2013,Brian Dozier,18.549,19.3,-0.751,-3.891
1004,2014,Casey McGehee,13.375,14.8,-1.425,-9.628
1005,2013,Josh Hamilton,23.866,24.8,-0.934,-3.766
1006,2017,Melky Cabrera,9.63,11.1,-1.47,-13.243
1007,2012,Brett Lawrie,16.064,16.0,0.064,0.4
1008,2011,Mitch Moreland,17.375,18.0,-0.625,-3.472
1009,2019,Brandon Belt,19.745,20.6,-0.855,-4.15
1010,2018,Yonder Alonso,20.043,21.4,-1.357,-6.341
1011,2018,Jose Peraza,10.623,11.0,-0.377,-3.427
1012,2011,Jayson Werth,22.367,24.7,-2.333,-9.445
1013,2014,Ian Kinsler,10.113,10.9,-0.787,-7.22
1014,2010,Orlando Hudson,12.676,15.6,-2.924,-18.744
1015,2013,Todd Frazier,21.404,20.8,0.604,2.904
1016,2011,Elvis Andrus,11.832,11.1,0.732,6.595
1017,2018,Joe Mauer,15.768,15.8,-0.032,-0.203
1018,2015,Asdrubal Cabrera,18.491,19.4,-0.909,-4.686
1019,2019,Alex Gordon,16.858,15.8,1.058,6.696
1020,2016,Ender Inciarte,9.76,11.8,-2.04,-17.288
1021,2016,Didi Gregorius,14.379,13.7,0.679,4.956
1022,2016,Corey Dickerson,24.958,24.5,0.458,1.869
1023,2016,Adam Jones,19.222,17.1,2.122,12.409
1024,2014,James Loney,11.361,12.3,-0.939,-7.634
1025,2019,Miguel Cabrera,19.507,19.7,-0.193,-0.98
1026,2019,Hanser Alberto,10.365,9.1,1.265,13.901
1027,2016,Nomar Mazara,19.187,19.7,-0.513,-2.604
1028,2019,Amed Rosario,19.791,18.9,0.891,4.714
1029,2010,Ty Wigginton,18.58,17.9,0.68,3.799
1030,2013,Gerardo Parra,15.964,15.1,0.864,5.722
1031,2013,Yoenis Cespedes,23.112,23.9,-0.788,-3.297
1032,2010,Derek Jeter,13.673,14.3,-0.627,-4.385
1033,2017,Hanley Ramirez,21.12,21.0,0.12,0.571
1034,2012,Daniel Murphy,11.941,13.4,-1.459,-10.888
1035,2014,Dustin Pedroia,13.654,12.3,1.354,11.008
1036,2019,David Fletcher,10.374,9.8,0.574,5.857
1037,2015,Martin Prado,12.959,12.3,0.659,5.358
1038,2018,Marwin Gonzalez,22.268,22.8,-0.532,-2.333
1039,2017,Nomar Mazara,21.139,20.6,0.539,2.617
1040,2011,Kosuke Fukudome,19.066,18.2,0.866,4.758
1041,2016,Brett Gardner,15.624,16.7,-1.076,-6.443
1042,2011,Jamey Carroll,13.191,11.4,1.791,15.711
1043,2010,Ben Zobrist,17.235,16.3,0.935,5.736
1044,2015,Billy Burns,12.815,14.6,-1.785,-12.226
1045,2019,Dansby Swanson,24.052,22.8,1.252,5.491
1046,2015,Kole Calhoun,22.548,23.9,-1.352,-5.657
1047,2015,Evan Gattis,17.698,19.7,-2.002,-10.162
1048,2015,Marlon Byrd,25.622,26.7,-1.078,-4.037
1049,2019,Victor Robles,21.104,22.7,-1.596,-7.031
1050,2014,Yangervis Solarte,11.017,10.8,0.217,2.009
1051,2016,Addison Russell,24.076,22.6,1.476,6.531
1052,2018,Max Kepler,15.758,15.7,0.058,0.369
1053,2010,James Loney,13.273,14.7,-1.427,-9.707
1054,2014,Mark Teixeira,21.435,21.5,-0.065,-0.302
1055,2016,Eugenio Suarez,23.777,24.7,-0.923,-3.737
1056,2011,Adam Lind,17.501,19.7,-2.199,-11.162
1057,2016,Cheslor Cuthbert,20.423,18.8,1.623,8.633
1058,2014,Evan Longoria,19.809,19.0,0.809,4.258
1059,2014,Garrett Jones,20.041,21.2,-1.159,-5.467
1060,2012,Alcides Escobar,17.474,15.4,2.074,13.468
1061,2014,Chase Headley,21.034,23.0,-1.966,-8.548
1062,2010,Howie Kendrick,15.293,14.3,0.993,6.944
1063,2012,Howie Kendrick,20.024,19.4,0.624,3.216
1064,2010,Pablo Sandoval,12.563,13.1,-0.537,-4.099
1065,2010,Brandon Inge,24.388,23.1,1.288,5.576
1066,2017,Brandon Phillips,15.16,12.1,3.06,25.289
1067,2017,Yadier Molina,14.938,13.6,1.338,9.838
1068,2011,Cameron Maybin,22.511,22.0,0.511,2.323
1069,2015,Ben Revere,8.309,10.1,-1.791,-17.733
1070,2015,Brandon Phillips,13.511,10.9,2.611,23.954
1071,2018,Starlin Castro,18.711,19.2,-0.489,-2.547
1072,2017,Ben Gamel,20.023,22.2,-2.177,-9.806
1073,2011,A.J. Pierzynski,7.015,6.6,0.415,6.288
1074,2018,Adam Jones,17.646,15.2,2.446,16.092
1075,2019,Cesar Hernandez,16.033,15.0,1.033,6.887
1076,2012,Jason Kipnis,17.326,16.2,1.126,6.951
1077,2013,Russell Martin,20.343,21.3,-0.957,-4.493
1078,2019,Colin Moran,20.872,23.3,-2.428,-10.421
1079,2011,Kelly Johnson,26.195,26.6,-0.405,-1.523
1080,2019,Jean Segura,12.731,11.8,0.931,7.89
1081,2018,Ian Desmond,24.329,23.6,0.729,3.089
1082,2016,Marcus Semien,21.979,22.4,-0.421,-1.879
1083,2010,Garrett Jones,18.752,18.8,-0.048,-0.255
1084,2017,Max Kepler,19.045,20.1,-1.055,-5.249
1085,2018,Odubel Herrera,23.288,20.4,2.888,14.157
1086,2016,Brandon Phillips,15.439,11.6,3.839,33.095
1087,2017,Kole Calhoun,21.255,20.5,0.755,3.683
1088,2019,Nick Ahmed,19.869,18.1,1.769,9.773
1089,2014,Dioner Navarro,14.949,14.6,0.349,2.39
1090,2016,Scooter Gennett,19.105,21.0,-1.895,-9.024
1091,2014,Alexei Ramirez,12.552,12.3,0.252,2.049
1092,2014,Coco Crisp,13.973,12.3,1.673,13.602
1093,2014,David Freese,22.722,24.3,-1.578,-6.494
1094,2014,Eric Hosmer,15.998,17.0,-1.002,-5.894
1095,2019,Jackie Bradley Jr.,27.617,27.3,0.317,1.161
1096,2013,Denard Span,10.056,11.6,-1.544,-13.31
1097,2013,A.J. Pierzynski,12.283,14.4,-2.117,-14.701
1098,2017,Yolmer Sanchez,22.131,20.8,1.331,6.399
1099,2017,Jackie Bradley Jr.,23.398,22.9,0.498,2.175
1100,2016,Starlin Castro,19.863,19.3,0.563,2.917
1101,2014,Desmond Jennings,20.737,19.9,0.837,4.206
1102,2019,Willy Adames,25.125,26.2,-1.075,-4.103
1103,2010,Chase Headley,19.786,20.6,-0.814,-3.951
1104,2017,Miguel Cabrera,20.595,20.8,-0.205,-0.986
1105,2012,Danny Espinosa,27.003,28.7,-1.697,-5.913
1106,2017,Ian Kinsler,15.38,14.0,1.38,9.857
1107,2017,Evan Longoria,16.664,16.1,0.564,3.503
1108,2017,Jose Reyes,15.838,14.1,1.738,12.326
1109,2016,Zack Cozart,16.85,16.5,0.35,2.121
1110,2017,Dee Strange-Gordon,13.457,13.4,0.057,0.425
1111,2013,Alberto Callaspo,8.339,9.1,-0.761,-8.363
1112,2014,Dee Strange-Gordon,16.933,16.5,0.433,2.624
1113,2017,Chris Davis,32.977,37.2,-4.223,-11.352
1114,2011,Jason Bay,20.361,21.4,-1.039,-4.855
1115,2016,Chase Utley,19.532,20.4,-0.868,-4.255
1116,2018,Jonathan Villar,26.904,26.8,0.104,0.388
1117,2017,Byron Buxton,28.436,29.4,-0.964,-3.279
1118,2016,Denard Span,13.726,12.4,1.326,10.694
1119,2011,David DeJesus,16.465,17.0,-0.535,-3.147
1120,2013,Yunel Escobar,12.706,12.6,0.106,0.841
1121,2015,Billy Butler,17.582,16.8,0.782,4.655
1122,2017,Yangervis Solarte,11.81,11.9,-0.09,-0.756
1123,2018,Yoan Moncada,29.63,33.4,-3.77,-11.287
1124,2016,Maikel Franco,17.926,16.8,1.126,6.702
1125,2013,Ryan Doumit,19.671,18.4,1.271,6.908
1126,2015,Marcus Semien,21.09,22.0,-0.91,-4.136
1127,2015,Nick Castellanos,25.363,25.5,-0.137,-0.537
1128,2018,Jeimer Candelario,24.823,25.8,-0.977,-3.787
1129,2016,Chase Headley,21.574,22.3,-0.726,-3.256
1130,2017,Danny Valencia,24.772,24.4,0.372,1.525
1131,2015,Joe Mauer,17.448,16.8,0.648,3.857
1132,2014,Billy Butler,15.466,15.9,-0.434,-2.73
1133,2018,Jackie Bradley Jr.,25.932,25.6,0.332,1.297
1134,2013,Mark Reynolds,30.206,30.6,-0.394,-1.288
1135,2012,Omar Infante,10.345,11.1,-0.755,-6.802
1136,2014,Alejandro De Aza,23.105,22.5,0.605,2.689
1137,2012,Shane Victorino,12.155,12.0,0.155,1.292
1138,2015,Kevin Pillar,16.236,13.5,2.736,20.267
1139,2016,Travis Shaw,22.03,25.1,-3.07,-12.231
1140,2010,Carlos Lee,8.072,9.1,-1.028,-11.297
1141,2015,Kolten Wong,15.663,15.5,0.163,1.052
1142,2010,Adam Lind,21.238,23.5,-2.262,-9.626
1143,2018,Eric Hosmer,21.062,21.0,0.062,0.295
1144,2017,Manuel Margot,19.784,20.0,-0.216,-1.08
1145,2014,Brandon Crawford,24.052,22.9,1.152,5.031
1146,2017,Orlando Arcia,20.569,18.2,2.369,13.016
1147,2015,Kevin Kiermaier,17.007,17.8,-0.793,-4.455
1148,2017,Jorge Polanco,14.318,14.3,0.018,0.126
1149,2014,Alex Rios,16.186,17.9,-1.714,-9.575
1150,2011,Juan Rivera,12.551,14.6,-2.049,-14.034
1151,2019,Eric Hosmer,23.465,24.4,-0.935,-3.832
1152,2010,Jhonny Peralta,17.009,16.7,0.309,1.85
1153,2010,Rajai Davis,12.015,13.9,-1.885,-13.561
1154,2013,Trevor Plouffe,19.149,21.5,-2.351,-10.935
1155,2012,Carlos Pena,29.609,30.3,-0.691,-2.281
1156,2015,Jay Bruce,20.286,22.3,-2.014,-9.031
1157,2015,Derek Norris,22.622,23.5,-0.878,-3.736
1158,2015,Aramis Ramirez,13.603,13.2,0.403,3.053
1159,2012,Desmond Jennings,20.757,21.3,-0.543,-2.549
1160,2014,David Wright,16.809,19.3,-2.491,-12.907
1161,2018,Ender Inciarte,12.764,13.0,-0.236,-1.815
1162,2018,Jason Kipnis,19.34,18.6,0.74,3.978
1163,2016,Jacoby Ellsbury,15.263,13.4,1.863,13.903
1164,2017,Jordy Mercer,15.713,15.8,-0.087,-0.551
