,MAE,RMSE,R2
1093,1.1223741935483873,1.384348538995637,0.9416937282820527
1094,1.2152258064516128,1.535757995048321,0.9156347408029818
1095,1.185316129032258,1.4532608894837933,0.9333563950841041
1096,1.2750193548387094,1.5884223863378892,0.9295966094483727
1097,1.1786516129032258,1.5131487379718513,0.9326993366196017
1098,1.3445483870967745,1.624902643237434,0.9270793010613937
1099,1.1238774193548384,1.4027310205912722,0.940573280807454
1100,1.088522580645161,1.380015738573179,0.9412208785008352
1101,1.1231935483870965,1.375497946199848,0.9366913850006764
1102,1.0956129032258064,1.4155541944480103,0.9381327738616122
1103,1.0436258064516128,1.3380039876501646,0.9347849242801696
1104,1.205806451612903,1.5124611602584452,0.9339126689757941
1105,1.2358967741935483,1.5172468019621974,0.9286854546382476
1106,1.2001741935483867,1.4706738087056905,0.9203096949673392
1107,1.2989225806451612,1.5733316140413423,0.9207807603847037
1108,1.1909677419354836,1.4374782668763848,0.9403893658151287
1109,1.0766193548387095,1.3806031547724862,0.9375513374353912
1110,1.1673677419354838,1.437465287098406,0.9467512996817822
1111,1.170567741935484,1.4207921643201542,0.9332878087229171
1112,1.1481096774193549,1.4678377448346565,0.9443484462442705
1113,1.222516129032258,1.4734124797502803,0.9329841430093397
1114,1.1403032258064516,1.4352551015243293,0.9425535444438524
1115,1.1276903225806454,1.4211567119779578,0.9377902959049619
1116,1.1298709677419354,1.380151632623118,0.9326348805479079
1117,1.2854967741935484,1.5988382717945047,0.9263456026702267
1118,1.203316129032258,1.4875262946984684,0.9310550924855616
1119,1.2297483870967745,1.5263279125974845,0.9223747658122418
1120,1.1777354838709675,1.5098996527221014,0.9311003196144545
1121,1.2881870967741935,1.604069467967181,0.9266254273884507
1122,1.1646516129032258,1.4734740581360772,0.9384532621083647
1123,1.1342580645161289,1.4369144361353579,0.9414337120279673
1124,1.2072064516129033,1.4827988161015835,0.9378872281604108
1125,1.102374193548387,1.4030900506819157,0.9439402611738184
1126,1.1255032258064515,1.381141918848313,0.9450982413656311
1127,1.122716129032258,1.4249825103623939,0.9214059711063334
1128,1.2988258064516127,1.6026950850002226,0.9193663053305225
1129,1.0397612903225808,1.3212887867777114,0.9457020076122153
1130,1.1441225806451614,1.4169858491792335,0.9321338273027631
1131,1.0272258064516129,1.2757801560032247,0.9472668208650149
1132,1.106832258064516,1.3852934544127138,0.9426943402887407
1133,1.2315935483870968,1.5201112204640306,0.9413416763607292
1134,1.0317870967741938,1.3674512363777247,0.940258043705972
1135,1.2516516129032256,1.5602535484605926,0.9309001500752704
1136,1.204174193548387,1.4681696856312119,0.9452447175422904
1137,1.160683870967742,1.427634456692428,0.9330762062127337
1138,1.1365677419354836,1.4398511930281255,0.9465682675357128
1139,1.1341032258064516,1.4458196380622486,0.9367977678876493
1140,1.1204129032258063,1.4420099726736715,0.9439510827246356
1141,1.1738000000000002,1.4718255703980072,0.9159699979062188
1142,1.0832645161290324,1.377175323249637,0.9395298320078037
1143,1.1234967741935487,1.4815690070262153,0.9324855307713441
1144,1.1174580645161292,1.3842389221331655,0.9418662336879714
1145,1.3512064516129032,1.6471601269673106,0.9306052125150893
1146,1.1531096774193548,1.4058797222907753,0.9215585484148009
1147,1.0428322580645162,1.2756827166456348,0.954365338945008
1148,1.2083677419354837,1.4530350416483644,0.9458237414077147
1149,1.1152064516129034,1.4012277404637552,0.9451027597207476
1150,1.1300709677419354,1.4162702881273257,0.9274617827795255
1151,1.1042645161290323,1.3555369867991967,0.940270245472135
1152,1.1758903225806454,1.4888532781543546,0.9340241013530998
1153,1.042774193548387,1.28535578606633,0.941263835245838
1154,1.1581935483870966,1.4666688435956472,0.9366466764480713
1155,1.1144967741935485,1.3996470499794331,0.9305199118439622
1156,1.1614193548387095,1.4409255358969804,0.9319437469515601
1157,1.1794516129032258,1.427085269961797,0.934693266471258
1158,1.2032903225806448,1.5531798101252297,0.9361455448084914
1159,1.1311096774193548,1.4309439609414611,0.9367168220860862
1160,1.0951870967741935,1.400721040128285,0.9429945763871194
1161,1.2236903225806453,1.5345171900150265,0.9245735640229477
1162,1.1190709677419355,1.3743328751117407,0.9382469917144807
1163,1.0968000000000002,1.3281323583477374,0.9530399922122177
1164,1.1380967741935482,1.4420278485969094,0.9274132306838204
1165,1.2173612903225806,1.52005014560747,0.927185455955594
1166,1.2212,1.498928326849639,0.9226751717234875
1167,1.202503225806452,1.4825824374620686,0.9378639395916287
1168,1.239696774193548,1.5269565788025496,0.938052510553774
1169,1.1110387096774195,1.3973003856515374,0.9369749787858971
1170,1.0765806451612903,1.3329140959179528,0.9408198514487917
1171,1.1846064516129031,1.512691892385995,0.9105703038244072
1172,1.2386,1.5358824530794728,0.9337941020684202
1173,1.0649290322580647,1.3772505382686517,0.9399388078832477
1174,1.1532774193548387,1.4490104476570744,0.9332555779370513
1175,1.1202774193548388,1.421272049506947,0.9423736239343966
1176,1.110116129032258,1.4131164735229491,0.93577741830447
1177,1.114490322580645,1.3878221323237865,0.9479371467504268
1178,1.1971741935483873,1.5150887038867267,0.9341507264487148
1179,1.1844000000000001,1.4874967628048266,0.9372753304604113
1180,1.0170967741935482,1.304793499914586,0.9430624528689977
1181,1.200625806451613,1.4999180042105098,0.9350219064178525
1182,1.150922580645161,1.4412295848091072,0.9439064100829039
1183,1.1132387096774194,1.3920408596153742,0.9329364221505567
1184,1.1431935483870967,1.428881563524649,0.9357504557218228
1185,1.254090322580645,1.5631166715994866,0.9263159662671485
1186,1.2468516129032259,1.525692523878699,0.9312709057010374
1187,1.145032258064516,1.4658320944201821,0.9303316873988293
1188,1.126406451612903,1.4504229527746324,0.9333062148702256
1189,1.1553612903225805,1.4575175027997922,0.9353513141239824
1190,1.1337419354838711,1.4187734457349352,0.9241588467111058
1191,1.1975096774193548,1.4491483594656327,0.9420968166199569
1192,1.116690322580645,1.4408424708504572,0.9252644816527942
1193,1.177206451612903,1.4876943169365007,0.9339798568990827
1194,1.1608645161290325,1.4862970484156364,0.9358306696707803
1195,1.1527935483870968,1.4475251961704803,0.9371385045779119
1196,1.2387419354838711,1.557122439091602,0.9324110491911707
1197,1.1244322580645163,1.4050294291487966,0.942735032667565
1198,1.1833354838709678,1.4644854011981756,0.9371626413268805
1199,1.1824193548387096,1.4879855119828846,0.9181531551328195
1200,1.1691806451612905,1.499168636278121,0.9300259138508356
