Unnamed: 0,Season,Name,Team,Age,G,PA,AB,xAVG,xOBP,xSLG,xOPS,xHR,HBP,SF,xK%,xBB%,AVG-xAVG,OPS-xOPS,HR-xHR,xHR%,xBABIP,xISO,xK,xBB,xEvents,xBIP,xH,AVG,OBP,SLG,OPS,HR
28,2022,J.T. Realmuto,PHI,31,127,516,459,0.279,0.349,0.499,0.848,22,11,5,0.212,0.079,0,-0.009,-1,0.421,0.324,0.22,109,41,350,328,128,0.279,0.349,0.49,0.839,21
29,2022,Julio Rodriguez,SEA,21,128,548,499,0.267,0.334,0.495,0.829,29,8,1,0.255,0.078,0.012,0.011,-2,0.53,0.319,0.228,140,43,356,327,133,0.279,0.341,0.499,0.84,27
30,2022,Alejandro Kirk,TOR,23,128,499,432,0.282,0.364,0.455,0.819,12,4,4,0.141,0.108,0.017,-0.001,1,0.238,0.31,0.173,70,54,367,355,122,0.299,0.385,0.433,0.818,13
31,2022,Joc Pederson,SFG,30,124,398,351,0.268,0.346,0.553,0.899,22,7,4,0.22,0.094,-0.006,-0.058,0,0.545,0.3,0.285,88,37,262,240,94,0.262,0.339,0.501,0.841,22
32,2022,Willson Contreras,CHC,30,107,462,395,0.273,0.374,0.508,0.882,22,23,2,0.238,0.09,-0.027,-0.06,-1,0.476,0.327,0.235,110,42,285,263,108,0.246,0.351,0.471,0.822,21
33,2022,Danny Jansen,TOR,27,61,208,182,0.214,0.29,0.504,0.794,7,3,4,0.182,0.088,0.044,0.049,6,0.353,0.235,0.29,38,18,145,138,39,0.258,0.332,0.511,0.843,13
34,2022,Pete Alonso,NYM,27,150,643,562,0.276,0.346,0.52,0.866,34,12,9,0.195,0.082,-0.011,-0.015,3,0.533,0.294,0.244,125,53,444,410,155,0.265,0.344,0.507,0.851,37
35,2022,Vladimir Guerrero Jr.,TOR,23,148,653,591,0.294,0.349,0.513,0.862,27,6,3,0.175,0.069,-0.015,-0.03,3,0.421,0.32,0.219,114,45,485,458,174,0.279,0.343,0.489,0.832,30
36,2022,Trea Turner,LAD,29,147,655,603,0.264,0.311,0.457,0.768,18,3,6,0.21,0.063,0.039,0.059,2,0.28,0.314,0.193,138,41,467,449,159,0.303,0.348,0.479,0.827,20
37,2022,Byron Buxton,MIN,28,92,382,340,0.25,0.326,0.554,0.88,30,7,1,0.305,0.085,-0.026,-0.047,-2,0.797,0.281,0.304,117,32,225,195,85,0.224,0.306,0.526,0.833,28
38,2022,Anthony Rizzo,NYY,32,120,505,430,0.247,0.341,0.491,0.832,29,18,2,0.214,0.09,-0.021,-0.002,2,0.576,0.253,0.244,108,45,332,303,106,0.226,0.337,0.493,0.83,31
39,2022,Starling Marte,NYM,33,118,505,466,0.268,0.331,0.441,0.772,3,13,0,0.199,0.062,0.024,0.042,13,0.067,0.34,0.173,100,31,361,358,125,0.292,0.347,0.468,0.814,16
40,2022,Jeff McNeil,NYM,30,137,543,490,0.271,0.333,0.398,0.731,7,11,5,0.114,0.069,0.043,0.078,0,0.127,0.3,0.127,62,37,428,421,133,0.314,0.372,0.437,0.809,7
41,2022,Kyle Tucker,HOU,25,139,569,508,0.274,0.346,0.508,0.854,25,0,2,0.146,0.1,-0.012,-0.03,4,0.444,0.284,0.234,83,57,427,402,139,0.262,0.334,0.49,0.824,29
42,2022,Adley Rutschman,BAL,24,100,414,350,0.266,0.363,0.47,0.833,11,4,3,0.185,0.122,-0.012,-0.028,0,0.26,0.306,0.204,77,51,279,268,93,0.254,0.362,0.443,0.805,11
43,2022,Travis d'Arnaud,ATL,33,97,385,356,0.261,0.322,0.462,0.784,17,10,0,0.223,0.057,0.011,0.032,1,0.445,0.304,0.201,86,22,267,250,93,0.272,0.327,0.489,0.816,18
44,2022,Taylor Ward,LAA,28,122,510,444,0.234,0.324,0.452,0.776,15,4,5,0.213,0.112,0.039,0.029,4,0.296,0.279,0.218,109,57,335,320,104,0.273,0.357,0.448,0.805,19
45,2022,Brandon Drury,- - -,29,125,513,469,0.258,0.323,0.484,0.807,22,6,4,0.187,0.079,0.004,0.014,5,0.427,0.289,0.226,96,41,366,344,121,0.262,0.318,0.503,0.821,27
46,2022,Will Smith,LAD,27,126,531,461,0.236,0.335,0.463,0.798,11,10,4,0.168,0.113,0.024,0.014,11,0.204,0.275,0.227,89,60,368,357,109,0.26,0.35,0.462,0.812,22
47,2022,Justin Turner,LAD,37,121,506,444,0.257,0.331,0.452,0.783,11,5,8,0.168,0.095,0.027,0.025,2,0.227,0.295,0.195,85,48,360,349,114,0.284,0.356,0.453,0.808,13
48,2022,Jake Fraley,CIN,27,58,211,184,0.255,0.347,0.442,0.789,10,3,2,0.202,0.114,0,0.02,0,0.451,0.284,0.187,43,24,139,129,47,0.255,0.341,0.467,0.809,10
49,2022,Eugenio Suarez,SEA,30,142,594,511,0.233,0.334,0.518,0.852,30,8,4,0.294,0.121,0.002,-0.047,1,0.504,0.293,0.285,175,72,335,305,119,0.235,0.335,0.47,0.805,31
50,2022,Luis Arraez,MIN,25,135,564,511,0.297,0.365,0.431,0.796,7,3,3,0.074,0.094,0.016,-0.003,1,0.121,0.318,0.134,42,53,463,456,152,0.313,0.372,0.421,0.793,8
51,2022,Daniel Vogelbach,- - -,29,123,440,368,0.255,0.372,0.489,0.861,18,1,1,0.21,0.154,-0.019,-0.07,-1,0.412,0.293,0.234,92,68,278,260,94,0.236,0.359,0.432,0.791,17
52,2022,Austin Slater,SFG,29,112,296,249,0.237,0.345,0.402,0.747,6,6,2,0.309,0.122,0.032,0.033,-1,0.202,0.343,0.165,91,36,161,155,59,0.269,0.378,0.402,0.78,5
53,2022,Vinnie Pasquantino,KCR,24,59,241,208,0.26,0.333,0.495,0.828,4,3,2,0.127,0.089,0.009,-0.034,4,0.152,0.278,0.235,31,21,184,180,54,0.269,0.361,0.433,0.794,8
54,2022,Jake McCarthy,ARI,24,90,316,285,0.284,0.347,0.44,0.787,7,5,1,0.216,0.074,0.004,0.009,1,0.225,0.348,0.156,68,23,219,212,81,0.288,0.35,0.446,0.796,8
55,2022,Christian Walker,ARI,31,148,614,534,0.253,0.343,0.503,0.846,27,8,6,0.187,0.11,-0.015,-0.039,8,0.444,0.276,0.25,115,68,417,390,135,0.238,0.327,0.479,0.807,35
56,2022,Josh Bell,- - -,29,145,612,526,0.279,0.362,0.464,0.826,15,5,6,0.151,0.108,-0.007,-0.029,2,0.252,0.309,0.185,92,66,443,428,147,0.272,0.361,0.435,0.797,17
57,2022,C.J. Cron,COL,32,142,601,547,0.254,0.313,0.466,0.779,28,8,4,0.236,0.069,0.013,0.034,1,0.472,0.293,0.212,142,41,406,378,139,0.267,0.325,0.488,0.813,29
58,2022,Francisco Lindor,NYM,28,150,659,584,0.262,0.337,0.465,0.802,25,10,6,0.207,0.09,0.009,-0.004,0,0.381,0.302,0.203,136,59,448,423,153,0.271,0.344,0.454,0.798,25
59,2022,Rhys Hoskins,PHI,29,143,614,537,0.25,0.34,0.485,0.825,30,6,3,0.253,0.112,-0.004,-0.029,-2,0.494,0.297,0.235,155,69,381,351,134,0.246,0.334,0.462,0.796,28
60,2022,Bo Bichette,TOR,24,147,647,604,0.278,0.323,0.46,0.783,21,2,2,0.194,0.061,0.005,0.018,3,0.327,0.322,0.182,126,39,478,457,168,0.283,0.328,0.474,0.801,24
61,2022,George Springer,TOR,32,122,536,471,0.27,0.343,0.466,0.809,21,7,4,0.197,0.089,-0.009,-0.015,0,0.392,0.303,0.196,106,48,371,350,127,0.261,0.34,0.454,0.794,21
62,2022,Michael Brantley,HOU,35,64,277,243,0.305,0.37,0.473,0.843,5,1,1,0.104,0.09,-0.017,-0.058,0,0.188,0.318,0.168,29,25,221,216,74,0.288,0.37,0.416,0.785,5
63,2022,Brandon Nimmo,NYM,29,142,634,545,0.266,0.359,0.434,0.793,14,16,3,0.201,0.103,-0.002,-0.015,0,0.221,0.321,0.168,127,65,423,409,145,0.264,0.36,0.418,0.778,14
64,2022,Mark Canha,NYM,33,129,494,421,0.24,0.353,0.408,0.761,12,24,2,0.214,0.103,0.024,0.009,0,0.246,0.298,0.168,106,51,311,299,101,0.264,0.368,0.401,0.77,12
65,2022,Andrew Vaughn,CHW,24,124,518,476,0.273,0.323,0.472,0.795,11,9,4,0.177,0.055,0.013,-0.003,6,0.204,0.318,0.199,92,28,385,374,130,0.286,0.336,0.456,0.792,17
66,2022,Brendan Donovan,STL,25,114,422,354,0.28,0.379,0.404,0.783,2,12,2,0.175,0.109,0,-0.023,2,0.059,0.339,0.124,74,46,288,286,99,0.28,0.39,0.37,0.76,4
67,2022,Gavin Lux,LAD,24,119,434,385,0.27,0.343,0.441,0.784,6,0,3,0.19,0.101,0.018,-0.004,0,0.137,0.329,0.171,82,44,305,299,104,0.288,0.362,0.418,0.78,6
68,2022,Ian Happ,CHC,27,145,591,528,0.256,0.326,0.435,0.761,19,6,4,0.236,0.087,0.015,0.03,-2,0.314,0.312,0.179,139,51,391,372,135,0.271,0.342,0.449,0.791,17
69,2022,Andrew Benintendi,- - -,27,126,521,461,0.269,0.341,0.425,0.766,2,2,5,0.14,0.097,0.035,0.006,3,0.039,0.315,0.156,73,51,390,388,124,0.304,0.373,0.399,0.772,5
70,2022,Kyle Schwarber,PHI,29,142,613,535,0.226,0.326,0.548,0.874,32,3,2,0.287,0.126,-0.011,-0.078,8,0.519,0.277,0.322,176,77,355,323,121,0.215,0.312,0.484,0.796,40
71,2022,Matt Chapman,TOR,29,143,573,499,0.218,0.324,0.489,0.813,28,9,5,0.271,0.124,0.02,-0.026,-1,0.482,0.267,0.271,155,71,333,305,109,0.238,0.328,0.459,0.787,27
72,2022,Steven Kwan,CLE,24,135,583,513,0.277,0.35,0.384,0.734,5,6,4,0.11,0.093,0.021,0.034,0,0.082,0.305,0.107,64,54,455,450,142,0.298,0.375,0.394,0.768,5
73,2022,Bryan Reynolds,PIT,27,133,559,498,0.261,0.332,0.44,0.772,21,9,2,0.24,0.08,-0.002,0.014,3,0.378,0.314,0.179,134,45,369,348,130,0.259,0.336,0.45,0.786,24
74,2022,Willy Adames,MIL,26,127,562,508,0.248,0.309,0.498,0.807,28,1,4,0.249,0.082,-0.004,-0.011,3,0.5,0.286,0.25,140,46,371,343,126,0.244,0.31,0.486,0.796,31
75,2022,Ronald Acuna Jr.,ATL,24,110,495,433,0.259,0.357,0.488,0.845,18,10,3,0.227,0.118,0.011,-0.074,-5,0.369,0.321,0.229,112,58,312,294,112,0.27,0.356,0.416,0.771,13
76,2022,Isaac Paredes,TBR,23,100,343,300,0.253,0.345,0.485,0.83,20,3,2,0.174,0.118,-0.033,-0.048,0,0.585,0.259,0.232,60,40,238,218,76,0.22,0.312,0.47,0.782,20
77,2022,Dansby Swanson,ATL,28,149,640,586,0.222,0.293,0.426,0.719,15,3,4,0.262,0.09,0.058,0.057,6,0.227,0.293,0.204,168,58,407,392,130,0.28,0.334,0.442,0.776,21
78,2022,Keston Hiura,MIL,25,71,239,210,0.205,0.317,0.457,0.774,17,8,1,0.454,0.114,0.024,0.001,-3,0.712,0.332,0.252,109,27,94,77,43,0.229,0.318,0.457,0.775,14
79,2022,Randy Arozarena,TBR,27,141,594,541,0.231,0.305,0.421,0.726,1,11,1,0.235,0.079,0.035,0.051,18,0.015,0.314,0.19,140,47,395,394,125,0.266,0.33,0.447,0.777,19
80,2022,Oscar Gonzalez,CLE,24,78,326,308,0.247,0.278,0.433,0.711,5,3,2,0.231,0.033,0.045,0.075,4,0.159,0.307,0.186,75,11,235,230,76,0.292,0.325,0.461,0.786,9
81,2022,Dylan Moore,SEA,29,93,217,174,0.195,0.353,0.474,0.827,6,11,1,0.317,0.149,0.018,-0.072,0,0.291,0.283,0.279,69,32,104,98,34,0.213,0.358,0.397,0.755,6
82,2022,Hunter Renfroe,MIL,30,113,471,428,0.241,0.304,0.484,0.788,24,4,3,0.234,0.077,0.007,-0.003,1,0.513,0.269,0.243,110,36,318,294,103,0.248,0.309,0.477,0.785,25
83,2022,J.D. Martinez,BOS,34,127,550,490,0.247,0.319,0.457,0.776,18,5,5,0.267,0.089,0.024,-0.005,-6,0.322,0.317,0.21,147,49,344,326,121,0.271,0.341,0.431,0.771,12
84,2022,Anthony Santander,BAL,27,139,592,525,0.242,0.316,0.486,0.802,25,12,4,0.202,0.079,0.006,-0.03,2,0.428,0.265,0.244,120,47,409,384,127,0.248,0.326,0.446,0.772,27
85,2022,Ty France,SEA,27,128,556,500,0.266,0.336,0.416,0.752,18,19,4,0.161,0.064,0.002,0.017,2,0.322,0.295,0.15,90,36,407,389,133,0.268,0.333,0.436,0.769,20
86,2022,Sean Murphy,OAK,27,137,566,497,0.258,0.333,0.481,0.814,18,11,5,0.205,0.084,-0.006,-0.045,0,0.322,0.3,0.223,116,48,386,368,128,0.252,0.333,0.437,0.769,18
87,2022,Harold Ramirez,TBR,27,109,395,365,0.252,0.292,0.411,0.703,6,8,4,0.207,0.036,0.055,0.063,0,0.144,0.307,0.159,82,14,287,281,92,0.307,0.349,0.416,0.766,6
88,2022,Teoscar Hernandez,TOR,29,119,486,452,0.259,0.311,0.497,0.808,23,2,0,0.298,0.065,0,-0.035,-3,0.482,0.33,0.238,145,32,307,284,117,0.259,0.311,0.462,0.773,20
89,2022,Nick Gordon,MIN,26,127,396,364,0.272,0.316,0.476,0.792,11,7,3,0.231,0.045,0.008,-0.018,-2,0.285,0.33,0.204,91,18,277,266,99,0.28,0.326,0.448,0.774,9
90,2022,Corey Seager,TEX,28,141,621,553,0.293,0.354,0.519,0.873,23,6,5,0.152,0.079,-0.047,-0.095,8,0.368,0.313,0.226,94,49,467,444,162,0.246,0.32,0.458,0.778,31
91,2022,Seiya Suzuki,CHC,27,104,417,372,0.245,0.322,0.454,0.776,13,4,3,0.234,0.097,0.018,-0.007,0,0.3,0.302,0.209,98,40,272,259,91,0.263,0.336,0.433,0.769,13
92,2022,Rodolfo Castro,PIT,23,59,231,213,0.254,0.312,0.449,0.761,9,2,0,0.253,0.068,-0.01,0.012,2,0.404,0.31,0.195,58,16,155,146,54,0.244,0.303,0.469,0.773,11
93,2022,Matt Olson,ATL,28,149,648,572,0.238,0.324,0.473,0.797,30,4,3,0.242,0.108,-0.004,-0.023,-2,0.463,0.277,0.235,157,70,414,384,136,0.234,0.319,0.455,0.774,28
94,2022,Daulton Varsho,ARI,25,139,547,489,0.239,0.301,0.486,0.787,24,6,5,0.239,0.072,0.004,-0.016,2,0.444,0.272,0.247,131,39,366,342,117,0.243,0.311,0.46,0.771,26
95,2022,Jorge Polanco,MIN,28,104,445,375,0.224,0.32,0.449,0.769,15,2,4,0.233,0.118,0.011,-0.018,1,0.341,0.258,0.225,104,53,282,267,84,0.235,0.346,0.405,0.751,16
96,2022,T.J. Friedl,CIN,26,61,223,196,0.235,0.31,0.433,0.743,6,6,6,0.184,0.081,0.02,0.035,1,0.282,0.275,0.198,41,18,152,146,46,0.255,0.318,0.459,0.778,7
97,2022,Lars Nootbaar,STL,24,96,300,249,0.273,0.369,0.495,0.864,12,1,5,0.209,0.135,-0.056,-0.105,0,0.393,0.311,0.222,63,40,191,179,68,0.217,0.333,0.426,0.759,12
98,2022,Jose Miranda,MIN,24,112,434,400,0.242,0.303,0.436,0.739,14,8,1,0.204,0.062,0.026,0.021,1,0.312,0.28,0.194,89,27,309,295,97,0.268,0.323,0.438,0.76,15
99,2022,Josh Naylor,CLE,25,113,460,415,0.275,0.333,0.462,0.795,16,6,5,0.137,0.072,-0.017,-0.022,3,0.348,0.291,0.187,63,33,353,337,114,0.258,0.32,0.453,0.773,19
100,2022,DJ LeMahieu,NYY,33,120,523,451,0.284,0.358,0.437,0.795,-2,4,2,0.142,0.094,-0.022,-0.055,14,-0.033,0.329,0.153,74,49,394,396,128,0.262,0.358,0.381,0.74,12
101,2022,Christian Yelich,MIL,30,141,617,531,0.258,0.349,0.432,0.781,-6,5,2,0.236,0.114,0.002,-0.032,18,-0.095,0.358,0.174,146,70,394,400,137,0.26,0.359,0.39,0.749,12
102,2022,Nico Hoerner,CHC,25,125,477,444,0.279,0.326,0.401,0.727,8,6,1,0.117,0.053,0.012,0.032,1,0.176,0.305,0.122,56,25,389,381,124,0.291,0.338,0.421,0.759,9
103,2022,Rowdy Tellez,MIL,27,141,556,492,0.258,0.333,0.527,0.86,30,5,2,0.205,0.091,-0.036,-0.089,2,0.536,0.275,0.269,114,51,384,354,127,0.222,0.308,0.463,0.771,32
104,2022,Jean Segura,PHI,32,85,339,310,0.274,0.331,0.417,0.748,5,7,1,0.148,0.06,0.007,-0.002,5,0.162,0.314,0.143,50,20,261,256,85,0.281,0.339,0.406,0.746,10
105,2022,Kolten Wong,MIL,31,122,460,400,0.265,0.361,0.436,0.797,13,14,5,0.195,0.107,-0.017,-0.05,-1,0.282,0.322,0.171,90,49,302,289,106,0.248,0.332,0.415,0.747,12
106,2022,Garrett Cooper,MIA,31,116,458,406,0.256,0.33,0.442,0.772,12,9,5,0.241,0.082,0.003,-0.026,-3,0.272,0.324,0.186,110,38,296,284,104,0.259,0.332,0.414,0.746,9
107,2022,Lourdes Gurriel Jr.,TOR,28,121,493,453,0.258,0.316,0.41,0.726,5,6,2,0.176,0.067,0.033,0.017,0,0.102,0.31,0.152,87,33,365,360,117,0.291,0.343,0.4,0.743,5
108,2022,Ryan McMahon,COL,27,141,554,487,0.271,0.355,0.486,0.841,19,5,3,0.269,0.108,-0.025,-0.1,-2,0.341,0.356,0.215,149,60,337,318,132,0.246,0.332,0.409,0.741,17
109,2022,Adolis Garcia,TEX,29,143,606,559,0.256,0.309,0.5,0.809,25,4,5,0.283,0.067,-0.004,-0.049,0,0.42,0.329,0.244,171,41,385,360,143,0.252,0.302,0.458,0.76,25
110,2022,Donovan Solano,CIN,34,72,276,253,0.257,0.301,0.399,0.7,4,4,2,0.205,0.046,0.035,0.043,0,0.153,0.311,0.142,57,13,200,196,65,0.292,0.344,0.399,0.743,4
111,2022,Luis Rengifo,LAA,25,114,450,430,0.256,0.297,0.427,0.724,12,4,0,0.145,0.047,0.018,0.03,3,0.271,0.281,0.171,65,21,360,348,110,0.274,0.305,0.449,0.754,15
112,2022,Yonathan Daza,COL,28,102,360,329,0.28,0.327,0.388,0.715,1,4,4,0.16,0.058,0.024,0.024,1,0.014,0.334,0.108,58,21,273,272,92,0.304,0.353,0.386,0.739,2
113,2022,Thairo Estrada,SFG,26,130,502,453,0.272,0.335,0.42,0.755,12,13,5,0.169,0.066,-0.005,-0.01,2,0.23,0.314,0.148,85,33,366,354,123,0.267,0.327,0.417,0.745,14
114,2022,Luke Voit,- - -,31,122,516,450,0.222,0.319,0.475,0.794,25,7,5,0.315,0.114,0.014,-0.05,-4,0.476,0.292,0.253,163,59,282,257,100,0.236,0.324,0.42,0.744,21
115,2022,Seby Zavala,CHW,28,59,202,176,0.17,0.256,0.369,0.625,2,3,2,0.36,0.087,0.103,0.108,0,0.094,0.266,0.199,73,18,106,104,30,0.273,0.347,0.386,0.733,2
116,2022,Luis Robert,CHW,24,97,401,380,0.266,0.298,0.455,0.753,10,3,1,0.202,0.038,0.018,-0.007,2,0.253,0.313,0.189,81,15,301,291,101,0.284,0.319,0.426,0.746,12
117,2022,Salvador Perez,KCR,32,105,433,409,0.2,0.25,0.443,0.693,7,6,3,0.243,0.051,0.054,0.065,15,0.154,0.259,0.243,105,22,297,290,82,0.254,0.289,0.469,0.758,22
118,2022,Gleyber Torres,NYY,25,132,538,497,0.249,0.317,0.479,0.796,21,3,2,0.219,0.087,0.003,-0.048,2,0.397,0.298,0.23,118,47,368,347,124,0.252,0.304,0.445,0.748,23
119,2022,Max Muncy,LAD,31,123,514,425,0.235,0.345,0.516,0.861,24,2,6,0.264,0.141,-0.033,-0.13,-3,0.467,0.278,0.281,136,72,298,274,100,0.202,0.329,0.402,0.731,21
120,2022,Juan Yepez,STL,24,64,232,213,0.23,0.27,0.481,0.751,10,1,4,0.226,0.053,0.024,0.002,1,0.41,0.254,0.251,52,12,163,153,49,0.254,0.297,0.455,0.753,11
121,2022,Tim Anderson,CHW,29,79,351,332,0.316,0.35,0.45,0.8,6,5,0,0.15,0.033,-0.015,-0.066,0,0.164,0.359,0.134,53,12,281,275,105,0.301,0.339,0.395,0.734,6
