,Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,Pitches,Swing%,Contact%,GB,FB,LD
78,2016,Kris Bryant,CHC,155,699,0.22,0.308,0.598,0.742,0.811,0.416,0.598,0.13,0.258,0.881091618,2699,0.488,0.733,138,207,107
79,2013,Michael Cuddyer,COL,130,540,0.185,0.333,0.681,0.629,0.859,0.451,0.607,0.098,0.273,1.015544041,2112,0.467,0.789,195,118,79
80,2015,Nelson Cruz,SEA,152,655,0.25,0.332,0.596,0.708,0.793,0.414,0.592,0.137,0.28,0.873210634,2632,0.487,0.715,195,145,87
81,2012,Edwin Encarnacion,TOR,151,644,0.146,0.239,0.724,0.622,0.87,0.447,0.554,0.072,0.256,1.002202643,2697,0.41,0.822,150,225,80
82,2010,Jayson Werth,PHI,156,652,0.225,0.212,0.679,0.606,0.822,0.487,0.564,0.087,0.288,0.857731959,2849,0.404,0.783,154,189,73
83,2018,Alex Bregman,HOU,157,705,0.121,0.2,0.791,0.605,0.928,0.423,0.54,0.043,0.252,1.231325301,2821,0.371,0.885,177,222,112
84,2017,Nolan Arenado,COL,159,680,0.156,0.306,0.631,0.709,0.873,0.436,0.572,0.103,0.244,1.030549898,2627,0.482,0.787,172,227,107
85,2011,Matt Holliday,STL,124,516,0.18,0.287,0.616,0.729,0.863,0.424,0.576,0.105,0.237,0.905612245,2028,0.474,0.777,163,119,73
86,2012,Robinson Cano,NYY,161,697,0.138,0.345,0.728,0.723,0.898,0.401,0.58,0.085,0.214,1.108333333,2462,0.497,0.827,259,137,136
87,2017,Anthony Rendon,WSN,147,605,0.136,0.21,0.732,0.63,0.926,0.462,0.57,0.052,0.239,0.864,2645,0.404,0.872,147,204,81
88,2019,Juan Soto,WSN,150,659,0.2,0.234,0.621,0.686,0.866,0.385,0.555,0.09,0.251,0.863445378,2791,0.408,0.779,171,153,87
89,2016,Charlie Blackmon,COL,143,641,0.159,0.34,0.749,0.638,0.915,0.433,0.546,0.072,0.246,0.840425532,2614,0.469,0.847,163,179,132
90,2011,Curtis Granderson,NYY,156,691,0.245,0.253,0.608,0.622,0.881,0.416,0.522,0.089,0.28,0.748653501,3069,0.406,0.782,141,200,76
91,2013,Andrew McCutchen,PIT,157,674,0.15,0.27,0.658,0.715,0.876,0.434,0.58,0.089,0.233,1.038461538,2562,0.463,0.804,198,169,119
92,2013,Shin-Soo Choo,CIN,154,712,0.187,0.218,0.633,0.63,0.877,0.423,0.572,0.078,0.257,0.856299213,3010,0.392,0.799,215,128,92
93,2017,Zack Cozart,CIN,122,507,0.154,0.244,0.712,0.604,0.922,0.458,0.609,0.06,0.264,0.962962963,2125,0.409,0.854,139,154,71
94,2019,Nolan Arenado,COL,155,662,0.14,0.379,0.695,0.733,0.893,0.383,0.619,0.101,0.227,1.039256198,2391,0.514,0.803,181,225,97
95,2015,Edwin Encarnacion,TOR,146,624,0.157,0.257,0.649,0.669,0.852,0.431,0.554,0.093,0.256,1.052631579,2517,0.435,0.784,159,196,85
96,2016,DJ LeMahieu,COL,146,635,0.126,0.239,0.794,0.609,0.947,0.486,0.584,0.041,0.244,0.948,2577,0.419,0.902,240,108,126
97,2018,Jose Ramirez,CLE,157,698,0.115,0.223,0.794,0.623,0.921,0.404,0.53,0.047,0.232,0.984344423,3002,0.385,0.877,168,231,104
98,2016,Anthony Rizzo,CHC,155,676,0.16,0.322,0.698,0.642,0.909,0.405,0.572,0.081,0.249,0.940828402,2656,0.452,0.82,183,197,97
99,2010,Robinson Cano,NYY,160,696,0.111,0.356,0.751,0.738,0.944,0.424,0.583,0.068,0.19,1.049242424,2414,0.517,0.867,245,202,107
100,2010,Adrian Beltre,BOS,154,641,0.128,0.386,0.73,0.695,0.897,0.44,0.573,0.088,0.23,0.98467433,2401,0.522,0.827,208,208,98
101,2011,Carlos Beltran,- - -,142,598,0.147,0.272,0.752,0.668,0.902,0.405,0.572,0.066,0.226,1.132467532,2241,0.433,0.846,173,171,92
102,2018,Nolan Arenado,COL,156,673,0.181,0.332,0.662,0.733,0.844,0.415,0.584,0.113,0.245,0.904580153,2592,0.498,0.773,189,184,101
103,2016,Jose Altuve,HOU,161,717,0.098,0.327,0.777,0.712,0.913,0.425,0.611,0.067,0.209,1.206751055,2474,0.491,0.861,238,184,150
104,2011,Michael Morse,WSN,146,575,0.219,0.368,0.649,0.704,0.845,0.432,0.668,0.12,0.264,0.907029478,2140,0.513,0.766,176,146,78
105,2018,Paul Goldschmidt,ARI,158,690,0.251,0.288,0.667,0.624,0.822,0.404,0.591,0.102,0.296,0.81871345,2905,0.423,0.759,162,153,105
106,2019,Anthony Rizzo,CHC,146,613,0.14,0.338,0.745,0.653,0.886,0.374,0.514,0.082,0.242,0.862626263,2470,0.455,0.82,183,136,108
107,2015,Chris Davis,BAL,160,670,0.31,0.301,0.509,0.722,0.765,0.413,0.621,0.156,0.28,0.709055877,2786,0.475,0.67,117,160,91
108,2010,Ryan Zimmerman,WSN,142,603,0.163,0.253,0.687,0.574,0.878,0.45,0.582,0.074,0.281,1.248554913,2417,0.397,0.811,178,178,76
109,2019,Xander Bogaerts,BOS,155,698,0.175,0.294,0.686,0.577,0.894,0.413,0.572,0.079,0.304,1.10421286,2862,0.411,0.807,205,198,95
110,2011,Troy Tulowitzki,COL,143,606,0.13,0.263,0.82,0.577,0.918,0.465,0.596,0.046,0.252,1.351906158,2219,0.409,0.884,192,179,90
111,2014,Edwin Encarnacion,TOR,128,542,0.151,0.277,0.703,0.621,0.887,0.442,0.592,0.076,0.258,1.007633588,2241,0.429,0.821,144,187,65
112,2014,Michael Brantley,CLE,156,676,0.083,0.247,0.825,0.639,0.958,0.432,0.559,0.036,0.227,1.538674033,2415,0.417,0.913,257,157,143
113,2015,Jose Bautista,TOR,153,666,0.159,0.222,0.677,0.619,0.871,0.433,0.53,0.075,0.258,1.037296037,2741,0.394,0.809,166,217,62
114,2017,Marcell Ozuna,MIA,159,679,0.212,0.331,0.592,0.731,0.839,0.413,0.629,0.128,0.267,0.997881356,2560,0.496,0.743,222,158,91
115,2013,Edwin Encarnacion,TOR,142,621,0.1,0.254,0.739,0.631,0.903,0.423,0.591,0.063,0.242,1.219072165,2461,0.414,0.845,166,205,102
116,2012,Adrian Beltre,TEX,156,654,0.125,0.386,0.745,0.675,0.895,0.444,0.584,0.085,0.244,1.085889571,2384,0.514,0.832,207,212,112
117,2017,Ryan Zimmerman,WSN,144,576,0.219,0.311,0.647,0.625,0.862,0.422,0.571,0.1,0.287,1.119444444,2222,0.443,0.775,187,136,80
118,2013,Freddie Freeman,ATL,147,629,0.192,0.343,0.696,0.857,0.824,0.396,0.579,0.121,0.198,0.74742268,2398,0.547,0.775,166,153,116
119,2019,Charlie Blackmon,COL,140,634,0.164,0.333,0.702,0.708,0.886,0.437,0.62,0.091,0.247,0.997916667,2362,0.497,0.817,188,181,110
120,2019,Freddie Freeman,ATL,158,692,0.184,0.329,0.69,0.826,0.827,0.383,0.551,0.117,0.209,0.745655608,2750,0.519,0.774,181,161,130
121,2010,Luke Scott,BAL,131,517,0.19,0.279,0.562,0.714,0.841,0.409,0.571,0.118,0.261,1.075528701,2030,0.457,0.74,144,145,67
122,2012,Melky Cabrera,SFG,113,501,0.126,0.346,0.824,0.667,0.923,0.401,0.627,0.056,0.216,1.144927536,1771,0.475,0.88,206,103,86
123,2012,Josh Hamilton,TEX,148,636,0.255,0.45,0.519,0.849,0.777,0.337,0.605,0.203,0.272,0.859243697,2349,0.584,0.645,154,168,87
124,2010,Aubrey Huff,SFG,157,668,0.136,0.284,0.706,0.585,0.91,0.433,0.537,0.07,0.259,1.219143577,2563,0.414,0.83,217,180,87
