,Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,Pitches,Swing%,Contact%,GB,FB,LD
361,2015,Prince Fielder,TEX,158,693,0.127,0.338,0.669,0.713,0.917,0.402,0.561,0.089,0.226,1.162280702,2483,0.488,0.814,245,188,97
362,2011,Nick Swisher,NYY,150,635,0.197,0.206,0.654,0.661,0.861,0.413,0.546,0.08,0.25,1.017412935,2583,0.394,0.797,159,161,89
363,2015,Lorenzo Cain,KCR,140,604,0.162,0.349,0.702,0.679,0.912,0.44,0.598,0.084,0.231,0.940329218,2299,0.495,0.829,208,143,106
364,2013,Evan Longoria,TBR,160,693,0.234,0.243,0.62,0.618,0.834,0.455,0.538,0.096,0.289,1.085308057,2779,0.414,0.765,169,204,85
365,2017,Andrew McCutchen,PIT,156,650,0.178,0.25,0.692,0.679,0.852,0.463,0.582,0.088,0.246,0.934560327,2621,0.449,0.804,186,171,100
366,2016,Ben Zobrist,CHC,147,631,0.13,0.205,0.767,0.561,0.942,0.421,0.566,0.041,0.266,1.12244898,2655,0.355,0.883,211,134,95
367,2019,Hunter Dozier,KCR,139,586,0.253,0.301,0.501,0.66,0.904,0.406,0.606,0.115,0.292,1.032608696,2253,0.447,0.743,131,167,82
368,2018,Aaron Hicks,NYY,137,581,0.191,0.209,0.671,0.655,0.827,0.42,0.53,0.087,0.258,0.929648241,2487,0.396,0.78,148,142,80
369,2019,Luke Voit,NYY,118,510,0.278,0.266,0.442,0.786,0.781,0.401,0.598,0.158,0.278,0.8252149,2016,0.474,0.667,114,100,74
370,2012,Albert Pujols,LAA,154,670,0.113,0.356,0.769,0.625,0.907,0.425,0.561,0.07,0.237,1.140127389,2531,0.47,0.847,222,214,101
371,2018,Giancarlo Stanton,NYY,158,705,0.299,0.325,0.522,0.653,0.805,0.379,0.567,0.145,0.299,0.866666667,2942,0.449,0.678,187,152,77
372,2010,Daric Barton,OAK,159,686,0.149,0.152,0.821,0.574,0.902,0.457,0.574,0.04,0.264,0.989154013,3015,0.345,0.882,179,179,98
373,2011,Andrew McCutchen,PIT,158,678,0.186,0.219,0.638,0.628,0.868,0.467,0.568,0.081,0.266,0.937629938,2832,0.41,0.803,173,188,90
374,2013,Carlos Beltran,STL,145,600,0.15,0.307,0.674,0.683,0.903,0.421,0.578,0.086,0.25,1.306406685,2181,0.466,0.815,165,192,112
375,2018,Lorenzo Cain,MIL,141,620,0.152,0.249,0.691,0.647,0.909,0.438,0.602,0.069,0.256,1.06175772,2452,0.423,0.837,244,103,100
376,2015,Brandon Belt,SFG,137,556,0.264,0.286,0.623,0.809,0.807,0.406,0.601,0.127,0.238,0.6796875,2320,0.498,0.744,116,132,100
377,2018,Michael Brantley,CLE,143,631,0.095,0.271,0.787,0.658,0.973,0.439,0.58,0.04,0.217,1.284289277,2286,0.441,0.909,232,156,127
378,2018,Anthony Rizzo,CHC,153,665,0.12,0.328,0.749,0.679,0.919,0.418,0.57,0.071,0.233,0.995959596,2444,0.475,0.851,187,184,122
379,2015,Lucas Duda,NYM,135,554,0.249,0.286,0.605,0.636,0.88,0.392,0.513,0.098,0.277,0.842105263,2266,0.423,0.767,92,170,74
380,2012,Shin-Soo Choo,CLE,155,686,0.219,0.234,0.598,0.659,0.833,0.444,0.587,0.101,0.276,0.975982533,2811,0.423,0.761,222,121,104
381,2018,Tommy Pham,- - -,137,570,0.246,0.23,0.548,0.612,0.874,0.438,0.611,0.092,0.298,1.082066869,2246,0.397,0.768,171,100,85
382,2010,Andrew McCutchen,PIT,154,653,0.136,0.195,0.672,0.574,0.906,0.491,0.564,0.059,0.274,1.322404372,2632,0.382,0.845,210,183,91
383,2011,Ben Zobrist,TBR,156,674,0.19,0.252,0.718,0.594,0.885,0.439,0.542,0.07,0.27,1.045454545,2710,0.402,0.826,209,161,90
384,2014,Starling Marte,PIT,135,545,0.24,0.363,0.607,0.69,0.843,0.432,0.64,0.128,0.276,0.811627907,2072,0.504,0.746,165,102,82
385,2019,Gleyber Torres,NYY,144,604,0.214,0.351,0.603,0.763,0.838,0.406,0.611,0.133,0.257,0.844,2393,0.518,0.744,157,177,88
386,2013,Prince Fielder,DET,162,712,0.164,0.303,0.671,0.69,0.856,0.385,0.553,0.099,0.253,1.240291262,2618,0.452,0.78,209,185,117
387,2010,Andres Torres,SFG,139,570,0.225,0.286,0.61,0.647,0.859,0.441,0.593,0.102,0.277,0.875,2320,0.445,0.77,144,146,81
388,2019,Michael Conforto,NYM,151,648,0.23,0.273,0.634,0.723,0.818,0.408,0.6,0.113,0.26,0.823770492,2587,0.457,0.753,145,161,96
389,2012,Corey Hart,MIL,149,622,0.243,0.278,0.561,0.655,0.803,0.438,0.616,0.124,0.293,1.082010582,2468,0.444,0.718,164,166,79
390,2016,Carlos Beltran,- - -,151,593,0.17,0.312,0.692,0.662,0.913,0.423,0.585,0.079,0.257,1.201058201,2188,0.46,0.827,191,168,95
391,2016,Mark Trumbo,BAL,159,667,0.255,0.338,0.573,0.699,0.82,0.431,0.636,0.136,0.292,0.894949495,2623,0.494,0.724,175,191,77
392,2016,Dustin Pedroia,BOS,154,698,0.105,0.26,0.803,0.609,0.925,0.492,0.58,0.048,0.248,1.17047817,2728,0.431,0.888,276,151,136
393,2010,Hideki Matsui,LAA,145,558,0.176,0.213,0.738,0.624,0.891,0.45,0.581,0.061,0.254,1.040214477,2261,0.398,0.846,153,162,73
394,2010,Carlos Quentin,CHW,131,527,0.157,0.305,0.609,0.739,0.86,0.445,0.583,0.112,0.238,1.03601108,1905,0.498,0.775,137,185,52
395,2017,Mark Reynolds,COL,148,593,0.295,0.261,0.45,0.675,0.786,0.445,0.573,0.144,0.305,0.876262626,2470,0.445,0.676,146,126,75
396,2019,Nick Castellanos,- - -,151,664,0.215,0.409,0.585,0.763,0.879,0.39,0.619,0.14,0.257,0.916988417,2436,0.547,0.745,179,188,108
397,2018,Andrew Benintendi,BOS,148,661,0.16,0.284,0.765,0.708,0.875,0.413,0.566,0.076,0.222,0.94302554,2581,0.459,0.835,196,170,114
398,2017,Josh Reddick,HOU,134,540,0.133,0.28,0.756,0.648,0.914,0.425,0.548,0.063,0.246,1.189655172,2037,0.437,0.856,139,175,100
399,2012,Alex Gordon,KCR,161,721,0.194,0.277,0.656,0.652,0.876,0.444,0.56,0.088,0.266,0.961832061,2894,0.444,0.8,213,165,126
400,2019,Kyle Schwarber,CHC,155,610,0.256,0.264,0.603,0.668,0.816,0.411,0.556,0.112,0.274,0.863741339,2539,0.43,0.739,142,158,74
401,2013,Justin Upton,ATL,149,643,0.25,0.247,0.589,0.668,0.773,0.453,0.619,0.123,0.29,0.941176471,2628,0.438,0.717,163,151,86
402,2010,Torii Hunter,LAA,152,646,0.164,0.265,0.597,0.673,0.875,0.471,0.554,0.094,0.26,1.068181818,2521,0.457,0.79,226,158,86
403,2013,Buster Posey,SFG,148,595,0.118,0.241,0.79,0.598,0.912,0.444,0.553,0.051,0.251,1.199475066,2405,0.4,0.871,216,150,91
404,2013,Jason Kipnis,CLE,149,658,0.217,0.212,0.638,0.589,0.896,0.452,0.527,0.069,0.277,0.970319635,2763,0.382,0.818,183,137,105
405,2015,Curtis Granderson,NYM,157,682,0.221,0.199,0.654,0.608,0.885,0.433,0.531,0.069,0.282,0.894409938,2981,0.376,0.816,133,182,117
406,2011,Rickie Weeks Jr.,MIL,118,515,0.208,0.236,0.518,0.651,0.835,0.468,0.584,0.11,0.298,1.233215548,1979,0.43,0.743,168,123,58
407,2014,Seth Smith,SDP,136,521,0.167,0.249,0.673,0.619,0.892,0.403,0.511,0.075,0.272,1.107692308,2124,0.398,0.81,170,114,76
408,2013,Hunter Pence,SFG,162,687,0.167,0.318,0.653,0.648,0.843,0.424,0.606,0.106,0.276,1.315521628,2590,0.458,0.767,243,185,89
409,2014,Adam LaRoche,WSN,140,586,0.184,0.247,0.659,0.64,0.891,0.4,0.541,0.077,0.26,1.042440318,2365,0.404,0.806,144,162,87
410,2016,Ian Kinsler,DET,153,679,0.169,0.273,0.695,0.641,0.926,0.477,0.614,0.066,0.258,1.065677966,2550,0.449,0.852,159,224,120
411,2012,Torii Hunter,LAA,140,584,0.228,0.344,0.594,0.696,0.839,0.459,0.603,0.126,0.281,0.992443325,2087,0.506,0.749,205,100,89
412,2017,Eugenio Suarez,CIN,156,632,0.233,0.242,0.584,0.655,0.864,0.434,0.593,0.096,0.277,0.80952381,2687,0.421,0.773,152,145,94
413,2011,Jhonny Peralta,DET,146,576,0.165,0.28,0.648,0.702,0.878,0.463,0.573,0.092,0.241,1.083950617,2202,0.476,0.805,157,194,88
414,2011,Carlos Pena,CHC,153,606,0.266,0.256,0.512,0.726,0.799,0.399,0.568,0.132,0.261,0.739910314,2501,0.444,0.699,123,156,51
415,2013,Chase Utley,PHI,131,531,0.149,0.286,0.673,0.593,0.931,0.434,0.544,0.07,0.283,1.298701299,2033,0.419,0.831,152,170,78
416,2014,Neil Walker,PIT,137,571,0.154,0.314,0.733,0.711,0.9,0.411,0.562,0.078,0.231,0.954954955,2176,0.477,0.836,163,165,96
417,2018,Jose Martinez,STL,152,590,0.176,0.295,0.686,0.638,0.881,0.41,0.588,0.086,0.271,1.10178117,2358,0.436,0.803,200,120,113
418,2019,Trea Turner,WSN,122,569,0.199,0.319,0.608,0.686,0.898,0.404,0.624,0.103,0.277,1.012376238,2233,0.467,0.78,193,134,82
419,2016,Jonathan Villar,MIL,156,679,0.256,0.241,0.575,0.662,0.831,0.449,0.573,0.106,0.279,0.785575049,2832,0.43,0.752,224,97,82
420,2018,Shin-Soo Choo,TEX,146,665,0.235,0.239,0.598,0.624,0.821,0.432,0.582,0.103,0.284,0.928735632,2770,0.406,0.746,203,113,88
421,2011,Ryan Howard,PHI,152,644,0.267,0.312,0.537,0.716,0.781,0.379,0.52,0.146,0.274,0.862831858,2666,0.465,0.679,157,152,81
422,2010,Stephen Drew,ARI,151,633,0.171,0.241,0.619,0.658,0.922,0.436,0.551,0.074,0.251,1.098321343,2511,0.423,0.824,184,187,87
423,2011,Seth Smith,COL,147,533,0.174,0.318,0.671,0.712,0.852,0.42,0.559,0.103,0.253,0.953431373,2107,0.483,0.783,148,157,84
424,2019,Max Kepler,MIN,134,596,0.166,0.306,0.621,0.758,0.922,0.414,0.629,0.093,0.225,0.983944954,2160,0.493,0.812,155,200,74
425,2015,Jason Kipnis,CLE,141,641,0.167,0.267,0.674,0.624,0.921,0.46,0.562,0.069,0.269,1.013157895,2540,0.431,0.839,208,130,124
426,2017,Jonathan Schoop,BAL,160,675,0.21,0.371,0.59,0.74,0.839,0.416,0.612,0.138,0.263,0.98582996,2544,0.524,0.736,204,181,102
427,2016,Jose Ramirez,CLE,152,618,0.1,0.277,0.844,0.64,0.912,0.447,0.57,0.049,0.245,1.137697517,2428,0.439,0.888,206,183,115
428,2012,Carlos Beltran,STL,151,619,0.2,0.308,0.635,0.702,0.898,0.403,0.577,0.094,0.251,1.024038462,2271,0.467,0.794,178,161,87
429,2018,Ben Zobrist,CHC,139,520,0.115,0.26,0.768,0.596,0.921,0.441,0.581,0.055,0.262,1.270700637,2018,0.408,0.866,192,121,86
430,2015,Eric Hosmer,KCR,158,667,0.162,0.322,0.681,0.648,0.896,0.412,0.57,0.087,0.248,1.072687225,2557,0.456,0.807,253,119,115
431,2016,Jose Bautista,TOR,116,517,0.199,0.202,0.604,0.587,0.894,0.425,0.561,0.072,0.272,1.0125,2195,0.366,0.802,128,135,61
432,2013,Chris Johnson,ATL,142,547,0.212,0.385,0.564,0.722,0.886,0.442,0.616,0.129,0.267,0.93676815,2049,0.534,0.756,182,110,108
433,2019,Matt Chapman,OAK,156,670,0.219,0.248,0.675,0.65,0.835,0.428,0.575,0.092,0.28,0.912681913,2805,0.42,0.781,182,189,68
434,2010,Delmon Young,MIN,153,613,0.132,0.396,0.729,0.798,0.876,0.455,0.61,0.103,0.202,1.109375,1988,0.579,0.821,222,198,77
435,2015,Adrian Gonzalez,LAD,156,643,0.166,0.331,0.674,0.744,0.881,0.415,0.543,0.099,0.22,0.871028037,2485,0.503,0.801,174,171,121
436,2016,Jackie Bradley Jr.,BOS,156,636,0.225,0.29,0.627,0.653,0.833,0.445,0.596,0.108,0.289,0.952272727,2509,0.451,0.759,198,144,77
437,2019,Ryan Braun,MIL,144,508,0.207,0.374,0.599,0.727,0.892,0.395,0.614,0.122,0.266,0.936675462,1875,0.513,0.763,179,108,68
438,2014,Melky Cabrera,TOR,139,621,0.108,0.327,0.817,0.638,0.934,0.397,0.605,0.052,0.238,1.240786241,2295,0.45,0.883,249,149,107
439,2019,Ozzie Albies,ATL,160,702,0.16,0.379,0.674,0.814,0.868,0.404,0.641,0.117,0.215,0.943060498,2494,0.555,0.789,201,194,135
440,2011,Casey Kotchman,TBR,146,563,0.117,0.257,0.784,0.618,0.925,0.43,0.575,0.051,0.25,1.266666667,2168,0.412,0.875,244,113,80
441,2010,Martin Prado,ATL,140,651,0.132,0.257,0.796,0.555,0.955,0.491,0.567,0.039,0.27,1.23923445,2568,0.403,0.904,251,158,109
442,2011,Nelson Cruz,TEX,124,513,0.226,0.317,0.629,0.724,0.794,0.461,0.567,0.132,0.265,0.947643979,1997,0.505,0.738,150,155,57
443,2013,Ryan Zimmerman,WSN,147,633,0.21,0.305,0.662,0.555,0.864,0.44,0.599,0.091,0.306,1.137662338,2540,0.415,0.781,196,148,94
444,2014,Carlos Santana,CLE,152,660,0.188,0.217,0.72,0.589,0.856,0.422,0.518,0.07,0.255,0.934831461,2841,0.374,0.81,167,168,81
445,2011,Brandon Phillips,CIN,150,675,0.126,0.342,0.686,0.768,0.915,0.445,0.596,0.088,0.209,0.916955017,2504,0.531,0.833,240,185,105
446,2015,Mike Moustakas,KCR,147,614,0.124,0.33,0.752,0.656,0.914,0.437,0.583,0.071,0.23,0.942345924,2435,0.472,0.85,189,196,89
447,2019,Shin-Soo Choo,TEX,151,660,0.25,0.227,0.503,0.659,0.814,0.444,0.592,0.117,0.289,0.936018957,2707,0.419,0.72,194,115,86
448,2018,Gregory Polanco,PIT,130,535,0.219,0.285,0.655,0.696,0.861,0.402,0.574,0.098,0.25,0.805555556,2213,0.45,0.783,116,167,65
449,2018,J.T. Realmuto,MIA,125,531,0.196,0.299,0.639,0.678,0.869,0.452,0.606,0.099,0.267,0.992105263,2042,0.47,0.789,150,141,86
450,2016,Justin Turner,LAD,151,622,0.172,0.244,0.766,0.66,0.869,0.481,0.605,0.071,0.251,0.987041037,2466,0.444,0.84,165,183,109
451,2016,George Springer,HOU,162,744,0.239,0.272,0.618,0.741,0.797,0.431,0.634,0.123,0.259,0.833928571,2932,0.474,0.739,225,147,95
452,2014,Mike Napoli,BOS,119,500,0.266,0.235,0.631,0.61,0.79,0.439,0.56,0.104,0.299,0.76,2235,0.4,0.738,129,102,54
453,2013,Shane Victorino,BOS,122,532,0.141,0.319,0.779,0.556,0.907,0.448,0.596,0.062,0.29,1.154069767,2039,0.425,0.855,169,139,89
454,2019,Starling Marte,PIT,132,586,0.16,0.364,0.635,0.774,0.858,0.412,0.626,0.123,0.24,1.018518519,2127,0.533,0.769,222,124,94
455,2011,Yadier Molina,STL,139,518,0.085,0.328,0.806,0.706,0.934,0.48,0.627,0.055,0.192,1.133159269,1797,0.51,0.891,195,154,85
456,2017,Jake Lamb,ARI,149,635,0.239,0.224,0.586,0.618,0.866,0.442,0.561,0.088,0.281,0.965260546,2558,0.398,0.778,160,149,80
457,2011,Matt Joyce,TBR,141,522,0.203,0.282,0.701,0.68,0.827,0.437,0.579,0.097,0.24,0.921319797,2120,0.456,0.783,132,154,77
458,2017,Francisco Lindor,CLE,159,723,0.129,0.307,0.753,0.68,0.926,0.443,0.585,0.065,0.227,1.001801802,2727,0.472,0.863,218,236,102
459,2011,Miguel Montero,ARI,140,553,0.175,0.343,0.703,0.77,0.867,0.401,0.649,0.1,0.223,0.884444444,2058,0.514,0.802,168,143,87
460,2010,Nick Markakis,BAL,160,709,0.131,0.25,0.847,0.603,0.925,0.449,0.549,0.041,0.25,1.056640625,2864,0.409,0.899,247,197,97
461,2012,Jay Bruce,CIN,155,633,0.245,0.285,0.556,0.758,0.847,0.399,0.572,0.12,0.261,0.911111111,2444,0.474,0.742,145,182,83
462,2011,Billy Butler,KCR,159,673,0.141,0.281,0.698,0.63,0.874,0.449,0.568,0.08,0.261,1.30848329,2526,0.438,0.812,232,182,95
463,2019,Jorge Polanco,MIN,153,704,0.165,0.285,0.719,0.672,0.907,0.416,0.595,0.073,0.249,0.986538462,2771,0.446,0.836,150,228,135
464,2016,Jake Lamb,ARI,151,594,0.259,0.278,0.529,0.653,0.838,0.431,0.54,0.119,0.292,0.941919192,2411,0.439,0.727,171,137,65
465,2012,Bryce Harper,WSN,139,597,0.201,0.345,0.631,0.746,0.86,0.382,0.59,0.118,0.235,0.893939394,2307,0.498,0.762,184,136,93
466,2010,Alfonso Soriano,CHC,147,548,0.224,0.386,0.596,0.675,0.845,0.397,0.558,0.134,0.283,0.94,2121,0.501,0.73,110,204,62
467,2012,Ryan Zimmerman,WSN,145,641,0.181,0.298,0.678,0.57,0.865,0.43,0.566,0.087,0.302,1.269754768,2544,0.415,0.789,224,156,86
468,2012,Garrett Jones,PIT,145,515,0.2,0.36,0.667,0.737,0.841,0.396,0.567,0.118,0.257,0.945137157,1997,0.509,0.767,151,158,70
469,2018,Yasmani Grandal,LAD,140,518,0.239,0.227,0.59,0.579,0.818,0.448,0.541,0.099,0.31,1.009493671,2222,0.384,0.744,131,133,55
470,2012,Jason Kubel,ARI,141,571,0.264,0.28,0.603,0.632,0.819,0.408,0.531,0.111,0.303,0.920918367,2425,0.423,0.734,120,158,83
471,2012,Chris Davis,BAL,139,562,0.301,0.389,0.56,0.776,0.825,0.395,0.626,0.156,0.27,0.673745174,2254,0.542,0.71,137,131,81
472,2019,Danny Santana,TEX,130,511,0.295,0.419,0.582,0.742,0.818,0.423,0.624,0.158,0.285,0.738738739,1942,0.556,0.715,132,115,81
473,2014,Adrian Gonzalez,LAD,159,660,0.17,0.359,0.704,0.746,0.873,0.398,0.548,0.1,0.227,0.905555556,2502,0.513,0.802,188,185,116
474,2015,Mookie Betts,BOS,145,654,0.125,0.253,0.729,0.557,0.93,0.491,0.615,0.054,0.295,1.304020101,2634,0.402,0.866,198,220,101
475,2011,Michael Cuddyer,MIN,139,584,0.163,0.329,0.7,0.596,0.905,0.472,0.57,0.079,0.276,1.0925,2225,0.455,0.827,212,147,78
476,2012,A.J. Pierzynski,CHW,135,520,0.15,0.431,0.755,0.772,0.912,0.423,0.602,0.089,0.2,0.861702128,1802,0.575,0.844,170,145,90
477,2013,Domonic Brown,PHI,139,540,0.18,0.309,0.66,0.761,0.867,0.407,0.572,0.102,0.23,0.99017199,2080,0.493,0.79,171,140,92
478,2011,Carlos Santana,CLE,155,658,0.202,0.211,0.628,0.583,0.842,0.441,0.544,0.083,0.284,1.052238806,2839,0.375,0.775,189,169,65
479,2016,Starling Marte,PIT,129,529,0.197,0.392,0.619,0.74,0.865,0.427,0.605,0.127,0.25,0.843400447,1995,0.541,0.763,182,107,88
480,2017,Alex Bregman,HOU,155,626,0.155,0.258,0.75,0.664,0.905,0.467,0.633,0.064,0.239,1.114832536,2302,0.448,0.857,179,186,101
481,2018,Stephen Piscotty,OAK,151,605,0.188,0.377,0.595,0.736,0.871,0.432,0.65,0.128,0.265,0.990929705,2167,0.533,0.76,196,144,97
482,2016,Victor Martinez,DET,154,610,0.148,0.326,0.753,0.667,0.906,0.42,0.575,0.073,0.231,1.030973451,2316,0.469,0.845,174,183,109
483,2012,Jason Heyward,ATL,158,651,0.233,0.321,0.651,0.67,0.825,0.409,0.519,0.114,0.265,0.904564315,2624,0.464,0.754,192,160,84
484,2018,Travis Shaw,MIL,152,587,0.184,0.288,0.709,0.665,0.879,0.412,0.542,0.082,0.233,0.834394904,2390,0.444,0.814,147,175,71
485,2014,Josh Donaldson,OAK,158,695,0.187,0.241,0.587,0.663,0.846,0.449,0.591,0.1,0.269,1.169902913,2714,0.43,0.766,219,198,65
486,2015,Adam Lind,MIL,149,572,0.175,0.341,0.702,0.613,0.892,0.409,0.545,0.086,0.268,0.971223022,2254,0.452,0.807,187,142,76
487,2011,Josh Willingham,OAK,136,563,0.266,0.204,0.57,0.606,0.821,0.484,0.615,0.097,0.296,0.988571429,2311,0.399,0.755,120,166,60
488,2017,Carlos Santana,CLE,154,667,0.141,0.214,0.706,0.621,0.869,0.456,0.541,0.071,0.248,1.208121827,2648,0.4,0.821,194,187,95
489,2018,Didi Gregorius,NYY,134,569,0.121,0.362,0.71,0.747,0.903,0.397,0.594,0.092,0.214,1,2082,0.515,0.821,171,183,86
490,2011,Melky Cabrera,KCR,155,706,0.133,0.359,0.8,0.671,0.94,0.437,0.612,0.058,0.216,0.994680851,2573,0.495,0.883,264,183,114
491,2017,Jay Bruce,- - -,146,617,0.225,0.313,0.582,0.733,0.825,0.438,0.6,0.13,0.258,0.88,2432,0.497,0.739,136,195,87
492,2014,Todd Frazier,CIN,157,660,0.211,0.326,0.609,0.681,0.834,0.431,0.582,0.121,0.27,1.017660044,2555,0.479,0.747,190,171,100
493,2011,Dexter Fowler,COL,125,563,0.231,0.23,0.652,0.674,0.812,0.433,0.57,0.099,0.26,0.915119363,2243,0.422,0.763,150,121,74
494,2016,Evan Longoria,TBR,160,685,0.21,0.337,0.626,0.672,0.832,0.452,0.616,0.119,0.282,1.148148148,2523,0.488,0.754,158,232,106
495,2012,Andre Ethier,LAD,149,618,0.201,0.319,0.593,0.714,0.883,0.429,0.566,0.109,0.249,0.941558442,2368,0.489,0.775,188,142,105
496,2013,Adam Jones,BAL,160,689,0.197,0.438,0.635,0.783,0.829,0.413,0.646,0.148,0.256,0.959259259,2450,0.581,0.743,250,166,102
497,2011,Brian McCann,ATL,128,527,0.169,0.3,0.746,0.685,0.876,0.414,0.518,0.078,0.228,0.919512195,2069,0.46,0.827,142,176,59
498,2010,Chris Young,ARI,156,664,0.218,0.213,0.603,0.554,0.855,0.461,0.556,0.083,0.304,1.222841226,2775,0.37,0.777,148,218,73
499,2015,Logan Forsythe,TBR,153,615,0.18,0.242,0.707,0.577,0.891,0.483,0.616,0.067,0.288,1.028436019,2540,0.404,0.834,172,176,86
500,2011,Mark Reynolds,BAL,155,620,0.316,0.271,0.47,0.701,0.732,0.453,0.616,0.163,0.304,0.756097561,2618,0.466,0.649,133,163,45
501,2012,Alfonso Soriano,CHC,151,615,0.249,0.372,0.572,0.692,0.831,0.404,0.592,0.142,0.282,0.973933649,2322,0.501,0.716,147,180,84
502,2013,Eric Hosmer,KCR,159,680,0.147,0.318,0.695,0.682,0.892,0.426,0.54,0.087,0.25,1.13362069,2566,0.473,0.816,277,131,118
503,2015,Ben Zobrist,- - -,126,535,0.105,0.226,0.809,0.554,0.928,0.43,0.548,0.042,0.266,1.442508711,2157,0.367,0.886,203,134,77
504,2017,Eddie Rosario,MIN,151,589,0.18,0.376,0.72,0.761,0.821,0.449,0.594,0.119,0.236,0.909278351,2155,0.549,0.783,187,165,89
505,2010,Justin Upton,ARI,133,571,0.266,0.233,0.542,0.617,0.833,0.459,0.562,0.104,0.283,0.915789474,2396,0.409,0.743,144,137,67
506,2018,Whit Merrifield,KCR,158,707,0.161,0.328,0.731,0.677,0.884,0.425,0.59,0.084,0.247,0.94384058,2733,0.477,0.823,182,184,155
507,2019,Francisco Lindor,CLE,143,654,0.15,0.354,0.754,0.737,0.916,0.412,0.576,0.077,0.21,0.909584087,2426,0.512,0.85,220,184,99
508,2011,Jay Bruce,CIN,157,664,0.238,0.308,0.57,0.728,0.852,0.408,0.548,0.12,0.25,0.842519685,2623,0.479,0.745,156,200,72
509,2011,Howie Kendrick,LAA,140,583,0.204,0.319,0.656,0.628,0.876,0.464,0.599,0.094,0.285,0.936218679,2313,0.462,0.795,212,109,90
510,2017,Trey Mancini,BAL,147,586,0.237,0.349,0.6,0.721,0.812,0.43,0.613,0.138,0.274,0.931506849,2280,0.509,0.729,208,121,79
511,2016,Khris Davis,OAK,150,610,0.272,0.313,0.515,0.767,0.762,0.456,0.639,0.166,0.298,0.905529954,2331,0.52,0.682,168,158,67
512,2016,Carlos Correa,HOU,153,660,0.211,0.294,0.642,0.651,0.845,0.429,0.598,0.103,0.278,0.940298507,2642,0.448,0.769,221,121,99
513,2018,Justin Smoak,TOR,147,594,0.263,0.246,0.608,0.635,0.855,0.403,0.556,0.095,0.279,0.871287129,2452,0.403,0.765,139,150,63
514,2017,Joe Mauer,MIN,141,597,0.139,0.205,0.775,0.534,0.933,0.485,0.57,0.041,0.281,1.105263158,2601,0.364,0.887,227,104,110
515,2019,Tommy Pham,TBR,145,654,0.188,0.199,0.626,0.63,0.886,0.428,0.583,0.073,0.276,1.216438356,2604,0.384,0.809,237,110,97
516,2016,Jose Abreu,CHW,159,695,0.18,0.397,0.659,0.693,0.875,0.401,0.593,0.115,0.256,0.88966725,2695,0.516,0.776,231,169,108
517,2017,Yasiel Puig,LAD,152,570,0.175,0.293,0.598,0.695,0.869,0.42,0.589,0.107,0.253,1.157593123,2119,0.462,0.769,195,144,65
518,2019,Mike Moustakas,MIL,143,584,0.168,0.339,0.663,0.741,0.86,0.393,0.522,0.11,0.236,0.959276018,2233,0.498,0.779,152,192,80
519,2015,Yunel Escobar,WSN,139,591,0.118,0.284,0.672,0.755,0.921,0.449,0.638,0.078,0.215,1.276712329,1991,0.495,0.843,254,108,104
520,2017,Steven Souza Jr.,TBR,148,617,0.29,0.244,0.504,0.708,0.787,0.419,0.601,0.133,0.285,0.815789474,2490,0.438,0.696,152,117,72
521,2018,Justin Upton,LAA,145,613,0.287,0.249,0.556,0.664,0.795,0.427,0.576,0.121,0.297,0.891891892,2527,0.426,0.715,154,130,79
522,2018,Matt Kemp,LAD,146,506,0.227,0.343,0.607,0.737,0.803,0.417,0.644,0.139,0.276,1.102803738,1833,0.507,0.726,124,135,95
523,2017,Christian Yelich,MIA,156,695,0.197,0.25,0.616,0.641,0.884,0.444,0.521,0.086,0.263,0.930555556,2883,0.424,0.796,260,118,91
524,2011,Yunel Escobar,TOR,133,590,0.119,0.207,0.694,0.632,0.929,0.458,0.563,0.055,0.251,1.429487179,2191,0.401,0.863,255,110,81
525,2015,Mitch Moreland,TEX,132,515,0.217,0.304,0.578,0.695,0.869,0.429,0.573,0.112,0.277,0.991825613,2033,0.472,0.762,166,126,72
526,2016,Xander Bogaerts,BOS,157,719,0.171,0.338,0.684,0.591,0.907,0.455,0.591,0.083,0.284,1.011450382,2849,0.453,0.817,241,185,104
527,2011,Chipper Jones,ATL,126,512,0.156,0.25,0.678,0.714,0.887,0.421,0.545,0.079,0.229,1.313793103,1842,0.445,0.819,188,133,60
528,2011,Freddie Freeman,ATL,157,635,0.224,0.363,0.66,0.764,0.86,0.384,0.602,0.117,0.225,0.78057554,2475,0.517,0.774,184,150,100
529,2016,Michael Saunders,TOR,140,558,0.281,0.258,0.5,0.699,0.844,0.428,0.55,0.12,0.27,0.752252252,2383,0.447,0.73,136,123,75
530,2014,Dexter Fowler,HOU,116,505,0.214,0.245,0.639,0.686,0.829,0.417,0.56,0.1,0.255,0.894736842,2085,0.429,0.765,141,113,69
531,2010,Bobby Abreu,LAA,154,667,0.198,0.177,0.676,0.509,0.897,0.448,0.558,0.056,0.312,1.351515152,2866,0.326,0.831,211,161,74
532,2018,Jed Lowrie,OAK,157,680,0.188,0.252,0.675,0.736,0.877,0.425,0.593,0.085,0.23,0.854545455,2738,0.458,0.813,156,204,110
