,Season,Name,Team,G,PA,BB%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,Pitches,Swing%,Contact%,GB,FB,LD
490,2019,Max Kepler,MIN,134,596,0.101,0.306,0.621,0.758,0.922,0.414,0.629,0.093,0.225,0.983944954,2160,0.493,0.812,155,200,74
491,2018,Francisco Cervelli,PIT,104,404,0.126,0.215,0.547,0.629,0.869,0.434,0.606,0.091,0.28,1.008,1656,0.394,0.77,98,105,49
492,2015,Jason Kipnis,CLE,141,641,0.089,0.267,0.674,0.624,0.921,0.46,0.562,0.069,0.269,1.013157895,2540,0.431,0.839,208,130,124
493,2017,Jonathan Schoop,BAL,160,675,0.052,0.371,0.59,0.74,0.839,0.416,0.612,0.138,0.263,0.98582996,2544,0.524,0.736,204,181,102
494,2017,Mike Zunino,SEA,124,435,0.09,0.301,0.437,0.723,0.736,0.459,0.616,0.179,0.317,0.670588235,1800,0.495,0.637,73,104,51
495,2016,Jose Ramirez,CLE,152,618,0.071,0.277,0.844,0.64,0.912,0.447,0.57,0.049,0.245,1.137697517,2428,0.439,0.888,206,183,115
496,2012,Carlos Beltran,STL,151,619,0.105,0.308,0.635,0.702,0.898,0.403,0.577,0.094,0.251,1.024038462,2271,0.467,0.794,178,161,87
497,2018,Ben Zobrist,CHC,139,520,0.106,0.26,0.768,0.596,0.921,0.441,0.581,0.055,0.262,1.270700637,2018,0.408,0.866,192,121,86
498,2015,Eric Hosmer,KCR,158,667,0.091,0.322,0.681,0.648,0.896,0.412,0.57,0.087,0.248,1.072687225,2557,0.456,0.807,253,119,115
499,2016,Jose Bautista,TOR,116,517,0.168,0.202,0.604,0.587,0.894,0.425,0.561,0.072,0.272,1.0125,2195,0.366,0.802,128,135,61
500,2013,Chris Johnson,ATL,142,547,0.053,0.385,0.564,0.722,0.886,0.442,0.616,0.129,0.267,0.93676815,2049,0.534,0.756,182,110,108
501,2019,Matt Chapman,OAK,156,670,0.109,0.248,0.675,0.65,0.835,0.428,0.575,0.092,0.28,0.912681913,2805,0.42,0.781,182,189,68
502,2021,Franmil Reyes,CLE,115,466,0.092,0.297,0.546,0.7,0.78,0.388,0.549,0.142,0.297,0.786127168,1988,0.453,0.686,126,98,48
503,2015,Adrian Gonzalez,LAD,156,643,0.096,0.331,0.674,0.744,0.881,0.415,0.543,0.099,0.22,0.871028037,2485,0.503,0.801,174,171,121
504,2016,Jackie Bradley Jr.,BOS,156,636,0.099,0.29,0.627,0.653,0.833,0.445,0.596,0.108,0.289,0.952272727,2509,0.451,0.759,198,144,77
505,2011,Daniel Murphy,NYM,109,423,0.057,0.311,0.835,0.667,0.94,0.413,0.567,0.046,0.217,1.189830508,1571,0.458,0.898,165,109,77
506,2019,Ryan Braun,MIL,144,508,0.067,0.374,0.599,0.727,0.892,0.395,0.614,0.122,0.266,0.936675462,1875,0.513,0.763,179,108,68
507,2018,Joc Pederson,LAD,148,443,0.09,0.331,0.669,0.626,0.832,0.424,0.621,0.108,0.284,0.948328267,1839,0.456,0.764,123,136,53
508,2012,Todd Frazier,CIN,128,465,0.077,0.356,0.664,0.704,0.815,0.408,0.632,0.124,0.267,0.907042254,1810,0.498,0.751,106,144,72
509,2021,Jose Abreu,CHW,152,659,0.093,0.359,0.606,0.665,0.86,0.407,0.621,0.122,0.284,0.850687623,2606,0.483,0.748,201,151,81
510,2014,Melky Cabrera,TOR,139,621,0.069,0.327,0.817,0.638,0.934,0.397,0.605,0.052,0.238,1.240786241,2295,0.45,0.883,249,149,107
511,2021,Bo Bichette,TOR,159,690,0.058,0.425,0.687,0.808,0.889,0.401,0.646,0.116,0.219,0.725321888,2609,0.578,0.8,249,154,104
512,2019,Ozzie Albies,ATL,160,702,0.077,0.379,0.674,0.814,0.868,0.404,0.641,0.117,0.215,0.943060498,2494,0.555,0.789,201,194,135
513,2019,Eric Thames,MIL,149,459,0.111,0.309,0.517,0.729,0.808,0.388,0.603,0.146,0.29,0.726760563,1881,0.472,0.691,86,119,53
514,2011,Casey Kotchman,TBR,146,563,0.085,0.257,0.784,0.618,0.925,0.43,0.575,0.051,0.25,1.266666667,2168,0.412,0.875,244,113,80
515,2011,Nelson Cruz,TEX,124,513,0.064,0.317,0.629,0.724,0.794,0.461,0.567,0.132,0.265,0.947643979,1997,0.505,0.738,150,155,57
516,2013,Ryan Zimmerman,WSN,147,633,0.095,0.305,0.662,0.555,0.864,0.44,0.599,0.091,0.306,1.137662338,2540,0.415,0.781,196,148,94
517,2015,Khris Davis,MIL,121,440,0.1,0.277,0.52,0.728,0.76,0.454,0.593,0.152,0.3,0.869426752,1777,0.482,0.685,116,110,47
518,2014,Carlos Santana,CLE,152,660,0.171,0.217,0.72,0.589,0.856,0.422,0.518,0.07,0.255,0.934831461,2841,0.374,0.81,167,168,81
519,2011,Brandon Phillips,CIN,150,675,0.065,0.342,0.686,0.768,0.915,0.445,0.596,0.088,0.209,0.916955017,2504,0.531,0.833,240,185,105
520,2015,Mike Moustakas,KCR,147,614,0.07,0.33,0.752,0.656,0.914,0.437,0.583,0.071,0.23,0.942345924,2435,0.472,0.85,189,196,89
521,2019,Shin-Soo Choo,TEX,151,660,0.118,0.227,0.503,0.659,0.814,0.444,0.592,0.117,0.289,0.936018957,2707,0.419,0.72,194,115,86
522,2018,Gregory Polanco,PIT,130,535,0.114,0.285,0.655,0.696,0.861,0.402,0.574,0.098,0.25,0.805555556,2213,0.45,0.783,116,167,65
523,2018,J.T. Realmuto,MIA,125,531,0.072,0.299,0.639,0.678,0.869,0.452,0.606,0.099,0.267,0.992105263,2042,0.47,0.789,150,141,86
524,2021,Ty France,SEA,152,650,0.071,0.341,0.683,0.738,0.922,0.408,0.58,0.087,0.228,0.898854962,2394,0.503,0.826,215,148,108
525,2016,Justin Turner,LAD,151,622,0.077,0.244,0.766,0.66,0.869,0.481,0.605,0.071,0.251,0.987041037,2466,0.444,0.84,165,183,109
526,2014,Chris Coghlan,CHC,125,432,0.09,0.277,0.668,0.67,0.896,0.443,0.579,0.082,0.255,0.965189873,1684,0.451,0.818,131,96,78
527,2016,George Springer,HOU,162,744,0.118,0.272,0.618,0.741,0.797,0.431,0.634,0.123,0.259,0.833928571,2932,0.474,0.739,225,147,95
528,2014,Mike Napoli,BOS,119,500,0.156,0.235,0.631,0.61,0.79,0.439,0.56,0.104,0.299,0.76,2235,0.4,0.738,129,102,54
529,2013,Shane Victorino,BOS,122,532,0.047,0.319,0.779,0.556,0.907,0.448,0.596,0.062,0.29,1.154069767,2039,0.425,0.855,169,139,89
530,2019,Starling Marte,PIT,132,586,0.043,0.364,0.635,0.774,0.858,0.412,0.626,0.123,0.24,1.018518519,2127,0.533,0.769,222,124,94
531,2011,Yadier Molina,STL,139,518,0.064,0.328,0.806,0.706,0.934,0.48,0.627,0.055,0.192,1.133159269,1797,0.51,0.891,195,154,85
532,2017,Jake Lamb,ARI,149,635,0.137,0.224,0.586,0.618,0.866,0.442,0.561,0.088,0.281,0.965260546,2558,0.398,0.778,160,149,80
533,2011,Matt Joyce,TBR,141,522,0.094,0.282,0.701,0.68,0.827,0.437,0.579,0.097,0.24,0.921319797,2120,0.456,0.783,132,154,77
534,2017,Francisco Lindor,CLE,159,723,0.083,0.307,0.753,0.68,0.926,0.443,0.585,0.065,0.227,1.001801802,2727,0.472,0.863,218,236,102
535,2011,Miguel Montero,ARI,140,553,0.085,0.343,0.703,0.77,0.867,0.401,0.649,0.1,0.223,0.884444444,2058,0.514,0.802,168,143,87
536,2021,Josh Donaldson,MIN,135,543,0.136,0.263,0.615,0.715,0.815,0.417,0.576,0.114,0.263,0.959016393,2125,0.451,0.748,151,140,60
537,2019,Mike Yastrzemski,SFG,107,411,0.078,0.292,0.642,0.694,0.815,0.444,0.616,0.115,0.279,0.829652997,1632,0.471,0.755,89,114,60
538,2012,Jay Bruce,CIN,155,633,0.098,0.285,0.556,0.758,0.847,0.399,0.572,0.12,0.261,0.911111111,2444,0.474,0.742,145,182,83
539,2011,Billy Butler,KCR,159,673,0.098,0.281,0.698,0.63,0.874,0.449,0.568,0.08,0.261,1.30848329,2526,0.438,0.812,232,182,95
540,2019,Jorge Polanco,MIN,153,704,0.085,0.285,0.719,0.672,0.907,0.416,0.595,0.073,0.249,0.986538462,2771,0.446,0.836,150,228,135
541,2016,Jake Lamb,ARI,151,594,0.108,0.278,0.529,0.653,0.838,0.431,0.54,0.119,0.292,0.941919192,2411,0.439,0.727,171,137,65
542,2012,Bryce Harper,WSN,139,597,0.094,0.345,0.631,0.746,0.86,0.382,0.59,0.118,0.235,0.893939394,2307,0.498,0.762,184,136,93
543,2019,Shohei Ohtani,LAA,106,425,0.078,0.328,0.661,0.741,0.81,0.396,0.584,0.123,0.261,0.812865497,1683,0.491,0.75,138,68,72
544,2014,Evan Gattis,ATL,108,401,0.055,0.409,0.624,0.704,0.821,0.415,0.676,0.141,0.279,0.982078853,1424,0.531,0.732,106,122,46
545,2012,Ryan Zimmerman,WSN,145,641,0.089,0.298,0.678,0.57,0.865,0.43,0.566,0.087,0.302,1.269754768,2544,0.415,0.789,224,156,86
546,2012,Jeff Keppinger,TBR,115,418,0.057,0.263,0.866,0.596,0.956,0.472,0.667,0.031,0.25,1.737864078,1449,0.42,0.926,177,98,83
547,2012,Garrett Jones,PIT,145,515,0.064,0.36,0.667,0.737,0.841,0.396,0.567,0.118,0.257,0.945137157,1997,0.509,0.767,151,158,70
548,2021,Josh Bell,WSN,144,568,0.114,0.274,0.649,0.755,0.842,0.401,0.583,0.105,0.236,1.028277635,2182,0.467,0.774,214,106,80
549,2017,Brandon Belt,SFG,104,451,0.146,0.22,0.626,0.754,0.817,0.437,0.554,0.107,0.223,0.735849057,1858,0.453,0.765,81,128,64
550,2018,Yasmani Grandal,LAD,140,518,0.139,0.227,0.59,0.579,0.818,0.448,0.541,0.099,0.31,1.009493671,2222,0.384,0.744,131,133,55
551,2012,Jason Kubel,ARI,141,571,0.1,0.28,0.603,0.632,0.819,0.408,0.531,0.111,0.303,0.920918367,2425,0.423,0.734,120,158,83
552,2012,Chris Davis,BAL,139,562,0.066,0.389,0.56,0.776,0.825,0.395,0.626,0.156,0.27,0.673745174,2254,0.542,0.71,137,131,81
553,2019,Danny Santana,TEX,130,511,0.049,0.419,0.582,0.742,0.818,0.423,0.624,0.158,0.285,0.738738739,1942,0.556,0.715,132,115,81
554,2014,Adrian Gonzalez,LAD,159,660,0.085,0.359,0.704,0.746,0.873,0.398,0.548,0.1,0.227,0.905555556,2502,0.513,0.802,188,185,116
555,2015,Mookie Betts,BOS,145,654,0.07,0.253,0.729,0.557,0.93,0.491,0.615,0.054,0.295,1.304020101,2634,0.402,0.866,198,220,101
556,2011,Michael Cuddyer,MIN,139,584,0.082,0.329,0.7,0.596,0.905,0.472,0.57,0.079,0.276,1.0925,2225,0.455,0.827,212,147,78
557,2012,A.J. Pierzynski,CHW,135,520,0.054,0.431,0.755,0.772,0.912,0.423,0.602,0.089,0.2,0.861702128,1802,0.575,0.844,170,145,90
558,2013,Domonic Brown,PHI,139,540,0.072,0.309,0.66,0.761,0.867,0.407,0.572,0.102,0.23,0.99017199,2080,0.493,0.79,171,140,92
559,2011,Carlos Santana,CLE,155,658,0.147,0.211,0.628,0.583,0.842,0.441,0.544,0.083,0.284,1.052238806,2839,0.375,0.775,189,169,65
560,2016,Starling Marte,PIT,129,529,0.043,0.392,0.619,0.74,0.865,0.427,0.605,0.127,0.25,0.843400447,1995,0.541,0.763,182,107,88
561,2016,Neil Walker,NYM,113,458,0.092,0.3,0.681,0.691,0.887,0.429,0.566,0.088,0.243,0.886486486,1838,0.468,0.812,116,142,70
562,2015,Alex Gordon,KCR,104,422,0.116,0.224,0.608,0.676,0.857,0.438,0.585,0.09,0.256,0.917241379,1683,0.422,0.783,100,100,66
563,2017,Alex Bregman,HOU,155,626,0.088,0.258,0.75,0.664,0.905,0.467,0.633,0.064,0.239,1.114832536,2302,0.448,0.857,179,186,101
564,2018,Stephen Piscotty,OAK,151,605,0.069,0.377,0.595,0.736,0.871,0.432,0.65,0.128,0.265,0.990929705,2167,0.533,0.76,196,144,97
565,2016,Victor Martinez,DET,154,610,0.082,0.326,0.753,0.667,0.906,0.42,0.575,0.073,0.231,1.030973451,2316,0.469,0.845,174,183,109
566,2012,Jason Heyward,ATL,158,651,0.089,0.321,0.651,0.67,0.825,0.409,0.519,0.114,0.265,0.904564315,2624,0.464,0.754,192,160,84
567,2018,Travis Shaw,MIL,152,587,0.133,0.288,0.709,0.665,0.879,0.412,0.542,0.082,0.233,0.834394904,2390,0.444,0.814,147,175,71
568,2014,Josh Donaldson,OAK,158,695,0.109,0.241,0.587,0.663,0.846,0.449,0.591,0.1,0.269,1.169902913,2714,0.43,0.766,219,198,65
569,2015,Adam Lind,MIL,149,572,0.115,0.341,0.702,0.613,0.892,0.409,0.545,0.086,0.268,0.971223022,2254,0.452,0.807,187,142,76
570,2011,Josh Willingham,OAK,136,563,0.099,0.204,0.57,0.606,0.821,0.484,0.615,0.097,0.296,0.988571429,2311,0.399,0.755,120,166,60
571,2017,Carlos Santana,CLE,154,667,0.132,0.214,0.706,0.621,0.869,0.456,0.541,0.071,0.248,1.208121827,2648,0.4,0.821,194,187,95
572,2018,Didi Gregorius,NYY,134,569,0.084,0.362,0.71,0.747,0.903,0.397,0.594,0.092,0.214,1,2082,0.515,0.821,171,183,86
573,2011,Melky Cabrera,KCR,155,706,0.05,0.359,0.8,0.671,0.94,0.437,0.612,0.058,0.216,0.994680851,2573,0.495,0.883,264,183,114
574,2016,Yasmani Grandal,LAD,126,457,0.14,0.233,0.555,0.623,0.845,0.406,0.503,0.1,0.29,0.91,1971,0.391,0.743,122,107,44
575,2017,Jay Bruce,- - -,146,617,0.092,0.313,0.582,0.733,0.825,0.438,0.6,0.13,0.258,0.88,2432,0.497,0.739,136,195,87
576,2014,Todd Frazier,CIN,157,660,0.079,0.326,0.609,0.681,0.834,0.431,0.582,0.121,0.27,1.017660044,2555,0.479,0.747,190,171,100
577,2011,Dexter Fowler,COL,125,563,0.121,0.23,0.652,0.674,0.812,0.433,0.57,0.099,0.26,0.915119363,2243,0.422,0.763,150,121,74
578,2016,Evan Longoria,TBR,160,685,0.061,0.337,0.626,0.672,0.832,0.452,0.616,0.119,0.282,1.148148148,2523,0.488,0.754,158,232,106
579,2012,Andre Ethier,LAD,149,618,0.081,0.319,0.593,0.714,0.883,0.429,0.566,0.109,0.249,0.941558442,2368,0.489,0.775,188,142,105
580,2013,Adam Jones,BAL,160,689,0.036,0.438,0.635,0.783,0.829,0.413,0.646,0.148,0.256,0.959259259,2450,0.581,0.743,250,166,102
581,2011,Brian McCann,ATL,128,527,0.108,0.3,0.746,0.685,0.876,0.414,0.518,0.078,0.228,0.919512195,2069,0.46,0.827,142,176,59
582,2021,Manny Machado,SDP,153,640,0.098,0.329,0.637,0.71,0.897,0.396,0.606,0.101,0.255,1.25198939,2238,0.48,0.79,184,192,96
583,2021,Randy Arozarena,TBR,141,604,0.093,0.288,0.588,0.675,0.76,0.394,0.579,0.136,0.307,0.926020408,2479,0.44,0.692,178,120,65
584,2015,Logan Forsythe,TBR,153,615,0.089,0.242,0.707,0.577,0.891,0.483,0.616,0.067,0.288,1.028436019,2540,0.404,0.834,172,176,86
585,2011,Mark Reynolds,BAL,155,620,0.121,0.271,0.47,0.701,0.732,0.453,0.616,0.163,0.304,0.756097561,2618,0.466,0.649,133,163,45
586,2016,Nick Castellanos,DET,110,447,0.063,0.371,0.529,0.742,0.849,0.456,0.642,0.146,0.278,0.809018568,1729,0.54,0.73,96,131,78
587,2012,Alfonso Soriano,CHC,151,615,0.072,0.372,0.572,0.692,0.831,0.404,0.592,0.142,0.282,0.973933649,2322,0.501,0.716,147,180,84
588,2013,Eric Hosmer,KCR,159,680,0.075,0.318,0.695,0.682,0.892,0.426,0.54,0.087,0.25,1.13362069,2566,0.473,0.816,277,131,118
589,2015,Ben Zobrist,- - -,126,535,0.116,0.226,0.809,0.554,0.928,0.43,0.548,0.042,0.266,1.442508711,2157,0.367,0.886,203,134,77
590,2017,Eddie Rosario,MIN,151,589,0.059,0.376,0.72,0.761,0.821,0.449,0.594,0.119,0.236,0.909278351,2155,0.549,0.783,187,165,89
591,2018,Whit Merrifield,KCR,158,707,0.086,0.328,0.731,0.677,0.884,0.425,0.59,0.084,0.247,0.94384058,2733,0.477,0.823,182,184,155
592,2012,Mike Napoli,TEX,108,417,0.134,0.234,0.627,0.6,0.747,0.468,0.528,0.116,0.307,0.758278146,1846,0.405,0.71,91,94,44
593,2019,Francisco Lindor,CLE,143,654,0.07,0.354,0.754,0.737,0.916,0.412,0.576,0.077,0.21,0.909584087,2426,0.512,0.85,220,184,99
594,2011,Jay Bruce,CIN,157,664,0.107,0.308,0.57,0.728,0.852,0.408,0.548,0.12,0.25,0.842519685,2623,0.479,0.745,156,200,72
595,2011,Howie Kendrick,LAA,140,583,0.057,0.319,0.656,0.628,0.876,0.464,0.599,0.094,0.285,0.936218679,2313,0.462,0.795,212,109,90
596,2017,Trey Mancini,BAL,147,586,0.056,0.349,0.6,0.721,0.812,0.43,0.613,0.138,0.274,0.931506849,2280,0.509,0.729,208,121,79
597,2021,Willy Adames,- - -,140,555,0.103,0.316,0.542,0.736,0.79,0.411,0.611,0.149,0.288,0.830097087,2221,0.488,0.696,125,139,78
598,2021,Jorge Polanco,MIN,152,644,0.07,0.334,0.688,0.71,0.898,0.422,0.596,0.091,0.245,0.874531835,2489,0.493,0.816,150,209,108
599,2018,Gleyber Torres,NYY,123,484,0.087,0.344,0.559,0.687,0.818,0.409,0.622,0.141,0.294,0.884507042,1951,0.484,0.709,103,134,77
600,2016,Khris Davis,OAK,150,610,0.069,0.313,0.515,0.767,0.762,0.456,0.639,0.166,0.298,0.905529954,2331,0.52,0.682,168,158,67
601,2016,Carlos Correa,HOU,153,660,0.114,0.294,0.642,0.651,0.845,0.429,0.598,0.103,0.278,0.940298507,2642,0.448,0.769,221,121,99
602,2018,Justin Smoak,TOR,147,594,0.14,0.246,0.608,0.635,0.855,0.403,0.556,0.095,0.279,0.871287129,2452,0.403,0.765,139,150,63
603,2017,Joe Mauer,MIN,141,597,0.111,0.205,0.775,0.534,0.933,0.485,0.57,0.041,0.281,1.105263158,2601,0.364,0.887,227,104,110
604,2017,Ian Happ,CHC,115,413,0.094,0.315,0.497,0.746,0.779,0.412,0.588,0.161,0.29,0.802013423,1618,0.493,0.673,96,95,48
605,2019,Tommy Pham,TBR,145,654,0.124,0.199,0.626,0.63,0.886,0.428,0.583,0.073,0.276,1.216438356,2604,0.384,0.809,237,110,97
606,2013,Jarrod Saltalamacchia,BOS,121,470,0.091,0.302,0.604,0.689,0.76,0.427,0.585,0.138,0.298,0.861861862,1892,0.467,0.702,94,111,82
607,2016,Jose Abreu,CHW,159,695,0.068,0.397,0.659,0.693,0.875,0.401,0.593,0.115,0.256,0.88966725,2695,0.516,0.776,231,169,108
608,2018,Yasiel Puig,LAD,125,444,0.081,0.311,0.59,0.715,0.898,0.413,0.655,0.105,0.259,0.981538462,1725,0.478,0.781,136,115,68
609,2017,Yasiel Puig,LAD,152,570,0.112,0.293,0.598,0.695,0.869,0.42,0.589,0.107,0.253,1.157593123,2119,0.462,0.769,195,144,65
610,2016,Hunter Pence,SFG,106,442,0.097,0.315,0.552,0.651,0.817,0.425,0.627,0.131,0.3,1.059440559,1805,0.458,0.712,166,86,51
611,2016,Mark Reynolds,COL,118,441,0.095,0.272,0.606,0.694,0.819,0.449,0.565,0.115,0.266,0.810888252,1829,0.461,0.749,118,92,73
612,2021,Joey Gallo,- - -,153,616,0.18,0.221,0.438,0.675,0.727,0.399,0.541,0.148,0.306,0.715025907,2611,0.402,0.631,90,140,46
613,2016,Derek Dietrich,MIA,128,412,0.078,0.325,0.68,0.671,0.906,0.417,0.553,0.086,0.253,0.793002915,1609,0.469,0.815,110,103,59
614,2019,Mike Moustakas,MIL,143,584,0.091,0.339,0.663,0.741,0.86,0.393,0.522,0.11,0.236,0.959276018,2233,0.498,0.779,152,192,80
615,2015,Yunel Escobar,WSN,139,591,0.076,0.284,0.672,0.755,0.921,0.449,0.638,0.078,0.215,1.276712329,1991,0.495,0.843,254,108,104
616,2011,Brennan Boesch,DET,115,472,0.074,0.371,0.706,0.729,0.913,0.391,0.559,0.091,0.219,0.906005222,1741,0.511,0.821,149,135,63
617,2017,Steven Souza Jr.,TBR,148,617,0.136,0.244,0.504,0.708,0.787,0.419,0.601,0.133,0.285,0.815789474,2490,0.438,0.696,152,117,72
618,2018,Justin Upton,LAA,145,613,0.104,0.249,0.556,0.664,0.795,0.427,0.576,0.121,0.297,0.891891892,2527,0.426,0.715,154,130,79
619,2018,Matt Kemp,LAD,146,506,0.071,0.343,0.607,0.737,0.803,0.417,0.644,0.139,0.276,1.102803738,1833,0.507,0.726,124,135,95
620,2019,Ji-Man Choi,TBR,127,487,0.131,0.241,0.582,0.68,0.844,0.424,0.614,0.103,0.276,0.887608069,2020,0.427,0.759,128,107,73
621,2017,Christian Yelich,MIA,156,695,0.115,0.25,0.616,0.641,0.884,0.444,0.521,0.086,0.263,0.930555556,2883,0.424,0.796,260,118,91
622,2011,Ryan Zimmerman,WSN,101,440,0.093,0.277,0.719,0.541,0.905,0.426,0.566,0.066,0.294,1.419213974,1713,0.39,0.829,164,110,51
623,2011,Yunel Escobar,TOR,133,590,0.103,0.207,0.694,0.632,0.929,0.458,0.563,0.055,0.251,1.429487179,2191,0.401,0.863,255,110,81
624,2015,Mitch Moreland,TEX,132,515,0.062,0.304,0.578,0.695,0.869,0.429,0.573,0.112,0.277,0.991825613,2033,0.472,0.762,166,126,72
625,2013,Wilin Rosario,COL,121,466,0.032,0.404,0.605,0.725,0.827,0.415,0.637,0.145,0.279,1.148148148,1630,0.537,0.729,140,123,78
626,2011,Chris Iannetta,COL,112,426,0.164,0.196,0.571,0.682,0.829,0.461,0.57,0.098,0.25,0.817610063,1801,0.42,0.764,92,115,53
627,2016,Xander Bogaerts,BOS,157,719,0.081,0.338,0.684,0.591,0.907,0.455,0.591,0.083,0.284,1.011450382,2849,0.453,0.817,241,185,104
628,2011,Chipper Jones,ATL,126,512,0.1,0.25,0.678,0.714,0.887,0.421,0.545,0.079,0.229,1.313793103,1842,0.445,0.819,188,133,60
629,2011,Freddie Freeman,ATL,157,635,0.083,0.363,0.66,0.764,0.86,0.384,0.602,0.117,0.225,0.78057554,2475,0.517,0.774,184,150,100
630,2016,Michael Saunders,TOR,140,558,0.106,0.258,0.5,0.699,0.844,0.428,0.55,0.12,0.27,0.752252252,2383,0.447,0.73,136,123,75
631,2014,Dexter Fowler,HOU,116,505,0.131,0.245,0.639,0.686,0.829,0.417,0.56,0.1,0.255,0.894736842,2085,0.429,0.765,141,113,69
632,2018,Jed Lowrie,OAK,157,680,0.115,0.252,0.675,0.736,0.877,0.425,0.593,0.085,0.23,0.854545455,2738,0.458,0.813,156,204,110
633,2015,Jose Altuve,HOU,154,689,0.048,0.356,0.817,0.719,0.946,0.455,0.655,0.053,0.202,1.226495726,2227,0.521,0.898,268,202,104
634,2016,Jason Kipnis,CLE,156,688,0.087,0.275,0.669,0.62,0.9,0.449,0.552,0.078,0.277,0.930417495,2758,0.43,0.819,182,175,111
635,2018,Andrew McCutchen,- - -,155,682,0.139,0.193,0.653,0.641,0.845,0.458,0.56,0.082,0.277,0.892339545,2889,0.398,0.795,178,154,99
636,2021,Yoan Moncada,CHW,144,616,0.136,0.272,0.576,0.655,0.844,0.402,0.555,0.11,0.287,0.803964758,2596,0.426,0.741,160,108,97
637,2013,Brian McCann,ATL,102,402,0.097,0.285,0.758,0.604,0.915,0.408,0.557,0.061,0.245,1.021052632,1631,0.415,0.851,103,123,65
638,2019,Javier Baez,CHC,138,561,0.05,0.441,0.542,0.743,0.795,0.367,0.658,0.184,0.303,1.041551247,2002,0.552,0.667,189,119,68
639,2017,Jed Lowrie,OAK,153,645,0.113,0.242,0.706,0.759,0.884,0.462,0.608,0.079,0.203,0.822807018,2584,0.481,0.836,138,204,127
640,2012,Derek Jeter,NYY,159,740,0.061,0.307,0.733,0.732,0.903,0.445,0.605,0.077,0.214,1.042704626,2740,0.496,0.845,366,93,127
641,2018,C.J. Cron,TBR,140,560,0.066,0.385,0.614,0.704,0.822,0.386,0.588,0.14,0.285,0.820454545,2172,0.508,0.726,145,140,76
642,2019,Rhys Hoskins,PHI,160,705,0.165,0.24,0.681,0.61,0.84,0.41,0.54,0.085,0.281,0.688888889,3223,0.392,0.782,117,203,83
643,2013,Dexter Fowler,COL,119,492,0.132,0.244,0.616,0.765,0.82,0.409,0.565,0.112,0.235,0.841530055,1953,0.457,0.755,130,106,72
644,2015,Dustin Pedroia,BOS,93,425,0.089,0.265,0.781,0.601,0.926,0.496,0.565,0.051,0.256,1.148275862,1638,0.432,0.881,168,106,59
645,2017,Lorenzo Cain,KCR,155,645,0.084,0.304,0.641,0.71,0.906,0.466,0.639,0.089,0.239,0.918714556,2515,0.493,0.819,216,160,110
646,2013,Dustin Pedroia,BOS,160,724,0.101,0.274,0.827,0.595,0.922,0.479,0.594,0.047,0.251,1.051376147,2934,0.428,0.89,289,160,124
647,2017,Ryan Braun,MIL,104,425,0.089,0.38,0.654,0.699,0.89,0.436,0.656,0.108,0.252,0.93030303,1550,0.519,0.792,151,98,58
648,2011,Jeff Francoeur,KCR,153,656,0.056,0.4,0.732,0.742,0.846,0.426,0.643,0.109,0.23,0.884057971,2388,0.546,0.798,196,195,97
649,2021,Michael Brantley,HOU,121,508,0.065,0.287,0.831,0.672,0.938,0.437,0.632,0.046,0.237,1.191977077,1868,0.455,0.9,191,116,109
650,2013,Torii Hunter,DET,144,652,0.04,0.408,0.692,0.733,0.859,0.44,0.604,0.116,0.243,0.934210526,2363,0.551,0.79,246,152,99
651,2015,Carlos Beltran,NYY,133,531,0.085,0.294,0.706,0.669,0.913,0.432,0.573,0.074,0.253,1.020460358,2069,0.456,0.837,142,171,86
652,2015,Adam Eaton,CHW,153,689,0.084,0.284,0.713,0.604,0.904,0.465,0.586,0.07,0.27,0.868518519,2785,0.433,0.837,238,128,103
653,2013,Omar Infante,DET,118,476,0.042,0.295,0.695,0.616,0.916,0.496,0.603,0.071,0.274,2.071428571,1572,0.454,0.844,156,154,96
654,2018,Johan Camargo,ATL,134,524,0.097,0.36,0.667,0.697,0.818,0.4,0.576,0.123,0.272,0.860911271,2085,0.495,0.752,161,127,71
655,2018,Edwin Encarnacion,CLE,137,579,0.109,0.29,0.618,0.672,0.844,0.408,0.572,0.108,0.27,0.939849624,2293,0.446,0.757,135,164,76
656,2021,Nelson Cruz,- - -,140,584,0.087,0.351,0.586,0.749,0.815,0.397,0.63,0.143,0.264,0.968215159,2199,0.509,0.719,170,153,73
657,2014,Kyle Seager,SEA,159,654,0.08,0.261,0.716,0.61,0.891,0.429,0.572,0.071,0.267,1.182957393,2563,0.411,0.827,173,194,105
658,2013,Adrian Gonzalez,LAD,157,641,0.073,0.359,0.7,0.723,0.889,0.41,0.557,0.096,0.225,1.037735849,2361,0.508,0.81,189,193,113
659,2012,Adam Dunn,CHW,151,649,0.162,0.239,0.498,0.644,0.801,0.415,0.542,0.123,0.29,0.648484848,2876,0.407,0.697,109,140,72
660,2021,Tyler Stephenson,CIN,132,402,0.102,0.245,0.687,0.637,0.914,0.405,0.624,0.068,0.264,1.12,1577,0.404,0.832,139,70,71
661,2017,Neil Walker,- - -,111,448,0.123,0.267,0.705,0.619,0.868,0.429,0.574,0.08,0.27,1.152985075,1708,0.418,0.808,112,129,68
