,Season,Name,Team,G,PA,BB%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,Pitches,Swing%,Contact%,GB,FB,LD
363,2021,Brandon Lowe,TBR,149,615,0.111,0.338,0.546,0.794,0.783,0.409,0.621,0.161,0.27,0.766666667,2339,0.524,0.692,126,162,80
364,2018,Rhys Hoskins,PHI,153,660,0.132,0.228,0.642,0.606,0.874,0.432,0.524,0.079,0.274,0.827309237,2918,0.391,0.798,120,213,79
365,2015,Buster Posey,SFG,150,623,0.09,0.3,0.79,0.718,0.932,0.428,0.592,0.056,0.202,1.236714976,2194,0.479,0.881,225,173,114
366,2021,Yuli Gurriel,HOU,143,605,0.098,0.298,0.819,0.622,0.925,0.401,0.597,0.051,0.237,1.215384615,2292,0.428,0.881,194,184,96
367,2019,Tim Anderson,CHW,123,518,0.029,0.452,0.615,0.775,0.899,0.411,0.62,0.135,0.252,0.967821782,1765,0.585,0.77,190,108,93
368,2012,Paul Goldschmidt,ARI,145,587,0.102,0.288,0.682,0.636,0.824,0.435,0.618,0.1,0.286,0.97761194,2348,0.439,0.771,158,141,94
369,2013,Carlos Gomez,MIL,147,590,0.063,0.363,0.581,0.784,0.834,0.437,0.686,0.142,0.249,0.763527054,2173,0.547,0.74,154,146,81
370,2018,Nick Castellanos,DET,157,678,0.072,0.386,0.525,0.788,0.844,0.41,0.653,0.159,0.267,0.973195876,2439,0.551,0.712,167,169,136
371,2012,Nick Swisher,NYY,148,624,0.123,0.238,0.605,0.665,0.846,0.406,0.527,0.097,0.26,0.917431193,2656,0.412,0.764,155,156,89
372,2016,Kyle Seager,SEA,158,676,0.102,0.269,0.711,0.621,0.889,0.445,0.55,0.073,0.255,1.164677804,2584,0.425,0.826,176,205,107
373,2017,Logan Morrison,TBR,149,601,0.135,0.276,0.569,0.703,0.825,0.43,0.572,0.121,0.264,0.845265589,2356,0.46,0.737,122,169,75
374,2014,Jose Altuve,HOU,158,707,0.051,0.366,0.848,0.677,0.949,0.462,0.652,0.045,0.213,1.484184915,2200,0.51,0.91,290,181,139
375,2021,Jonathan India,CIN,150,631,0.113,0.25,0.61,0.582,0.867,0.422,0.552,0.089,0.303,0.985037406,2643,0.39,0.772,174,132,89
376,2021,Pete Alonso,NYM,152,637,0.094,0.35,0.639,0.713,0.864,0.393,0.587,0.115,0.253,1.016241299,2298,0.493,0.767,170,188,80
377,2015,Joe Panik,SFG,100,432,0.088,0.242,0.823,0.65,0.93,0.456,0.588,0.044,0.234,1.279850746,1592,0.428,0.897,148,116,79
378,2012,Ian Desmond,WSN,130,547,0.055,0.368,0.615,0.728,0.874,0.478,0.707,0.118,0.262,1.039267016,1845,0.54,0.782,189,137,71
379,2019,Edwin Encarnacion,- - -,109,486,0.119,0.282,0.669,0.664,0.817,0.402,0.566,0.105,0.273,0.805063291,2151,0.436,0.76,98,161,59
380,2013,Yadier Molina,STL,136,541,0.055,0.355,0.809,0.751,0.908,0.455,0.64,0.068,0.193,1.063380282,1884,0.535,0.872,190,153,110
381,2014,Hanley Ramirez,LAD,128,512,0.109,0.311,0.693,0.704,0.901,0.407,0.602,0.084,0.223,0.953125,1943,0.471,0.819,165,124,77
382,2017,Brian Dozier,MIN,152,705,0.111,0.234,0.637,0.625,0.838,0.464,0.57,0.093,0.283,1.082191781,2828,0.415,0.777,182,202,90
383,2017,Willson Contreras,CHC,117,428,0.105,0.318,0.599,0.665,0.785,0.445,0.6,0.134,0.29,1.033707865,1606,0.473,0.715,147,81,48
384,2019,Joc Pederson,LAD,149,514,0.097,0.302,0.679,0.68,0.84,0.412,0.578,0.102,0.259,0.87403599,2054,0.457,0.777,142,139,59
385,2018,Scooter Gennett,CIN,154,638,0.066,0.382,0.753,0.731,0.869,0.42,0.618,0.095,0.223,0.769616027,2443,0.529,0.82,185,167,109
386,2014,Danny Santana,MIN,101,430,0.044,0.394,0.659,0.631,0.873,0.463,0.667,0.109,0.298,0.820224719,1643,0.504,0.783,134,82,76
387,2011,Alex Rodriguez,NYY,99,428,0.11,0.264,0.617,0.661,0.837,0.429,0.561,0.104,0.257,1.193548387,1648,0.434,0.76,144,110,42
388,2016,Jonathan Lucroy,- - -,142,544,0.086,0.3,0.708,0.577,0.881,0.474,0.57,0.078,0.281,1.018134715,2210,0.431,0.818,146,152,95
389,2013,Jason Castro,HOU,120,491,0.102,0.286,0.591,0.657,0.79,0.449,0.572,0.126,0.29,0.882857143,2023,0.452,0.721,122,109,78
390,2016,Wilson Ramos,WSN,131,523,0.067,0.302,0.683,0.732,0.883,0.467,0.608,0.09,0.234,1.121212121,1868,0.503,0.819,221,103,83
391,2018,Wilson Ramos,- - -,111,416,0.077,0.385,0.649,0.79,0.881,0.389,0.642,0.119,0.219,0.941176471,1481,0.542,0.781,167,75,62
392,2016,Carlos Gonzalez,COL,150,632,0.073,0.364,0.568,0.744,0.821,0.399,0.573,0.147,0.258,1.131840796,2327,0.516,0.714,210,148,97
393,2012,Alex Rios,CHW,157,640,0.041,0.33,0.747,0.616,0.939,0.472,0.602,0.061,0.261,1.308080808,2268,0.465,0.867,207,198,113
394,2017,Chris Taylor,LAD,140,568,0.088,0.252,0.531,0.689,0.86,0.466,0.643,0.108,0.278,0.891826923,2268,0.455,0.763,154,133,84
395,2017,Miguel Sano,MIN,114,483,0.112,0.291,0.403,0.75,0.734,0.425,0.615,0.184,0.311,0.734693878,1974,0.486,0.62,98,102,52
396,2014,Lucas Duda,NYM,153,596,0.116,0.279,0.581,0.599,0.867,0.398,0.57,0.101,0.292,1.038043478,2459,0.407,0.749,117,187,78
397,2015,Jose Abreu,CHW,154,668,0.058,0.369,0.631,0.671,0.871,0.415,0.578,0.114,0.272,0.979338843,2526,0.495,0.766,224,152,98
398,2011,Mark Teixeira,NYY,156,684,0.111,0.271,0.693,0.651,0.909,0.39,0.526,0.073,0.247,1.002057613,2818,0.419,0.824,170,228,89
399,2017,Khris Davis,OAK,153,652,0.112,0.266,0.496,0.752,0.779,0.423,0.58,0.147,0.277,0.818181818,2591,0.472,0.687,145,160,73
400,2015,Alex Rodriguez,NYY,151,620,0.135,0.268,0.587,0.676,0.765,0.425,0.603,0.13,0.285,0.984654731,2503,0.441,0.703,166,149,70
401,2018,Miguel Andujar,NYY,149,606,0.041,0.394,0.697,0.74,0.918,0.396,0.663,0.096,0.239,1.071428571,2135,0.531,0.819,211,172,97
