,Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,M-Swing%,Meat%,Edge%,Fair/Foul ratio
572,2016,Logan Forsythe,TBR,127,567,0.224,0.221,0.647,0.587,0.854,0.477,0.628,0.082,0.304,0.767,0.084,0.429,1.09039548
573,2015,Torii Hunter,MIN,139,567,0.185,0.367,0.69,0.736,0.848,0.452,0.64,0.113,0.245,0.803,0.076,0.422,0.902597403
574,2016,Yunel Escobar,LAA,132,567,0.118,0.273,0.65,0.73,0.934,0.465,0.647,0.074,0.222,0.848,0.076,0.43,1.283286119
575,2017,Jean Segura,SEA,125,566,0.147,0.338,0.767,0.661,0.901,0.477,0.597,0.072,0.242,0.871,0.057,0.43,0.922431866
576,2018,Jesus Aguilar,MIL,149,566,0.253,0.356,0.614,0.601,0.824,0.404,0.581,0.125,0.307,0.773,0.075,0.424,0.808558559
577,2019,Mallex Smith,SEA,134,566,0.249,0.293,0.608,0.689,0.803,0.456,0.629,0.124,0.276,0.88,0.072,0.416,0.866348449
578,2016,Matt Carpenter,STL,129,566,0.191,0.226,0.631,0.588,0.92,0.443,0.558,0.067,0.275,0.724,0.067,0.458,0.924242424
579,2016,Chase Utley,LAD,138,565,0.204,0.222,0.638,0.597,0.898,0.479,0.593,0.071,0.295,0.797,0.067,0.43,1.158357771
580,2021,Eric Hosmer,SDP,151,565,0.175,0.342,0.656,0.692,0.886,0.402,0.614,0.102,0.263,0.82,0.063,0.424,0.964788732
581,2021,Nicky Lopez,KCR,151,565,0.131,0.282,0.75,0.643,0.928,0.447,0.619,0.06,0.251,0.705,0.083,0.421,1.037406484
582,2018,Nick Ahmed,ARI,153,564,0.193,0.342,0.572,0.703,0.886,0.439,0.654,0.117,0.27,0.832,0.077,0.433,1.012376238
583,2016,Ryan Braun,MIL,135,564,0.174,0.362,0.68,0.744,0.895,0.408,0.594,0.099,0.223,0.777,0.06,0.406,0.894396552
584,2017,Yuli Gurriel,HOU,139,564,0.11,0.328,0.702,0.679,0.911,0.438,0.621,0.081,0.25,0.726,0.076,0.419,1.562913907
585,2016,Adonis Garcia,ATL,134,563,0.165,0.388,0.693,0.702,0.879,0.446,0.629,0.103,0.253,0.723,0.074,0.413,1.075980392
586,2015,Jimmy Rollins,LAD,144,563,0.153,0.256,0.686,0.674,0.902,0.456,0.563,0.074,0.237,0.898,0.077,0.429,1.122994652
587,2017,Odubel Herrera,PHI,138,563,0.224,0.4,0.635,0.707,0.841,0.425,0.634,0.132,0.268,0.741,0.062,0.408,0.833333333
