,Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,M-Swing%,Meat%,Edge%,Fair/Foul ratio
713,2017,Yolmer Sanchez,CHW,141,534,0.208,0.347,0.66,0.678,0.85,0.458,0.655,0.11,0.285,0.721,0.078,0.451,0.928217822
714,2018,Corey Dickerson,PIT,135,533,0.15,0.453,0.738,0.795,0.858,0.41,0.636,0.116,0.224,0.865,0.06,0.435,0.817658349
716,2021,Joey Votto,CIN,129,533,0.238,0.247,0.571,0.715,0.816,0.411,0.582,0.116,0.274,0.815,0.068,0.415,0.82278481
717,2019,Khris Davis,OAK,133,533,0.274,0.307,0.48,0.822,0.778,0.411,0.58,0.169,0.272,0.628,0.08,0.444,0.873056995
718,2021,Raimel Tapia,COL,133,533,0.131,0.367,0.787,0.697,0.927,0.436,0.589,0.066,0.228,0.711,0.077,0.427,0.923076923
719,2017,Tommy Joseph,PHI,142,533,0.242,0.36,0.598,0.673,0.855,0.434,0.614,0.124,0.284,0.726,0.067,0.429,0.9609375
720,2017,Joey Gallo,TEX,145,532,0.368,0.318,0.426,0.743,0.715,0.361,0.575,0.193,0.309,0.55,0.073,0.431,0.672922252
721,2021,Miguel Sano,MIN,135,532,0.344,0.294,0.43,0.685,0.801,0.389,0.607,0.155,0.313,0.81,0.062,0.433,0.822857143
722,2021,Mike Yastrzemski,SFG,139,532,0.246,0.275,0.639,0.687,0.845,0.439,0.583,0.102,0.268,0.817,0.078,0.427,0.823529412
723,2016,Stephen Vogt,OAK,137,532,0.156,0.325,0.735,0.611,0.908,0.452,0.596,0.073,0.27,0.597,0.071,0.415,1.019950125
724,2016,Yonder Alonso,OAK,156,532,0.139,0.273,0.659,0.706,0.928,0.44,0.615,0.074,0.224,0.822,0.072,0.422,1.255384615
725,2018,Alcides Escobar,KCR,140,531,0.139,0.352,0.695,0.716,0.882,0.448,0.659,0.097,0.248,0.794,0.081,0.409,1.022613065
726,2015,Carlos Beltran,NYY,133,531,0.16,0.294,0.706,0.669,0.913,0.432,0.573,0.074,0.253,0.748,0.056,0.44,1.020460358
727,2018,JT Realmuto,MIA,125,531,0.196,0.299,0.639,0.678,0.869,0.452,0.606,0.099,0.267,0.792,0.093,0.426,0.992105263
728,2019,Kevin Newman,PIT,130,531,0.117,0.373,0.772,0.694,0.943,0.418,0.638,0.066,0.226,0.791,0.067,0.423,1.069825436
729,2017,Scott Schebler,CIN,141,531,0.235,0.35,0.585,0.764,0.82,0.42,0.582,0.142,0.252,0.872,0.067,0.433,0.951219512
730,2019,Avisail Garcia,TBR,125,530,0.236,0.4,0.544,0.819,0.806,0.391,0.623,0.173,0.266,0.857,0.075,0.397,0.983914209
731,2019,Jose Iglesias,CIN,146,530,0.132,0.467,0.816,0.681,0.905,0.406,0.647,0.077,0.253,0.787,0.068,0.414,0.893223819
732,2017,Tommy Pham,STL,128,530,0.221,0.189,0.62,0.599,0.865,0.462,0.583,0.076,0.275,0.707,0.072,0.462,1.057877814
733,2016,Travis Shaw,BOS,145,530,0.251,0.327,0.656,0.686,0.853,0.426,0.574,0.107,0.262,0.762,0.067,0.415,0.788288288
736,2016,Chase Headley,NYY,140,529,0.223,0.277,0.589,0.661,0.873,0.424,0.594,0.101,0.27,0.646,0.065,0.437,0.991573034
737,2021,Kyle Farmer,CIN,147,529,0.183,0.388,0.715,0.657,0.899,0.409,0.624,0.093,0.273,0.683,0.064,0.431,0.972636816
738,2017,Manuel Margot,SDP,126,529,0.2,0.29,0.65,0.639,0.892,0.473,0.645,0.086,0.28,0.784,0.081,0.416,1.032608696
739,2017,Miguel Cabrera,DET,130,529,0.208,0.322,0.638,0.735,0.862,0.439,0.607,0.11,0.245,0.788,0.066,0.399,0.820861678
740,2016,Starling Marte,PIT,129,529,0.197,0.392,0.619,0.74,0.865,0.427,0.605,0.127,0.25,0.803,0.066,0.416,0.843400447
741,2019,Adam Jones,ARI,137,528,0.191,0.414,0.594,0.729,0.869,0.403,0.621,0.139,0.276,0.744,0.063,0.433,0.992268041
742,2021,Michael A. Taylor,KCR,142,528,0.273,0.343,0.553,0.758,0.806,0.407,0.631,0.15,0.281,0.838,0.076,0.42,0.806146572
743,2018,Miguel Rojas,MIA,153,528,0.131,0.352,0.723,0.651,0.94,0.446,0.602,0.071,0.249,0.705,0.077,0.43,1.073979592
744,2015,Austin Jackson,- - -,136,527,0.239,0.266,0.632,0.636,0.875,0.471,0.617,0.089,0.29,0.686,0.071,0.446,0.880778589
745,2017,Curtis Granderson,- - -,147,527,0.233,0.216,0.653,0.574,0.902,0.462,0.575,0.066,0.28,0.937,0.07,0.421,0.773584906
746,2021,Trent Grisham,SDP,132,527,0.226,0.207,0.634,0.655,0.877,0.435,0.556,0.078,0.27,0.772,0.075,0.436,0.928571429
747,2015,Brandon Moss,- - -,145,526,0.281,0.326,0.55,0.732,0.824,0.418,0.58,0.138,0.273,0.846,0.06,0.404,0.787804878
748,2016,Joe Panik,SFG,127,526,0.089,0.23,0.789,0.65,0.949,0.445,0.561,0.041,0.231,0.564,0.072,0.441,1.31875
749,2021,Miguel Cabrera,DET,130,526,0.224,0.332,0.622,0.706,0.852,0.432,0.625,0.116,0.274,0.776,0.077,0.4,0.896296296
750,2019,Miguel Rojas,MIA,132,526,0.118,0.322,0.744,0.659,0.911,0.44,0.669,0.072,0.258,0.66,0.084,0.405,1.321875
751,2021,Starling Marte,- - -,120,526,0.188,0.342,0.645,0.712,0.879,0.394,0.641,0.108,0.257,0.775,0.077,0.423,0.950520833
752,2015,Christian Yelich,MIA,126,525,0.192,0.261,0.643,0.645,0.877,0.436,0.564,0.087,0.258,0.772,0.071,0.422,1.059659091
753,2017,Gary Sanchez,NYY,122,525,0.229,0.337,0.601,0.665,0.829,0.432,0.556,0.126,0.287,0.713,0.066,0.428,0.977961433
754,2017,Chris Davis,BAL,128,524,0.372,0.298,0.479,0.6,0.79,0.43,0.616,0.143,0.336,0.784,0.074,0.439,0.774193548
755,2021,Francisco Lindor,NYM,125,524,0.183,0.299,0.641,0.722,0.856,0.405,0.58,0.106,0.246,0.86,0.068,0.431,0.865853659
756,2018,Johan Camargo,ATL,134,524,0.206,0.36,0.667,0.697,0.818,0.4,0.576,0.123,0.272,0.838,0.079,0.422,0.860911271
757,2018,Ryon Healy,SEA,133,524,0.216,0.361,0.576,0.639,0.908,0.41,0.603,0.114,0.299,0.583,0.076,0.41,1.221864952
758,2019,Wilson Ramos,NYM,141,524,0.132,0.375,0.691,0.761,0.895,0.424,0.641,0.101,0.218,0.818,0.077,0.404,1.172910663
759,2015,Addison Russell,CHC,142,523,0.285,0.303,0.511,0.701,0.823,0.443,0.614,0.137,0.298,0.782,0.067,0.431,0.786407767
760,2018,Teoscar Hernandez,TOR,134,523,0.312,0.322,0.455,0.743,0.757,0.412,0.641,0.178,0.322,0.782,0.074,0.429,0.895184136
761,2016,Wilson Ramos,WSN,131,523,0.151,0.302,0.683,0.732,0.883,0.467,0.608,0.09,0.234,0.817,0.092,0.427,1.121212121
762,2018,Chris Davis,BAL,128,522,0.368,0.299,0.523,0.65,0.783,0.432,0.586,0.142,0.316,0.807,0.064,0.408,0.708860759
763,2016,Josh Harrison,PIT,131,522,0.146,0.371,0.779,0.725,0.846,0.485,0.657,0.097,0.235,0.824,0.063,0.434,0.944827586
764,2018,Tucker Barnhart,CIN,138,522,0.184,0.288,0.662,0.69,0.909,0.413,0.559,0.083,0.23,0.771,0.068,0.421,0.989041096
765,2019,Christian Vazquez,BOS,138,521,0.194,0.352,0.708,0.69,0.884,0.435,0.641,0.093,0.257,0.816,0.08,0.435,0.876146789
766,2019,Nelson Cruz,MIN,120,521,0.251,0.305,0.536,0.72,0.809,0.378,0.545,0.14,0.274,0.833,0.073,0.4,0.918309859
767,2017,Yonder Alonso,- - -,142,521,0.226,0.278,0.596,0.744,0.841,0.412,0.526,0.115,0.239,0.841,0.061,0.43,0.822222222
768,2018,Ben Zobrist,CHC,139,520,0.115,0.26,0.768,0.596,0.921,0.441,0.581,0.055,0.262,0.574,0.075,0.447,1.270700637
769,2019,Brian Anderson,MIA,126,520,0.219,0.348,0.587,0.659,0.871,0.41,0.627,0.119,0.286,0.708,0.075,0.405,1.03264095
770,2015,Jose Reyes,- - -,116,519,0.119,0.347,0.747,0.698,0.917,0.43,0.611,0.075,0.24,0.804,0.076,0.442,1.189111748
771,2018,Manuel Margot,SDP,141,519,0.17,0.29,0.658,0.65,0.876,0.468,0.62,0.09,0.278,0.744,0.075,0.4,1.249201278
772,2017,Jose Peraza,CIN,143,518,0.135,0.351,0.724,0.689,0.929,0.473,0.635,0.074,0.243,0.653,0.072,0.433,1.035175879
773,2019,Jurickson Profar,OAK,139,518,0.145,0.29,0.684,0.689,0.896,0.407,0.573,0.083,0.254,0.799,0.065,0.418,1.040322581
774,2016,Marwin Gonzalez,HOU,141,518,0.228,0.357,0.578,0.651,0.876,0.434,0.643,0.12,0.295,0.661,0.061,0.423,1.011560694
775,2019,Tim Anderson,CHW,123,518,0.21,0.452,0.615,0.775,0.899,0.411,0.62,0.135,0.252,0.81,0.073,0.43,0.967821782
776,2018,Yasmani Grandal,LAD,140,518,0.239,0.227,0.59,0.579,0.818,0.448,0.541,0.099,0.31,0.674,0.067,0.435,1.009493671
777,2016,Danny Valencia,OAK,130,517,0.222,0.299,0.518,0.624,0.858,0.437,0.592,0.12,0.302,0.691,0.062,0.456,1.23024055
778,2015,David Peralta,ARI,149,517,0.207,0.318,0.602,0.683,0.884,0.43,0.627,0.106,0.262,0.832,0.07,0.432,1.034383954
779,2016,JD Martinez,DET,120,517,0.248,0.332,0.524,0.771,0.845,0.44,0.615,0.14,0.247,0.763,0.06,0.402,0.765909091
780,2016,Jose Bautista,TOR,116,517,0.199,0.202,0.604,0.587,0.894,0.425,0.561,0.072,0.272,0.764,0.069,0.429,1.0125
781,2015,Aramis Ramirez,- - -,137,516,0.132,0.366,0.73,0.747,0.9,0.438,0.655,0.088,0.219,0.774,0.064,0.421,1.043037975
782,2021,Gleyber Torres,NYY,127,516,0.202,0.275,0.633,0.733,0.828,0.419,0.574,0.112,0.264,0.841,0.073,0.429,0.947229551
783,2021,Avisail Garcia,MIL,135,515,0.235,0.418,0.557,0.822,0.777,0.398,0.654,0.185,0.276,0.914,0.06,0.424,0.994236311
784,2018,Jonathan Villar,- - -,141,515,0.268,0.308,0.63,0.712,0.774,0.431,0.656,0.134,0.282,0.618,0.09,0.406,0.730593607
785,2017,Marwin Gonzalez,HOU,134,515,0.192,0.292,0.688,0.598,0.89,0.424,0.567,0.08,0.275,0.664,0.062,0.424,0.946091644
786,2015,Mitch Moreland,TEX,132,515,0.217,0.304,0.578,0.695,0.869,0.429,0.573,0.112,0.277,0.718,0.061,0.434,0.991825613
787,2019,Asdrubal Cabrera,- - -,131,514,0.2,0.288,0.705,0.671,0.873,0.431,0.58,0.085,0.254,0.724,0.065,0.451,0.832935561
788,2017,Freddie Freeman,ATL,117,514,0.185,0.327,0.661,0.842,0.833,0.391,0.582,0.122,0.205,0.917,0.078,0.415,0.792237443
789,2019,Joc Pederson,LAD,149,514,0.216,0.302,0.679,0.68,0.84,0.412,0.578,0.102,0.259,0.944,0.061,0.442,0.87403599
790,2019,Vladimir Guerrero Jr,TOR,123,514,0.177,0.316,0.637,0.719,0.872,0.378,0.642,0.106,0.255,0.851,0.062,0.441,1.093294461
791,2016,Jose Iglesias,DET,137,513,0.097,0.361,0.84,0.536,0.969,0.457,0.604,0.039,0.27,0.805,0.072,0.4,1.075324675
792,2018,Evan Longoria,SFG,125,512,0.197,0.331,0.707,0.683,0.869,0.439,0.625,0.094,0.27,0.768,0.064,0.426,1.026737968
793,2021,Jed Lowrie,OAK,139,512,0.211,0.256,0.607,0.73,0.855,0.442,0.58,0.103,0.247,0.819,0.082,0.435,0.921671018
794,2017,Yangervis Solarte,SDP,128,512,0.119,0.345,0.744,0.727,0.921,0.444,0.631,0.074,0.216,0.814,0.057,0.432,1.105405405
795,2017,Byron Buxton,MIN,140,511,0.294,0.311,0.511,0.67,0.821,0.478,0.618,0.137,0.298,0.816,0.073,0.422,0.755725191
797,2019,Jason Kipnis,CLE,121,511,0.172,0.296,0.636,0.67,0.914,0.438,0.568,0.086,0.258,0.803,0.073,0.459,1.002702703
799,2015,Logan Morrison,SEA,146,511,0.159,0.3,0.68,0.714,0.894,0.441,0.579,0.086,0.228,0.813,0.066,0.422,0.949238579
800,2015,Michael A Taylor,WSN,138,511,0.309,0.333,0.521,0.745,0.774,0.465,0.652,0.16,0.298,0.867,0.086,0.43,0.796833773
801,2015,Miguel Cabrera,DET,119,511,0.16,0.295,0.663,0.705,0.862,0.411,0.575,0.096,0.237,0.779,0.053,0.402,0.93315508
802,2021,Nick Solak,TEX,127,511,0.209,0.342,0.689,0.629,0.843,0.405,0.613,0.103,0.293,0.684,0.077,0.407,0.928571429
803,2015,Stephen Vogt,OAK,136,511,0.19,0.296,0.735,0.58,0.904,0.423,0.552,0.068,0.27,0.641,0.061,0.415,0.951871658
804,2016,Cheslor Cuthbert,KCR,128,510,0.188,0.317,0.63,0.695,0.868,0.463,0.627,0.105,0.266,0.796,0.084,0.428,0.967005076
805,2015,Francisco Cervelli,PIT,130,510,0.184,0.209,0.667,0.634,0.876,0.483,0.606,0.074,0.266,0.74,0.072,0.423,1.101851852
806,2021,Jesus Aguilar,MIA,131,510,0.182,0.32,0.632,0.622,0.841,0.415,0.541,0.11,0.292,0.658,0.076,0.418,1.103343465
807,2018,Kyle Schwarber,CHC,137,510,0.275,0.252,0.541,0.649,0.821,0.407,0.559,0.116,0.289,0.762,0.06,0.417,0.8125
808,2019,Luke Voit,NYY,118,510,0.278,0.266,0.442,0.786,0.781,0.401,0.598,0.158,0.278,0.764,0.055,0.406,0.8252149
809,2015,Wilmer Flores,NYM,137,510,0.124,0.314,0.82,0.68,0.898,0.476,0.61,0.062,0.243,0.734,0.087,0.426,1.012019231
810,2015,Brock Holt,BOS,129,509,0.191,0.262,0.75,0.574,0.927,0.457,0.625,0.055,0.293,0.677,0.064,0.395,0.957104558
811,2017,Carlos Beltran,HOU,129,509,0.2,0.333,0.66,0.659,0.908,0.446,0.631,0.09,0.262,0.776,0.077,0.41,0.984084881
812,2019,Evan Longoria,SFG,129,508,0.22,0.326,0.676,0.666,0.829,0.417,0.604,0.109,0.279,0.776,0.056,0.424,0.915343915
813,2017,Javier Baez,CHC,145,508,0.283,0.451,0.527,0.726,0.778,0.404,0.61,0.192,0.315,0.741,0.064,0.437,0.910364146
814,2021,Michael Brantley,HOU,121,508,0.104,0.287,0.831,0.672,0.938,0.437,0.632,0.046,0.237,0.676,0.074,0.434,1.191977077
815,2019,Ryan Braun,MIL,144,508,0.207,0.374,0.599,0.727,0.892,0.395,0.614,0.122,0.266,0.854,0.052,0.429,0.936675462
816,2018,Victor Martinez,DET,133,508,0.096,0.338,0.8,0.698,0.914,0.427,0.575,0.064,0.212,0.829,0.068,0.435,1.081632653
817,2016,Zack Cozart,CIN,121,508,0.165,0.289,0.651,0.664,0.916,0.484,0.604,0.079,0.257,0.69,0.07,0.435,1.066852368
818,2019,Domingo Santana,SEA,121,507,0.323,0.264,0.519,0.717,0.781,0.449,0.621,0.141,0.298,0.718,0.08,0.44,0.713580247
819,2021,Jazz Chisholm Jr.,MIA,124,507,0.286,0.334,0.614,0.656,0.818,0.418,0.6,0.125,0.311,0.807,0.069,0.421,0.837270341
820,2017,Mike Trout,LAA,114,507,0.178,0.197,0.681,0.615,0.901,0.431,0.6,0.062,0.255,0.753,0.072,0.422,0.892655367
821,2015,Russell Martin,TOR,129,507,0.209,0.233,0.626,0.603,0.866,0.477,0.578,0.084,0.275,0.76,0.086,0.431,0.957264957
822,2017,Zack Cozart,CIN,122,507,0.154,0.244,0.712,0.604,0.922,0.458,0.609,0.06,0.264,0.669,0.076,0.432,0.962962963
823,2016,Alex Gordon,KCR,128,506,0.292,0.249,0.487,0.681,0.831,0.435,0.595,0.122,0.286,0.79,0.059,0.437,0.803234501
824,2016,Alexei Ramirez,- - -,145,506,0.125,0.348,0.73,0.658,0.912,0.452,0.636,0.077,0.265,0.733,0.066,0.415,1.227138643
825,2018,Matt Kemp,LAD,146,506,0.227,0.343,0.607,0.737,0.803,0.417,0.644,0.139,0.276,0.839,0.07,0.424,1.102803738
826,2018,Yangervis Solarte,TOR,122,506,0.142,0.414,0.751,0.756,0.922,0.375,0.607,0.086,0.205,0.838,0.059,0.426,0.975550122
827,2021,Jonathan Villar,NYM,142,505,0.261,0.321,0.576,0.745,0.815,0.415,0.616,0.137,0.27,0.871,0.075,0.417,0.817948718
828,2015,Pablo Sandoval,BOS,126,505,0.145,0.478,0.777,0.752,0.873,0.404,0.65,0.102,0.21,0.761,0.048,0.411,0.798
829,2018,Carlos Gonzalez,COL,132,504,0.224,0.353,0.601,0.74,0.818,0.385,0.605,0.138,0.254,0.807,0.053,0.435,1.050898204
830,2019,Eloy Jimenez,CHW,122,504,0.266,0.367,0.565,0.716,0.802,0.379,0.669,0.153,0.305,0.82,0.076,0.415,1.083870968
831,2015,Wilson Ramos,WSN,128,504,0.2,0.364,0.605,0.744,0.873,0.459,0.659,0.121,0.248,0.873,0.077,0.428,1.058171745
832,2015,Chris Coghlan,CHC,148,503,0.187,0.232,0.633,0.697,0.896,0.448,0.561,0.079,0.245,0.796,0.084,0.429,0.895561358
833,2019,Colin Moran,PIT,149,503,0.233,0.39,0.649,0.759,0.869,0.395,0.65,0.122,0.258,0.792,0.069,0.421,0.888888889
834,2017,David Freese,PIT,130,503,0.231,0.268,0.653,0.623,0.854,0.466,0.606,0.092,0.272,0.559,0.083,0.446,0.792929293
835,2016,Mitch Moreland,TEX,147,503,0.235,0.341,0.589,0.714,0.839,0.396,0.529,0.129,0.271,0.736,0.065,0.447,0.936986301
836,2015,Ryan Howard,PHI,129,503,0.274,0.384,0.528,0.778,0.814,0.414,0.577,0.166,0.267,0.862,0.057,0.429,0.849104859
838,2018,Eduardo Nunez,BOS,127,502,0.137,0.399,0.759,0.73,0.93,0.414,0.61,0.078,0.222,0.802,0.069,0.419,1.131147541
839,2015,Johnny Giavotella,LAA,129,502,0.118,0.274,0.725,0.639,0.931,0.49,0.614,0.06,0.255,0.865,0.085,0.42,1.354948805
840,2018,Denard Span,- - -,137,501,0.158,0.239,0.741,0.654,0.926,0.457,0.627,0.056,0.245,0.713,0.084,0.448,0.991712707
841,2015,Jacoby Ellsbury,NYY,111,501,0.172,0.303,0.745,0.682,0.897,0.469,0.629,0.074,0.239,0.75,0.075,0.428,0.931818182
842,2021,Joey Wendle,TBR,136,501,0.226,0.36,0.636,0.643,0.881,0.416,0.641,0.108,0.299,0.702,0.082,0.426,1.029585799
843,2018,Jonathan Schoop,- - -,131,501,0.23,0.431,0.576,0.771,0.863,0.402,0.593,0.152,0.266,0.635,0.065,0.45,0.962666667
844,2018,Justin Bour,- - -,141,501,0.248,0.298,0.658,0.583,0.813,0.406,0.553,0.105,0.31,0.772,0.063,0.422,0.879765396
845,2021,Will Smith,LAD,130,501,0.202,0.247,0.699,0.644,0.855,0.432,0.577,0.083,0.279,0.729,0.067,0.404,0.861702128
846,2017,Danny Valencia,SEA,130,500,0.244,0.296,0.546,0.589,0.824,0.454,0.56,0.121,0.322,0.756,0.067,0.442,1.195729537
847,2019,Justin Smoak,TOR,121,500,0.212,0.23,0.583,0.649,0.875,0.398,0.532,0.09,0.269,0.7,0.066,0.414,0.971698113
848,2019,Scott Kingery,PHI,126,500,0.294,0.337,0.539,0.733,0.8,0.422,0.636,0.152,0.295,0.825,0.071,0.434,0.819371728
849,2021,Wil Myers,SDP,146,500,0.282,0.295,0.585,0.691,0.77,0.414,0.654,0.137,0.315,0.735,0.081,0.404,0.859195402
850,2015, Adeiny Hechavarria,MIA,130,499,0.156,0.346,0.745,0.706,0.872,0.481,0.651,0.088,0.241,0.766,0.082,0.435,1.142857143
851,2016, Brandon Drury,TOR,120,499,0.253,0.361,0.615,0.634,0.849,0.411,0.647,0.121,0.311,0.667,0.06,0.426,0.965517241
852,2019, C.J. Cron,MIN,125,499,0.214,0.355,0.641,0.701,0.847,0.425,0.591,0.119,0.268,0.789,0.071,0.4,0.905128205
853,2017, Eduardo Escobar,MIN,129,499,0.196,0.357,0.661,0.715,0.874,0.465,0.621,0.107,0.251,0.742,0.067,0.433,0.765327696
855,2017, Salvador Perez,KCR,129,499,0.19,0.479,0.704,0.746,0.906,0.404,0.631,0.113,0.225,0.796,0.062,0.422,0.860045147
856,2019, Todd Frazier,NYM,133,499,0.212,0.285,0.609,0.636,0.858,0.405,0.557,0.103,0.284,0.726,0.075,0.416,1.114754098
857,2018, Aaron Judge,NYY,102,498,0.315,0.246,0.403,0.681,0.786,0.398,0.613,0.146,0.317,0.791,0.066,0.437,0.838028169
858,2018, Albert Pujols,LAA,117,498,0.131,0.359,0.717,0.649,0.92,0.429,0.586,0.08,0.254,0.744,0.068,0.444,1.236196319
859,2021, Christian Vazquez,BOS,138,498,0.169,0.331,0.775,0.66,0.891,0.427,0.639,0.073,0.255,0.768,0.08,0.4,0.944723618
860,2016, Coco Crisp,- - -,122,498,0.157,0.259,0.684,0.622,0.899,0.456,0.633,0.073,0.266,0.66,0.083,0.414,1.208609272
861,2015, Brad Miller,TBR,110,497,0.27,0.274,0.644,0.714,0.757,0.415,0.592,0.129,0.266,0.81,0.068,0.423,0.74433657
862,2019, Mark Canha,OAK,126,497,0.215,0.25,0.706,0.614,0.838,0.424,0.604,0.085,0.282,0.719,0.075,0.4,0.828804348
863,2017, Scooter Gennett,CIN,141,497,0.229,0.321,0.69,0.686,0.859,0.459,0.606,0.098,0.256,0.713,0.057,0.402,0.85012285
864,2017, Ben Zobrist,CHC,128,496,0.143,0.234,0.741,0.575,0.931,0.465,0.601,0.051,0.268,0.672,0.071,0.445,1.240677966
865,2017, Josh Donaldson,TOR,113,496,0.224,0.249,0.595,0.647,0.817,0.434,0.554,0.109,0.271,0.828,0.064,0.432,0.866477273
866,2018, Matt Davidson,CHW,126,496,0.333,0.3,0.519,0.676,0.806,0.407,0.625,0.139,0.31,0.77,0.071,0.44,0.692111959
868,2016, Miguel Sano,MIN,105,495,0.362,0.279,0.428,0.68,0.772,0.391,0.565,0.158,0.311,0.741,0.076,0.42,0.716129032
869,2016, Rajai Davis,CLE,134,495,0.214,0.332,0.602,0.727,0.872,0.461,0.616,0.114,0.249,0.812,0.094,0.422,0.894329897
870,2021, Garrett Hampson,COL,147,494,0.239,0.271,0.568,0.646,0.877,0.458,0.605,0.1,0.295,0.757,0.089,0.425,0.952238806
871,2019, Hunter Renfroe,SDP,140,494,0.312,0.319,0.574,0.667,0.813,0.403,0.623,0.131,0.31,0.718,0.067,0.404,0.787061995
872,2018, Juan Soto,WSN,116,494,0.2,0.219,0.681,0.607,0.857,0.436,0.575,0.077,0.274,0.786,0.072,0.418,0.959627329
873,2015, Marcell Ozuna,MIA,123,494,0.223,0.333,0.576,0.665,0.869,0.434,0.619,0.117,0.287,0.71,0.072,0.415,1.143322476
874,2021, Dominic Smith,NYM,145,493,0.227,0.38,0.613,0.724,0.855,0.402,0.574,0.13,0.264,0.763,0.071,0.434,0.899470899
875,2015, Luis Valbuena,LAA,117,493,0.264,0.247,0.587,0.672,0.792,0.454,0.539,0.119,0.286,0.762,0.07,0.416,0.813953488
876,2016, Brian McCann,NYY,130,492,0.201,0.302,0.695,0.614,0.907,0.411,0.543,0.077,0.264,0.706,0.06,0.403,0.875661376
877,2017, Bryce Harper,WSN,111,492,0.201,0.301,0.559,0.744,0.851,0.427,0.547,0.124,0.237,0.845,0.056,0.41,0.807017544
878,2016, David Freese,PIT,141,492,0.289,0.279,0.592,0.65,0.833,0.448,0.533,0.111,0.282,0.712,0.076,0.418,0.750636132
879,2015, Delino DeShields,TEX,118,492,0.245,0.247,0.616,0.631,0.885,0.445,0.625,0.085,0.276,0.633,0.088,0.426,0.784565916
880,2021, Kolten Wong,MIL,116,492,0.169,0.321,0.682,0.68,0.905,0.429,0.602,0.086,0.253,0.735,0.064,0.457,1.028735632
881,2019, Matt Carpenter,STL,129,492,0.262,0.228,0.603,0.636,0.84,0.427,0.547,0.095,0.289,0.774,0.063,0.446,0.765957447
882,2018, Niko Goodrum,DET,112,492,0.292,0.324,0.544,0.711,0.806,0.406,0.589,0.144,0.297,0.838,0.075,0.432,0.760638298
883,2021, Odubel Herrera,PHI,124,492,0.157,0.363,0.735,0.68,0.885,0.422,0.598,0.089,0.242,0.755,0.074,0.435,0.878859857
884,2017, Dexter Fowler,STL,118,491,0.206,0.248,0.625,0.669,0.874,0.433,0.564,0.089,0.247,0.776,0.07,0.439,0.92
885,2017, Eduardo Nunez,- - -,114,491,0.11,0.396,0.759,0.7,0.909,0.44,0.621,0.081,0.237,0.683,0.083,0.416,1.144444444
887,2017, Lucas Duda,- - -,127,491,0.275,0.268,0.56,0.579,0.865,0.431,0.542,0.101,0.299,0.772,0.069,0.421,0.909090909
888,2015, Pedro Alvarez,PIT,150,491,0.267,0.312,0.516,0.7,0.843,0.406,0.582,0.132,0.28,0.817,0.058,0.415,0.927927928
889,2021, Max Kepler,MIN,121,490,0.196,0.253,0.645,0.713,0.865,0.42,0.555,0.093,0.241,0.806,0.069,0.41,1.015197568
890,2018, Paul DeJong,STL,113,490,0.256,0.32,0.579,0.758,0.834,0.412,0.552,0.131,0.265,0.75,0.077,0.437,0.777439024
891,2018, Rafael Devers,BOS,121,490,0.247,0.372,0.635,0.737,0.827,0.404,0.643,0.132,0.265,0.772,0.068,0.417,0.868073879
892,2019, Wil Myers,SDP,155,490,0.343,0.287,0.546,0.647,0.776,0.42,0.639,0.136,0.309,0.732,0.064,0.42,0.742209632
893,2017, J.D. Martinez,- - -,119,489,0.262,0.321,0.54,0.764,0.805,0.436,0.634,0.148,0.266,0.876,0.077,0.437,0.787723785
894,2018, Jason Heyward,CHC,127,489,0.123,0.316,0.766,0.647,0.897,0.416,0.587,0.071,0.243,0.711,0.065,0.444,1.201257862
895,2017, Jose Iglesias,DET,125,489,0.101,0.397,0.791,0.619,0.939,0.451,0.571,0.063,0.25,0.674,0.078,0.437,1.1
896,2019, Ji-Man Choi,TBR,127,487,0.222,0.241,0.582,0.68,0.844,0.424,0.614,0.103,0.276,0.834,0.073,0.413,0.887608069
897,2018, Josh Reddick,HOU,134,487,0.158,0.285,0.712,0.66,0.912,0.424,0.579,0.072,0.246,0.674,0.071,0.44,1
898,2018, Ronald Acuna Jr.,ATL,111,487,0.253,0.275,0.598,0.728,0.827,0.409,0.62,0.117,0.26,0.854,0.073,0.41,0.845528455
899,2017, Cory Spangenberg,SDP,129,486,0.263,0.325,0.583,0.675,0.835,0.462,0.665,0.124,0.278,0.771,0.08,0.422,0.865329513
900,2019, Edwin Encarnacion,- - -,109,486,0.212,0.282,0.669,0.664,0.817,0.402,0.566,0.105,0.273,0.757,0.071,0.415,0.805063291
901,2017, Kyle Schwarber,- - -,113,486,0.27,0.233,0.58,0.676,0.812,0.408,0.554,0.11,0.282,0.82,0.064,0.43,0.83030303
902,2015, Colby Rasmus,HOU,107,485,0.29,0.281,0.444,0.705,0.801,0.438,0.657,0.149,0.289,0.855,0.062,0.434,0.854166667
903,2021, Jesse Winker,CIN,110,485,0.155,0.278,0.732,0.697,0.875,0.406,0.581,0.08,0.232,0.835,0.073,0.43,0.991452991
904,2015, Mark Canha,OAK,122,485,0.214,0.311,0.734,0.61,0.87,0.43,0.616,0.081,0.28,0.697,0.07,0.438,0.813411079
905,2017, Mike Napoli,TEX,124,485,0.336,0.27,0.502,0.64,0.77,0.436,0.534,0.14,0.323,0.691,0.065,0.436,0.742296919
