,Season,Name,Team,G,PA,H,2B,2B%,FB%,GB%,LD%,SweetSpot%,Pull%,Cent%,Oppo%,Barrel%,HardHit%,LDFB_EV,Spd
1120,2018,Gerardo Parra,COL,142,443,114,17,0.149122807,0.283,0.435,0.249,0.341,0.363,0.338,0.299,0.024,0.263,0.457,2.5
1121,2015,Jose Reyes,- - -,116,519,132,25,0.189393939,0.359,0.488,0.2,0.326,0.422,0.357,0.22,0.002,0.186,0.464,5.6
1122,2015,Christian Yelich,MIA,126,525,143,30,0.20979021,0.15,0.488,0.225,0.329,0.317,0.405,0.277,0.043,0.451,0.4795,2.6
1123,2017,Adam Frazier,PIT,121,454,112,20,0.178571429,0.268,0.372,0.254,0.353,0.323,0.329,0.348,0.02,0.235,0.469,1.5
1124,2016,Yonder Alonso,OAK,156,532,122,34,0.278688525,0.333,0.434,0.225,0.371,0.398,0.357,0.245,0.036,0.371,0.461,2.5
1125,2021,J.P. Crawford,SEA,160,687,169,37,0.218934911,0.308,0.36,0.236,0.326,0.304,0.424,0.273,0.024,0.304,0.4415,2.5
1126,2018,Adam Engel,CHW,143,463,101,17,0.168316832,0.408,0.498,0.184,0.308,0.455,0.308,0.237,0.023,0.321,0.4725,2.1
1127,2019,Leury Garcia,CHW,140,618,161,27,0.167701863,0.236,0.502,0.215,0.279,0.332,0.327,0.341,0.033,0.299,0.454,6.1
1128,2015,Juan Lagares,NYM,143,465,114,16,0.140350877,0.31,0.432,0.142,0.242,0.279,0.416,0.304,0.014,0.402,0.4585,2.1
1129,2018,Joey Wendle,TBR,139,545,146,33,0.226027397,0.323,0.408,0.218,0.333,0.36,0.342,0.298,0.027,0.352,0.4675,2.3
1130,2017,Jonathan Lucroy,- - -,123,481,112,21,0.1875,0.279,0.541,0.186,0.269,0.303,0.388,0.309,0.027,0.242,0.4665,5.2
1131,2019,Robbie Grossman,OAK,138,482,101,21,0.207920792,0.343,0.377,0.251,0.279,0.298,0.414,0.289,0.021,0.307,0.45,4.9
1132,2015,Yonder Alonso,SDP,103,402,100,18,0.18,0.278,0.533,0.23,0.294,0.359,0.385,0.256,0.032,0.333,0.4655,1.7
1133,2017,Jose Iglesias,DET,130,489,118,33,0.279661017,0.264,0.302,0.232,0.31,0.373,0.318,0.308,0.01,0.211,0.4335,4.2
1134,2016,Martin Prado,MIA,153,658,183,37,0.202185792,0.277,0.398,0.249,0.346,0.345,0.388,0.267,0.011,0.308,0.44,2.6
1135,2016,Michael Bourn,- - -,113,413,99,13,0.131313131,0.261,0.441,0.224,0.371,0.362,0.355,0.283,0.031,0.171,0.4665,2
1136,2018,Yolmer Sanchez,CHW,155,662,145,34,0.234482759,0.292,0.477,0.22,0.314,0.373,0.355,0.272,0.026,0.278,0.4645,3.1
1137,2021,Christian Vazquez,BOS,138,498,118,23,0.194915254,0.378,0.391,0.215,0.373,0.322,0.359,0.319,0.026,0.309,0.4425,5.1
1138,2016,Kevin Pillar,TOR,146,584,146,35,0.239726027,0.339,0.474,0.205,0.29,0.39,0.315,0.295,0.024,0.3,0.488,3.3
