,Season,Name,Team,G,PA,H,2B,2B%,FB%,GB%,LD%,SweetSpot%,Pull%,Cent%,Oppo%,Barrel%,HardHit%,LDFB_EV,Spd
1219,2017,Jon Jay,CHC,141,433,112,18,0.160714286,0.239,0.389,0.29,0.358,0.283,0.365,0.352,0.003,0.224,0.435,5.3
1220,2015,Alcides Escobar,KCR,148,662,157,20,0.127388535,0.299,0.423,0.223,0.375,0.315,0.383,0.302,0.009,0.165,0.456,5.9
1221,2015,Jose Iglesias,DET,120,454,125,17,0.136,0.232,0.409,0.21,0.315,0.346,0.364,0.29,0,0.179,0.4665,3.7
1222,2015,Omar Infante,KCR,124,455,97,23,0.237113402,0.377,0.321,0.21,0.448,0.435,0.345,0.22,0.008,0.207,0.4355,5
1223,2015,Nick Markakis,ATL,156,686,181,38,0.209944751,0.27,0.36,0.208,0.325,0.287,0.383,0.33,0.008,0.336,0.4615,6.8
1224,2021,Luis Arraez,MIN,121,479,126,17,0.134920635,0.28,0.489,0.262,0.281,0.295,0.363,0.342,0.023,0.306,0.4675,2
1225,2015,Delino DeShields,TEX,121,492,111,22,0.198198198,0.337,0.405,0.193,0.393,0.367,0.367,0.266,0.012,0.221,0.461,4.5
1226,2015,Brock Holt,BOS,129,509,127,27,0.212598425,0.235,0.399,0.238,0.356,0.333,0.402,0.264,0.006,0.242,0.4575,1.8
1227,2018,Mallex Smith,TBR,141,544,142,27,0.190140845,0.254,0.622,0.249,0.223,0.289,0.379,0.332,0.01,0.23,0.4645,4.3
1228,2019,Yolmer Sanchez,CHW,149,555,125,20,0.16,0.355,0.376,0.212,0.333,0.314,0.344,0.342,0.01,0.27,0.444,4.4
1229,2021,Nicky Lopez,KCR,151,565,149,21,0.140939597,0.233,0.465,0.214,0.316,0.322,0.388,0.29,0.007,0.265,0.45,7.1
1230,2015,Ben Revere,- - -,152,634,181,22,0.121546961,0.189,0.496,0.264,0.361,0.351,0.401,0.248,0,0.142,0.4615,4
1231,2021,David Fletcher,LAA,157,665,164,27,0.164634146,0.281,0.492,0.234,0.327,0.311,0.332,0.358,0,0.155,0.476,3.5
1232,2017,Dee Strange-Gordon,MIA,158,695,201,20,0.099502488,0.196,0.331,0.228,0.364,0.3,0.367,0.332,0.002,0.113,0.485,4.6
1233,2015,Eric Sogard,OAK,120,401,92,12,0.130434783,0.336,0.443,0.22,0.322,0.356,0.399,0.245,0.003,0.187,0.458,2.7
1234,2019,Tony Wolters,COL,121,411,94,17,0.180851064,0.288,0.43,0.268,0.271,0.355,0.371,0.274,0,0.197,0.441,2.7
1235,2015,Ichiro Suzuki,MIA,153,438,91,5,0.054945055,0.232,0.384,0.183,0.301,0.281,0.379,0.34,0.006,0.138,0.473,1.8
1236,2015,Cesar Hernandez,PHI,127,452,110,20,0.181818182,0.219,0.492,0.238,0.358,0.321,0.37,0.309,0.012,0.269,0.4585,3.6
1237,2016,Ketel Marte,SEA,119,466,113,21,0.185840708,0.262,0.408,0.218,0.338,0.406,0.348,0.246,0.003,0.199,0.436,5.2
1238,2015,Michael Bourn,- - -,141,482,101,15,0.148514851,0.28,0.309,0.248,0.415,0.334,0.395,0.271,0.015,0.185,0.469,1.1
