Name,Team,Age,PA,AVG,BB%,ISO,HR,HR/800,SB,SB/800
Fernando Tatis Jr.,SDP,22,546,0.282,0.114,0.328,42,62,25,37
Abraham Toro,- - -,24,544,0.218,0.075,0.145,17,25,6,9
Daulton Varsho,ARI,25,534,0.247,0.09,0.193,20,30,10,15
Akil Baddoo,DET,23,516,0.246,0.097,0.166,14,22,19,29
Harold Ramirez,- - -,27,510,0.275,0.041,0.119,9,14,5,8
Brandon Belt,SFG,34,501,0.263,0.128,0.284,33,53,4,6
Ha-seong Kim,SDP,26,499,0.209,0.082,0.142,12,19,9,14
Wander Franco,TBR,21,498,0.281,0.068,0.166,11,18,6,10
Mike Zunino,TBR,31,498,0.199,0.08,0.295,38,61,0,0
Ramon Laureano,OAK,27,497,0.249,0.076,0.173,15,24,17,27
Ronald Acuna Jr.,ATL,24,496,0.293,0.129,0.283,29,47,28,45
Didi Gregorius,PHI,32,491,0.227,0.059,0.155,13,21,3,5
Frank Schwindel,- - -,29,481,0.283,0.062,0.219,22,37,2,3
Luis Robert,CHW,24,479,0.316,0.042,0.191,19,32,16,27
Michael Conforto,NYM,28,479,0.232,0.123,0.153,14,23,1,2
James McCann,NYM,32,476,0.227,0.071,0.114,11,18,2,3
Santiago Espinal,TOR,27,473,0.3,0.085,0.124,7,12,9,15
Harold Castro,DET,28,468,0.282,0.036,0.103,7,12,1,2
Garrett Cooper,MIA,31,461,0.298,0.104,0.17,13,23,1,2
Eddie Rosario,- - -,29,461,0.239,0.067,0.161,14,24,11,19
Connor Joe,COL,29,457,0.272,0.123,0.16,13,23,3,5
Brandon Marsh,LAA,24,453,0.255,0.068,0.114,8,14,9,16
Marcell Ozuna,ATL,31,453,0.218,0.071,0.156,17,30,2,4
Dylan Moore,SEA,29,451,0.184,0.111,0.159,14,25,25,44
Max Stassi,LAA,31,450,0.242,0.1,0.174,17,30,0,0
Byron Buxton,MIN,28,440,0.278,0.064,0.348,36,65,10,18
Jesus Sanchez,MIA,24,438,0.242,0.068,0.227,22,40,0,0
Lane Thomas,- - -,25,435,0.239,0.113,0.178,13,24,7,13
Anthony Rendon,LAA,32,426,0.238,0.12,0.149,11,21,2,4
Carson Kelly,ARI,27,419,0.219,0.11,0.147,13,25,0,0
Edmundo Sosa,STL,26,411,0.255,0.046,0.103,6,12,5,10
Luke Voit,- - -,31,405,0.234,0.099,0.175,16,32,1,2
Mitch Garver,- - -,31,402,0.236,0.114,0.233,20,40,2,4
Yoshi Tsutsugo,- - -,29,397,0.204,0.118,0.137,10,20,0,0
Taylor Ward,LAA,28,395,0.282,0.116,0.235,18,36,2,4
Josh Naylor,CLE,25,394,0.26,0.066,0.171,14,28,1,2
Travis d'Arnaud,ATL,33,393,0.234,0.056,0.174,13,26,0,0
Brian Anderson,MIA,29,387,0.254,0.109,0.133,9,19,6,12
Jon Berti,MIA,32,381,0.227,0.126,0.11,6,13,19,40
Kole Calhoun,- - -,34,379,0.239,0.071,0.158,12,25,2,4
Andres Gimenez,CLE,23,376,0.257,0.048,0.172,12,26,15,32
Evan Longoria,SFG,36,373,0.255,0.11,0.228,18,39,1,2
Alejandro Kirk,TOR,23,366,0.283,0.109,0.176,13,28,0,0
Justin Upton,LAA,33,362,0.211,0.108,0.198,17,38,4,9
Mike Trout,LAA,30,360,0.303,0.15,0.307,22,49,2,4
Cavan Biggio,TOR,27,360,0.218,0.133,0.119,7,16,4,9
Mike Moustakas,CIN,33,359,0.204,0.097,0.141,9,20,1,2
Nick Madrigal,- - -,25,330,0.276,0.048,0.088,2,5,2,5
Gavin Sheets,CHW,26,328,0.229,0.082,0.195,15,37,0,0
Nico Hoerner,CHC,25,321,0.293,0.065,0.088,3,7,11,27
Aaron Hicks,NYY,32,313,0.213,0.134,0.084,6,15,5,13
Brandon Drury,- - -,29,295,0.276,0.064,0.224,15,41,1,3
Keston Hiura,MIL,25,292,0.181,0.086,0.154,9,25,5,14
Luis Garcia,WSN,22,292,0.262,0.041,0.161,7,19,0,0
Keibert Ruiz,- - -,22,281,0.268,0.075,0.114,5,14,3,9
Eloy Jimenez,CHW,25,270,0.245,0.067,0.177,11,33,0,0
Danny Jansen,TOR,27,267,0.225,0.075,0.283,18,54,0,0
Carter Kieboom,WSN,23,249,0.207,0.1,0.111,6,19,0,0
Adalberto Mondesi,KCR,26,190,0.205,0.053,0.159,6,25,20,84
Seiya Suzuki,CHC,27,163,0.245,0.129,0.187,4,20,3,15
Kyle Lewis,SEA,26,163,0.248,0.098,0.172,7,34,2,10
,,,,,,,,,,
Alec Bohm,PHI,25,641,0.249,0.07,0.098,11,14,5,6
Andrew Vaughn,CHW,24,625,0.247,0.082,0.167,21,27,1,1
Ke'Bryan Hayes,PIT,25,618,0.266,0.091,0.11,8,10,16,21
Brendan Rodgers,COL,25,614,0.276,0.049,0.175,21,27,0,0
Jarred Kelenic,SEA,22,473,0.173,0.095,0.165,17,29,10,17
Trevor Larnach,MIN,25,446,0.235,0.103,0.157,12,22,1,2
Jonah Heim,TEX,27,427,0.218,0.063,0.182,17,32,5,9
Owen Miller,CLE,25,403,0.234,0.062,0.13,8,,2,
William Contreras,ATL,24,286,0.242,0.108,0.254,17,,1,
Alex Kirilloff,MIN,24,263,0.242,0.057,0.152,8,24,1,3
Cal Raleigh,SEA,25,251,0.177,0.068,0.177,9,29,0,0
Nick Senzel,CIN,27,251,0.24,0.076,0.062,2,6,4,13
Julio Rodriguez,SEA,21,237,0.264,0.076,0.148,7,24,17,57
Bobby Witt Jr.,KCR,22,227,0.233,0.053,0.205,7,25,10,35
Jo Adell,LAA,23,227,0.248,0.048,0.164,7,25,3,11
Emmanuel Rivera,KCR,26,225,0.231,0.071,0.135,5,,2,
Taylor Trammell,SEA,24,223,0.18,0.099,0.206,9,32,2,7
Jeremy Pena,HOU,24,199,0.276,0.055,0.182,8,32,4,16
Spencer Torkelson,DET,22,186,0.193,0.118,0.118,4,17,0,0
Jake Burger,CHW,26,184,0.274,0.071,0.232,9,,0,
Steven Kwan,CLE,24,175,0.27,0.12,0.095,1,5,4,18
Diego Castillo,PIT,24,154,0.203,0.052,0.084,2,,1,
Edwin Rios,LAD,28,152,0.182,0.079,0.182,8,,0,
Edward Olivares,KCR,26,149,0.272,0.047,0.154,5,,4,
Jack Suwinski,PIT,23,138,0.22,0.065,0.228,8,,2,
Brendan Donovan,STL,25,135,0.295,0.148,0.107,1,,2,
Jarren Duran,BOS,25,126,0.225,0.032,0.125,2,,2,
MJ Melendez,KCR,23,125,0.268,0.104,0.232,6,,0,
Juan Yepez,STL,24,125,0.259,0.08,0.161,4,,0,
Joey Bart,SFG,25,114,0.167,0.132,0.135,4,,1,
Christopher Morel,CHC,23,112,0.278,0.107,0.206,3,,6,
Alek Thomas,ARI,22,111,0.242,0.081,0.202,5,,1,
Bryson Stott,PHI,24,111,0.184,0.072,0.117,3,,1,
Evan White,SEA,25,104,0.144,0.058,0.093,2,,0,
Seth Beer,ARI,25,103,0.233,0.087,0.111,2,,0,
Jose Miranda,MIN,24,102,0.224,0.029,0.194,4,,0,
Josh Lowe,TBR,24,73,0.2,0.096,0.154,1,,2,
CJ Abrams,SDP,21,65,0.182,0.062,0.091,1,,1,
Adley Rutschman,BAL,24,65,0.153,0.062,0.068,0,,0,
Oscar Gonzalez,CLE,24,65,0.391,0.015,0.141,0,,0,
Nolan Gorman,STL,22,62,0.268,0.097,0.214,3,,0,
Jose Barrero,CIN,23,56,0.2,0.054,0.12,0,,1,
Michael Harris II,ATL,21,56,0.296,0.036,0.13,0,,2,
Luis Campusano,SDP,23,51,0.087,0.078,0,0,,0,
Royce Lewis,MIN,23,41,0.3,0.024,0.25,2,,0,
Ezequiel Duran,TEX,23,22,0.273,0,0.136,1,,0,
Josh Smith,TEX,24,17,0.417,0.118,0.083,0,,1,
Heliot Ramos,SFG,22,10,0.222,0.1,0,0,,0,
Oneil Cruz,PIT,22,9,0.333,0,0.333,1,,0,
