,Season,Name,Team,G,PA,H,H/PA,BABIP,LD%,GB%,FB%,IFFB%,SweetSpot%,Barrel%,HardHit%,,HR/FB,Barrel%*10,Pull%,Cent%,Oppo%
32,2019,Jorge Polanco,MIN,153,704,186,0.264204545,0.328,0.263,0.292,0.444,0.07,0.416,0.063,0.328,,0.096,0.63,0.374,0.365,0.261
33,2015,Brian Dozier,MIN,157,704,148,0.210227273,0.261,0.226,0.333,0.441,0.197,0.342,0.055,0.311,,0.131,0.55,0.602,0.242,0.156
34,2018,Marcus Semien,OAK,159,703,161,0.229018492,0.296,0.228,0.392,0.38,0.114,0.349,0.043,0.32,,0.078,0.43,0.467,0.306,0.227
35,2019,Rafael Devers,BOS,156,702,201,0.286324786,0.339,0.213,0.444,0.343,0.099,0.368,0.081,0.475,,0.177,0.81,0.421,0.302,0.277
36,2016,Edwin Encarnacion,TOR,160,702,158,0.225071225,0.27,0.204,0.382,0.414,0.123,0.33,0.112,0.411,,0.215,1.12,0.522,0.293,0.185
37,2019,Ozzie Albies,ATL,160,702,189,0.269230769,0.325,0.255,0.379,0.366,0.077,0.359,0.062,0.34,,0.124,0.62,0.455,0.338,0.207
38,2015,Anthony Rizzo,CHC,160,701,163,0.232524964,0.289,0.218,0.346,0.436,0.104,0.357,0.074,0.385,,0.146,0.74,0.432,0.348,0.219
39,2016,Josh Donaldson,TOR,155,700,164,0.234285714,0.3,0.213,0.382,0.406,0.102,0.324,0.112,0.49,,0.198,1.12,0.46,0.276,0.263
40,2016,Kris Bryant,CHC,155,699,176,0.251788269,0.332,0.237,0.305,0.458,0.121,0.386,0.117,0.389,,0.188,1.17,0.467,0.336,0.197
41,2019,Eduardo Escobar,ARI,158,699,171,0.244635193,0.283,0.227,0.328,0.446,0.052,0.363,0.064,0.314,,0.152,0.64,0.438,0.355,0.207
42,2021,Vladimir Guerrero Jr.,TOR,161,698,188,0.269340974,0.313,0.188,0.448,0.365,0.077,0.337,0.151,0.552,,0.265,1.51,0.399,0.355,0.246
43,2018,Jose Ramirez,CLE,157,698,156,0.223495702,0.252,0.207,0.334,0.459,0.13,0.347,0.069,0.345,,0.169,0.69,0.5,0.302,0.198
44,2019,Xander Bogaerts,BOS,155,698,190,0.272206304,0.338,0.191,0.412,0.398,0.061,0.343,0.08,0.436,,0.167,0.8,0.426,0.329,0.245
45,2016,Dustin Pedroia,BOS,154,698,201,0.287965616,0.339,0.242,0.49,0.268,0.086,0.353,0.02,0.289,,0.099,0.2,0.356,0.33,0.314
46,2016,Nolan Arenado,COL,160,696,182,0.261494253,0.293,0.18,0.352,0.467,0.115,0.349,0.082,0.396,,0.168,0.82,0.457,0.321,0.222
47,2018,Charlie Blackmon,COL,156,696,182,0.261494253,0.329,0.232,0.434,0.334,0.049,0.327,0.059,0.352,,0.177,0.59,0.408,0.37,0.222
48,2016,Manny Machado,BAL,157,696,188,0.270114943,0.309,0.2,0.373,0.427,0.143,0.349,0.09,0.432,,0.165,0.9,0.419,0.345,0.236
