,Season,Name,Team,G,PA,H,BABIP,LD%,GB%,FB%,IFFB%,SweetSpot%,Barrel%,HardHit%,Pull%,Cent%,Oppo%,Spd,LDFB_EV
24,2016,Adam Eaton,CHW,157,706,176,0.329,0.205,0.537,0.258,0.055,0.311,0.027,0.356,0.307,0.319,0.374,5.9,0.4535
25,2019,Mookie Betts,BOS,150,706,176,0.309,0.248,0.315,0.438,0.1,0.392,0.093,0.469,0.436,0.337,0.228,6.3,0.471
26,2018,Alex Bregman,HOU,157,705,170,0.289,0.219,0.346,0.434,0.126,0.379,0.074,0.398,0.484,0.324,0.191,3.6,0.4675
27,2017,Brian Dozier,MIN,152,705,167,0.3,0.19,0.384,0.426,0.134,0.32,0.075,0.345,0.504,0.32,0.176,5.2,0.472
28,2018,Giancarlo Stanton,NYY,158,705,164,0.333,0.185,0.45,0.365,0.132,0.3,0.147,0.505,0.389,0.37,0.24,3.8,0.4985
29,2018,Nick Markakis,ATL,162,705,185,0.318,0.266,0.433,0.301,0.066,0.384,0.025,0.415,0.317,0.391,0.292,2.1,0.461
30,2016,Paul Goldschmidt,ARI,158,705,172,0.358,0.247,0.465,0.288,0.143,0.33,0.071,0.425,0.391,0.359,0.249,5.7,0.4745
31,2019,Rhys Hoskins,PHI,160,705,129,0.267,0.206,0.29,0.504,0.153,0.31,0.084,0.385,0.474,0.333,0.194,3.6,0.47
32,2015,Brian Dozier,MIN,157,704,148,0.261,0.226,0.333,0.441,0.197,0.342,0.055,0.311,0.602,0.242,0.156,5.6,0.4625
33,2019,Jorge Polanco,MIN,153,704,186,0.328,0.263,0.292,0.444,0.07,0.414,0.063,0.328,0.374,0.365,0.261,4.7,0.4585
34,2018,Marcus Semien,OAK,159,703,161,0.296,0.228,0.392,0.38,0.114,0.349,0.043,0.32,0.467,0.306,0.227,4.7,0.4565
35,2016,Edwin Encarnacion,TOR,160,702,158,0.27,0.204,0.382,0.414,0.123,0.359,0.112,0.411,0.522,0.293,0.185,2.2,0.478
36,2019,Ozzie Albies,ATL,160,702,189,0.325,0.255,0.379,0.366,0.077,0.368,0.062,0.34,0.455,0.338,0.207,6.2,0.457
37,2019,Rafael Devers,BOS,156,702,201,0.339,0.213,0.444,0.343,0.099,0.33,0.081,0.475,0.421,0.302,0.277,4.9,0.4825
38,2015,Anthony Rizzo,CHC,160,701,163,0.289,0.218,0.346,0.436,0.104,0.357,0.074,0.385,0.432,0.348,0.219,4.9,0.468
39,2016,Josh Donaldson,TOR,155,700,164,0.3,0.213,0.382,0.406,0.102,0.322,0.112,0.49,0.46,0.276,0.263,5.1,0.488
40,2019,Eduardo Escobar,ARI,158,699,171,0.283,0.227,0.328,0.446,0.052,0.386,0.064,0.314,0.438,0.355,0.207,5.3,0.4555
41,2016,Kris Bryant,CHC,155,699,176,0.332,0.237,0.305,0.458,0.121,0.363,0.117,0.389,0.467,0.336,0.197,4.5,0.4695
42,2016,Dustin Pedroia,BOS,154,698,201,0.339,0.242,0.49,0.268,0.086,0.353,0.02,0.289,0.356,0.33,0.314,3.5,0.457
43,2018,Jose Ramirez,CLE,157,698,156,0.252,0.207,0.334,0.459,0.13,0.343,0.069,0.345,0.5,0.302,0.198,6.2,0.462
44,2021,Vladimir Guerrero Jr.,TOR,161,698,188,0.313,0.188,0.448,0.365,0.077,0.337,0.151,0.552,0.399,0.355,0.246,3.1,0.4925
45,2019,Xander Bogaerts,BOS,155,698,190,0.338,0.191,0.412,0.398,0.061,0.347,0.08,0.436,0.426,0.329,0.245,2.7,0.471
46,2018,Charlie Blackmon,COL,156,696,182,0.329,0.232,0.434,0.334,0.049,0.349,0.059,0.352,0.408,0.37,0.222,6.1,0.456
47,2016,Manny Machado,BAL,157,696,188,0.309,0.2,0.373,0.427,0.143,0.349,0.09,0.432,0.419,0.345,0.236,2.3,0.474
48,2016,Nolan Arenado,COL,160,696,182,0.293,0.18,0.352,0.467,0.115,0.327,0.082,0.396,0.457,0.321,0.222,3.8,0.464
49,2018,Bryce Harper,WSN,159,695,137,0.289,0.222,0.398,0.38,0.034,0.351,0.1,0.451,0.423,0.295,0.282,3.7,0.4815
50,2017,Christian Yelich,MIA,156,695,170,0.336,0.194,0.554,0.252,0.025,0.295,0.061,0.453,0.333,0.374,0.293,5.2,0.4735
51,2017,Dee Strange-Gordon,MIA,158,695,201,0.354,0.228,0.576,0.196,0.029,0.277,0.002,0.113,0.3,0.367,0.332,8.5,0.4295
52,2021,Freddie Freeman,ATL,159,695,180,0.321,0.244,0.43,0.325,0.037,0.372,0.115,0.457,0.376,0.368,0.257,4.3,0.477
53,2015,Joey Votto,CIN,158,695,171,0.371,0.25,0.422,0.328,0.015,0.425,0.095,0.425,0.371,0.369,0.26,3.7,0.4735
54,2016,Jose Abreu,CHW,159,695,183,0.327,0.213,0.455,0.333,0.112,0.327,0.071,0.392,0.36,0.341,0.299,1.3,0.4645
55,2015,Paul Goldschmidt,ARI,159,695,182,0.382,0.234,0.416,0.35,0.054,0.392,0.123,0.465,0.296,0.402,0.303,4.6,0.485
56,2016,Jean Segura,ARI,153,694,203,0.353,0.191,0.531,0.278,0.054,0.31,0.055,0.338,0.314,0.363,0.323,6.8,0.4605
57,2016,Freddie Freeman,ATL,158,693,178,0.37,0.291,0.303,0.405,0.053,0.447,0.13,0.447,0.366,0.336,0.298,4.8,0.478
58,2019,Jose Abreu,CHW,159,693,180,0.32,0.217,0.463,0.319,0.089,0.352,0.12,0.482,0.443,0.297,0.26,2.3,0.4805
59,2019,Pete Alonso,NYM,161,693,155,0.28,0.18,0.405,0.415,0.133,0.369,0.146,0.422,0.458,0.367,0.175,2.7,0.483
60,2015,Prince Fielder,TEX,158,693,187,0.323,0.183,0.462,0.355,0.053,0.294,0.055,0.443,0.325,0.396,0.279,1,0.466
61,2019,Freddie Freeman,ATL,158,692,176,0.318,0.275,0.383,0.341,0.043,0.4,0.117,0.424,0.405,0.309,0.286,3.8,0.469
62,2017,Giancarlo Stanton,MIA,159,692,168,0.288,0.16,0.446,0.394,0.169,0.316,0.169,0.455,0.446,0.352,0.201,2.3,0.5
63,2017,Anthony Rizzo,CHC,157,691,156,0.273,0.201,0.407,0.392,0.101,0.342,0.082,0.387,0.449,0.333,0.218,4.4,0.472
64,2016,Brian Dozier,MIN,155,691,165,0.28,0.159,0.364,0.477,0.132,0.312,0.081,0.362,0.564,0.283,0.153,6.1,0.4715
65,2021,Mitch Haniger,SEA,157,691,157,0.281,0.161,0.434,0.405,0.097,0.336,0.126,0.447,0.473,0.331,0.196,3.5,0.471
66,2021,Tommy Edman,STL,159,691,168,0.291,0.218,0.46,0.322,0.063,0.315,0.043,0.353,0.442,0.322,0.236,6.3,0.4525
67,2019,Alex Bregman,HOU,156,690,164,0.281,0.225,0.315,0.459,0.118,0.355,0.046,0.372,0.453,0.363,0.184,3.8,0.4615
68,2021,Bo Bichette,TOR,159,690,191,0.339,0.205,0.491,0.304,0.065,0.335,0.099,0.475,0.294,0.371,0.335,6,0.473
69,2015,Dexter Fowler,CHC,156,690,149,0.308,0.203,0.433,0.364,0.063,0.32,0.04,0.3,0.441,0.309,0.251,6.6,0.4535
70,2017,Manny Machado,BAL,156,690,163,0.265,0.158,0.421,0.421,0.132,0.302,0.094,0.475,0.416,0.336,0.248,3.3,0.4835
71,2018,Paul Goldschmidt,ARI,158,690,172,0.359,0.25,0.386,0.364,0.118,0.371,0.131,0.437,0.379,0.364,0.257,4.2,0.4795
72,2015,Adam Eaton,CHW,153,689,175,0.345,0.22,0.507,0.273,0.102,0.267,0.029,0.305,0.292,0.368,0.34,6.5,0.4465
73,2017,Elvis Andrus,TEX,158,689,191,0.325,0.2,0.485,0.315,0.087,0.325,0.037,0.314,0.448,0.36,0.192,5.7,0.459
74,2015,Jose Altuve,HOU,154,689,200,0.329,0.181,0.467,0.352,0.084,0.312,0.033,0.284,0.453,0.355,0.191,5.9,0.451
75,2016,Carlos Santana,CLE,158,688,151,0.258,0.16,0.428,0.412,0.109,0.293,0.09,0.428,0.529,0.307,0.164,3.5,0.469
76,2016,Jason Kipnis,CLE,156,688,168,0.324,0.237,0.389,0.374,0.069,0.382,0.061,0.395,0.408,0.351,0.242,5.4,0.4685
77,2016,Corey Seager,LAD,157,687,193,0.355,0.244,0.463,0.293,0.021,0.375,0.077,0.438,0.371,0.343,0.286,4.1,0.4745
78,2021,J.P. Crawford,SEA,160,687,169,0.32,0.236,0.456,0.308,0.116,0.341,0.024,0.304,0.304,0.424,0.273,2.5,0.4415
79,2019,Carlos Santana,CLE,158,686,161,0.293,0.171,0.452,0.377,0.091,0.291,0.094,0.448,0.456,0.349,0.195,3.5,0.4675
80,2017,Jose Bautista,TOR,157,686,119,0.239,0.165,0.377,0.458,0.165,0.297,0.064,0.356,0.45,0.33,0.219,3.4,0.4655
81,2015,Kole Calhoun,LAA,159,686,161,0.304,0.228,0.418,0.354,0.072,0.356,0.064,0.322,0.426,0.343,0.231,3.4,0.4545
82,2015,Kyle Seager,SEA,161,686,166,0.278,0.24,0.352,0.408,0.098,0.361,0.068,0.346,0.444,0.318,0.238,2.6,0.4595
83,2015,Nick Markakis,ATL,156,686,181,0.338,0.208,0.523,0.27,0.091,0.306,0.008,0.336,0.287,0.383,0.33,2.3,0.448
84,2021,Ozzie Albies,ATL,156,686,163,0.278,0.201,0.314,0.485,0.081,0.37,0.093,0.368,0.435,0.313,0.252,6.8,0.4615
85,2015,Andrew McCutchen,PIT,157,685,165,0.339,0.235,0.382,0.382,0.059,0.41,0.086,0.441,0.389,0.378,0.233,4.2,0.475
86,2016,Evan Longoria,TBR,160,685,173,0.298,0.214,0.319,0.468,0.116,0.381,0.115,0.417,0.429,0.345,0.226,2.7,0.4725
87,2016,Francisco Lindor,CLE,158,684,182,0.324,0.224,0.492,0.284,0.053,0.346,0.039,0.331,0.391,0.356,0.253,5.5,0.454
88,2016,Nick Markakis,ATL,158,684,161,0.3,0.219,0.43,0.351,0.067,0.377,0.043,0.428,0.335,0.373,0.292,1.3,0.459
89,2018,Ozzie Albies,ATL,158,684,167,0.285,0.213,0.388,0.399,0.096,0.34,0.04,0.294,0.448,0.311,0.241,6.2,0.4585
90,2018,Jose Peraza,CIN,157,683,182,0.307,0.255,0.365,0.38,0.077,0.377,0.023,0.235,0.353,0.36,0.288,5.7,0.4365
91,2015,Melky Cabrera,CHW,158,683,172,0.297,0.239,0.463,0.299,0.091,0.309,0.022,0.36,0.369,0.354,0.277,3.1,0.456
92,2018,Mitch Haniger,SEA,157,683,170,0.336,0.213,0.424,0.363,0.091,0.365,0.09,0.429,0.448,0.367,0.185,4.5,0.471
93,2016,Alcides Escobar,KCR,162,682,166,0.295,0.201,0.499,0.299,0.093,0.317,0.013,0.174,0.414,0.336,0.25,5.4,0.433
94,2018,Andrew McCutchen,- - -,155,682,145,0.304,0.23,0.413,0.357,0.091,0.362,0.079,0.415,0.439,0.364,0.197,4.2,0.4705
95,2017,Brett Gardner,NYY,151,682,157,0.3,0.223,0.445,0.332,0.077,0.344,0.029,0.31,0.373,0.354,0.273,6,0.451
96,2019,Bryce Harper,PHI,157,682,149,0.313,0.239,0.383,0.378,0.054,0.376,0.135,0.456,0.378,0.378,0.243,4.4,0.484
97,2015,Charlie Blackmon,COL,157,682,176,0.325,0.248,0.383,0.369,0.055,0.354,0.031,0.29,0.45,0.325,0.225,7.4,0.4495
98,2015,Curtis Granderson,NYM,157,682,150,0.305,0.271,0.308,0.421,0.077,0.409,0.076,0.4,0.483,0.305,0.212,4.2,0.4665
99,2017,DJ LeMahieu,COL,155,682,189,0.351,0.247,0.556,0.197,0.058,0.317,0.015,0.412,0.216,0.4,0.383,3.9,0.4625
100,2015,Mike Trout,LAA,159,682,172,0.344,0.244,0.372,0.384,0.025,0.389,0.161,0.486,0.382,0.332,0.287,5,0.485
101,2019,Paul Goldschmidt,STL,161,682,155,0.303,0.221,0.385,0.394,0.088,0.364,0.106,0.417,0.38,0.376,0.244,3.1,0.4725
102,2016,Mike Trout,LAA,159,681,173,0.371,0.221,0.412,0.367,0.026,0.376,0.134,0.4,0.405,0.329,0.266,6.6,0.4715
103,2018,Jed Lowrie,OAK,157,680,159,0.304,0.234,0.332,0.434,0.064,0.38,0.055,0.376,0.423,0.325,0.253,1.4,0.4595
104,2017,Nolan Arenado,COL,159,680,187,0.32,0.211,0.34,0.449,0.093,0.375,0.079,0.376,0.377,0.351,0.272,4.1,0.465
105,2018,Carlos Santana,PHI,161,679,128,0.231,0.16,0.403,0.437,0.179,0.301,0.067,0.387,0.48,0.299,0.221,2.7,0.466
106,2021,DJ LeMahieu,NYY,150,679,160,0.301,0.224,0.52,0.256,0.062,0.333,0.037,0.431,0.248,0.394,0.358,3,0.4645
107,2016,Ian Kinsler,DET,153,679,178,0.314,0.239,0.316,0.445,0.085,0.374,0.036,0.308,0.441,0.35,0.209,5.8,0.4525
108,2016,Jonathan Villar,MIL,156,679,168,0.373,0.203,0.556,0.241,0.113,0.288,0.05,0.382,0.323,0.417,0.259,6.4,0.4725
109,2019,Jorge Soler,KCR,162,679,156,0.294,0.195,0.393,0.412,0.088,0.345,0.163,0.495,0.467,0.311,0.222,2.8,0.486
110,2017,Marcell Ozuna,MIA,159,679,191,0.355,0.193,0.471,0.335,0.082,0.31,0.085,0.454,0.386,0.363,0.251,2.3,0.484
111,2016,Miguel Cabrera,DET,158,679,188,0.336,0.227,0.417,0.355,0.047,0.401,0.149,0.5,0.378,0.331,0.291,1.3,0.486
112,2021,Paul Goldschmidt,STL,158,679,177,0.331,0.235,0.362,0.403,0.1,0.369,0.136,0.502,0.39,0.373,0.237,5,0.483
113,2019,Trey Mancini,BAL,154,679,175,0.326,0.222,0.459,0.319,0.054,0.364,0.099,0.427,0.358,0.375,0.267,3.1,0.479
114,2017,Aaron Judge,NYY,155,678,154,0.357,0.219,0.349,0.432,0.062,0.382,0.249,0.55,0.414,0.308,0.278,4.8,0.5025
115,2021,Jose Altuve,HOU,146,678,167,0.28,0.223,0.389,0.387,0.179,0.319,0.064,0.344,0.544,0.313,0.143,3.7,0.4645
116,2018,Nick Castellanos,DET,157,678,185,0.361,0.288,0.354,0.358,0.03,0.453,0.106,0.405,0.449,0.303,0.248,3.8,0.468
117,2015,Todd Frazier,CIN,157,678,158,0.271,0.191,0.331,0.477,0.168,0.327,0.082,0.386,0.461,0.329,0.21,3.7,0.4685
118,2018,Eric Hosmer,SDP,157,677,155,0.302,0.199,0.604,0.197,0.097,0.263,0.055,0.373,0.318,0.392,0.29,3.5,0.4755
119,2017,Evan Longoria,TBR,156,677,160,0.282,0.198,0.434,0.368,0.142,0.324,0.05,0.322,0.428,0.32,0.252,3.8,0.4635
120,2016,Ian Desmond,TEX,156,677,178,0.35,0.206,0.534,0.26,0.091,0.284,0.073,0.434,0.312,0.38,0.308,6,0.4715
121,2021,Isiah Kiner-Falefa,TEX,158,677,172,0.304,0.201,0.537,0.261,0.049,0.316,0.018,0.286,0.349,0.356,0.296,5.2,0.4475
122,2016,Joey Votto,CIN,158,677,181,0.366,0.273,0.43,0.297,0,0.405,0.083,0.39,0.369,0.354,0.277,3.9,0.468
123,2018,Matt Carpenter,STL,156,677,145,0.291,0.267,0.264,0.469,0.021,0.441,0.127,0.445,0.483,0.293,0.224,3.1,0.472
124,2016,Anthony Rizzo,CHC,155,676,170,0.309,0.203,0.384,0.413,0.086,0.316,0.088,0.364,0.456,0.326,0.218,3.2,0.462
125,2016,Kyle Seager,SEA,158,676,166,0.295,0.219,0.361,0.42,0.073,0.363,0.084,0.413,0.401,0.316,0.283,3.4,0.467
126,2019,Starlin Castro,MIA,162,676,172,0.293,0.191,0.479,0.33,0.085,0.296,0.054,0.376,0.44,0.339,0.221,2.9,0.4575
127,2016,Wil Myers,SDP,157,676,155,0.305,0.214,0.447,0.339,0.06,0.367,0.07,0.392,0.383,0.378,0.239,6.3,0.4635
128,2015,Yoenis Cespedes,- - -,159,676,184,0.323,0.204,0.417,0.379,0.09,0.324,0.105,0.449,0.437,0.348,0.215,5.1,0.4805
129,2016,Andrew McCutchen,PIT,153,675,153,0.297,0.225,0.358,0.417,0.126,0.323,0.076,0.417,0.448,0.334,0.218,3.4,0.4705
130,2021,Cedric Mullins II,BAL,159,675,175,0.322,0.199,0.39,0.411,0.124,0.355,0.081,0.391,0.436,0.324,0.241,6.1,0.462
131,2015,Ian Kinsler,DET,154,675,185,0.323,0.254,0.339,0.407,0.127,0.366,0.026,0.264,0.419,0.341,0.24,5.4,0.443
132,2017,Jonathan Schoop,BAL,160,675,182,0.33,0.209,0.419,0.372,0.16,0.353,0.068,0.361,0.458,0.343,0.199,2.2,0.4635
133,2017,Jose Abreu,CHW,156,675,189,0.33,0.182,0.453,0.364,0.071,0.342,0.085,0.457,0.387,0.336,0.277,4.4,0.4775
134,2021,Jonathan Schoop,DET,156,674,173,0.317,0.193,0.48,0.327,0.147,0.301,0.068,0.402,0.386,0.376,0.239,2.8,0.4585
135,2015,Robinson Cano,SEA,156,674,179,0.316,0.242,0.505,0.253,0.045,0.324,0.069,0.457,0.363,0.411,0.226,2.3,0.4765
136,2015,A.J. Pollock,ARI,157,673,192,0.338,0.208,0.503,0.29,0.092,0.312,0.045,0.391,0.388,0.369,0.244,7.1,0.463
137,2021,Matt Olson,OAK,156,673,153,0.269,0.165,0.398,0.437,0.124,0.324,0.127,0.484,0.404,0.346,0.251,2.8,0.4805
138,2018,Nolan Arenado,COL,156,673,175,0.314,0.213,0.399,0.388,0.12,0.354,0.072,0.402,0.398,0.368,0.234,2.9,0.472
139,2016,Adam Jones,BAL,152,672,164,0.28,0.165,0.429,0.406,0.083,0.318,0.07,0.349,0.404,0.361,0.236,2.6,0.463
140,2016,Kole Calhoun,LAA,157,672,161,0.309,0.221,0.38,0.399,0.068,0.362,0.052,0.399,0.418,0.326,0.256,3.7,0.46
141,2016,Matt Kemp,- - -,156,672,167,0.297,0.205,0.399,0.397,0.047,0.372,0.104,0.378,0.445,0.33,0.225,2.2,0.4665
142,2017,Eric Hosmer,KCR,162,671,192,0.351,0.222,0.556,0.222,0.072,0.303,0.062,0.389,0.313,0.357,0.329,3.4,0.471
143,2021,Robbie Grossman,DET,156,671,133,0.286,0.243,0.295,0.462,0.08,0.395,0.076,0.339,0.441,0.31,0.249,5.2,0.4535
144,2018,Brian Anderson,MIA,156,670,161,0.332,0.197,0.518,0.285,0.061,0.292,0.056,0.423,0.384,0.354,0.261,3.5,0.465
145,2015,Chris Davis,BAL,160,670,150,0.319,0.247,0.318,0.435,0.038,0.397,0.168,0.462,0.559,0.265,0.176,1.9,0.4825
146,2015,Evan Longoria,TBR,160,670,163,0.309,0.206,0.39,0.404,0.108,0.335,0.077,0.393,0.419,0.321,0.26,2.6,0.472
147,2021,Kyle Seager,SEA,159,670,128,0.226,0.174,0.321,0.506,0.134,0.357,0.123,0.401,0.435,0.341,0.224,2.8,0.4705
148,2019,Matt Chapman,OAK,156,670,145,0.27,0.155,0.415,0.431,0.175,0.251,0.109,0.481,0.424,0.346,0.23,3.3,0.4855
149,2017,Nick Markakis,ATL,160,670,163,0.324,0.222,0.486,0.292,0.099,0.34,0.025,0.344,0.333,0.366,0.3,1.9,0.4575
150,2017,Edwin Encarnacion,CLE,157,669,143,0.271,0.211,0.371,0.418,0.101,0.364,0.103,0.422,0.467,0.329,0.204,2.7,0.471
151,2015,Jose Abreu,CHW,154,668,178,0.333,0.207,0.473,0.321,0.105,0.304,0.089,0.416,0.376,0.359,0.266,2.5,0.4725
152,2017,Carlos Santana,CLE,154,667,148,0.274,0.2,0.408,0.393,0.134,0.284,0.069,0.384,0.511,0.324,0.165,4,0.467
153,2019,Cesar Hernandez,PHI,161,667,171,0.313,0.227,0.486,0.287,0.129,0.318,0.025,0.283,0.38,0.331,0.289,4.5,0.4425
154,2015,Eric Hosmer,KCR,158,667,178,0.336,0.236,0.52,0.244,0.101,0.299,0.067,0.406,0.368,0.345,0.287,4.9,0.4735
155,2016,Eric Hosmer,KCR,158,667,161,0.301,0.165,0.589,0.247,0.06,0.26,0.082,0.438,0.361,0.346,0.294,2.8,0.4765
156,2019,Eric Hosmer,SDP,160,667,164,0.323,0.209,0.56,0.231,0.047,0.289,0.067,0.46,0.33,0.399,0.271,2.3,0.4705
157,2016,Mark Trumbo,BAL,159,667,157,0.278,0.174,0.395,0.431,0.126,0.318,0.147,0.447,0.42,0.341,0.239,2.9,0.484
158,2016,Nelson Cruz,SEA,155,667,169,0.32,0.181,0.444,0.375,0.085,0.348,0.158,0.526,0.407,0.373,0.22,2.8,0.4965
159,2015,Carlos Santana,CLE,154,666,127,0.261,0.183,0.445,0.371,0.188,0.282,0.067,0.395,0.536,0.286,0.178,3.9,0.4665
160,2015,Joe Mauer,MIN,158,666,157,0.309,0.241,0.557,0.202,0.041,0.333,0.033,0.399,0.305,0.374,0.321,2.8,0.472
161,2015,Jose Bautista,TOR,153,666,136,0.237,0.139,0.373,0.488,0.143,0.299,0.121,0.458,0.533,0.281,0.187,4.5,0.478
162,2017,Melky Cabrera,- - -,156,666,177,0.299,0.221,0.489,0.29,0.1,0.336,0.036,0.35,0.388,0.359,0.253,2.3,0.4545
163,2016,Todd Frazier,CHW,158,666,133,0.236,0.157,0.356,0.487,0.185,0.315,0.097,0.354,0.487,0.285,0.228,4,0.4695
164,2018,Anthony Rizzo,CHC,153,665,160,0.287,0.247,0.379,0.373,0.087,0.362,0.059,0.404,0.453,0.345,0.202,2.6,0.466
165,2016,Chris Davis,BAL,157,665,125,0.279,0.198,0.365,0.437,0.059,0.357,0.151,0.44,0.417,0.357,0.226,2.3,0.481
166,2021,David Fletcher,LAA,157,665,164,0.287,0.234,0.485,0.281,0.165,0.3,0,0.155,0.311,0.332,0.358,5.2,0.4165
167,2017,Kris Bryant,CHC,151,665,162,0.334,0.199,0.377,0.424,0.055,0.351,0.089,0.37,0.412,0.363,0.225,4.4,0.4615
168,2015,Matt Carpenter,STL,154,665,156,0.321,0.285,0.297,0.417,0.023,0.424,0.091,0.361,0.393,0.368,0.239,3.8,0.4575
169,2017,Nick Castellanos,DET,157,665,167,0.313,0.245,0.373,0.382,0.016,0.428,0.092,0.417,0.386,0.348,0.266,4.6,0.466
170,2015,Nolan Arenado,COL,157,665,177,0.284,0.217,0.344,0.439,0.106,0.337,0.079,0.395,0.456,0.335,0.209,3.5,0.471
171,2017,Paul Goldschmidt,ARI,155,665,166,0.343,0.188,0.463,0.349,0.083,0.328,0.123,0.471,0.395,0.369,0.236,5.6,0.483
172,2021,Salvador Perez,KCR,161,665,169,0.298,0.227,0.372,0.401,0.088,0.341,0.163,0.559,0.469,0.317,0.214,1.8,0.488
173,2018,Shin-Soo Choo,TEX,146,665,148,0.33,0.218,0.502,0.28,0.027,0.359,0.103,0.4,0.381,0.351,0.268,3.5,0.476
174,2019,Nick Castellanos,- - -,151,664,178,0.337,0.227,0.377,0.396,0.021,0.398,0.101,0.413,0.408,0.328,0.263,3.6,0.4695
175,2019,Paul DeJong,STL,159,664,136,0.259,0.18,0.377,0.443,0.123,0.33,0.084,0.332,0.475,0.332,0.193,4.3,0.4645
176,2021,Rafael Devers,BOS,156,664,165,0.307,0.205,0.412,0.383,0.105,0.352,0.15,0.515,0.364,0.395,0.242,3.2,0.4865
177,2017,Freddy Galvis,PHI,162,663,155,0.292,0.241,0.367,0.392,0.099,0.328,0.024,0.235,0.366,0.324,0.31,5.3,0.4505
178,2015,Alcides Escobar,KCR,148,662,157,0.286,0.223,0.478,0.299,0.099,0.304,0.009,0.165,0.315,0.383,0.302,5.9,0.432
179,2021,Austin Riley,ATL,160,662,179,0.368,0.251,0.381,0.367,0.101,0.365,0.133,0.456,0.416,0.349,0.235,2,0.475
180,2019,Eugenio Suarez,CIN,159,662,156,0.312,0.217,0.36,0.423,0.114,0.38,0.128,0.401,0.52,0.268,0.212,2.8,0.4655
181,2017,Jose Altuve,HOU,153,662,204,0.37,0.203,0.47,0.327,0.091,0.348,0.057,0.28,0.408,0.329,0.263,6.4,0.4565
182,2019,Nolan Arenado,COL,155,662,185,0.312,0.193,0.36,0.447,0.151,0.346,0.068,0.376,0.425,0.344,0.231,3.1,0.4645
183,2018,Yolmer Sanchez,CHW,155,662,145,0.3,0.22,0.488,0.292,0.083,0.349,0.026,0.278,0.373,0.355,0.272,5.9,0.456
184,2015,Albert Pujols,LAA,157,661,147,0.217,0.159,0.418,0.422,0.098,0.295,0.071,0.383,0.458,0.349,0.193,2.7,0.469
185,2018,Andrew Benintendi,BOS,148,661,168,0.328,0.238,0.408,0.354,0.041,0.373,0.06,0.332,0.384,0.334,0.282,6.7,0.4595
186,2015,Elvis Andrus,TEX,160,661,154,0.283,0.211,0.471,0.318,0.098,0.28,0.013,0.271,0.437,0.31,0.252,5.2,0.4485
187,2019,Manny Machado,SDP,156,661,150,0.274,0.171,0.418,0.411,0.137,0.312,0.076,0.437,0.368,0.361,0.271,3.2,0.4725
188,2016,Carlos Correa,HOU,153,660,158,0.328,0.224,0.501,0.274,0.066,0.329,0.075,0.431,0.39,0.347,0.263,4.5,0.475
189,2019,Cody Bellinger,LAD,156,660,170,0.302,0.262,0.315,0.424,0.089,0.396,0.126,0.456,0.479,0.323,0.198,5,0.475
190,2018,Ender Inciarte,ATL,156,660,158,0.293,0.24,0.451,0.309,0.058,0.326,0.013,0.187,0.401,0.353,0.247,6.1,0.4395
191,2018,Matt Olson,OAK,162,660,143,0.292,0.211,0.359,0.431,0.15,0.351,0.115,0.52,0.42,0.339,0.241,2.3,0.487
192,2018,Rhys Hoskins,PHI,153,660,137,0.272,0.192,0.291,0.517,0.113,0.358,0.106,0.389,0.5,0.311,0.189,2.6,0.4715
193,2019,Shin-Soo Choo,TEX,151,660,149,0.333,0.218,0.491,0.291,0.017,0.318,0.08,0.489,0.401,0.361,0.238,5.2,0.4835
194,2021,Carlos Santana,KCR,158,659,121,0.227,0.178,0.456,0.366,0.146,0.28,0.068,0.419,0.478,0.353,0.169,2.1,0.4705
195,2016,Christian Yelich,MIA,155,659,172,0.356,0.234,0.565,0.2,0.056,0.319,0.092,0.499,0.36,0.351,0.29,3.9,0.4835
196,2021,Jose Abreu,CHW,152,659,148,0.293,0.187,0.464,0.349,0.053,0.312,0.102,0.49,0.404,0.356,0.24,2.8,0.4765
197,2019,Josh Donaldson,ATL,155,659,142,0.292,0.215,0.422,0.364,0.125,0.333,0.152,0.505,0.485,0.268,0.247,2.5,0.4905
198,2019,Juan Soto,WSN,150,659,153,0.312,0.212,0.416,0.372,0.046,0.363,0.113,0.478,0.394,0.341,0.264,5.8,0.485
199,2017,Andrew Benintendi,BOS,151,658,155,0.301,0.215,0.401,0.384,0.101,0.317,0.053,0.332,0.343,0.37,0.287,4.5,0.457
200,2016,Martin Prado,MIA,153,658,183,0.331,0.249,0.475,0.277,0.041,0.312,0.011,0.308,0.345,0.388,0.267,2.6,0.44
201,2015,J.D. Martinez,DET,158,657,168,0.339,0.223,0.342,0.435,0.049,0.399,0.159,0.482,0.411,0.347,0.242,3.1,0.4795
202,2019,J.D. Martinez,BOS,146,657,175,0.342,0.224,0.428,0.348,0.026,0.407,0.108,0.47,0.412,0.324,0.265,3.1,0.4755
203,2019,Adam Eaton,WSN,151,656,158,0.319,0.2,0.396,0.404,0.093,0.339,0.036,0.343,0.328,0.352,0.32,6.5,0.458
204,2015,Brett Gardner,NYY,151,656,148,0.312,0.208,0.453,0.339,0.062,0.32,0.038,0.347,0.349,0.342,0.309,5.7,0.4585
205,2018,Freddy Galvis,SDP,162,656,149,0.304,0.22,0.414,0.365,0.055,0.323,0.032,0.281,0.381,0.379,0.24,4.3,0.459
