,Name,Team,Age,G,PA,AB,AVG,OBP,SLG,OPS,K%,BB%,BABIP,HR,ISO,HBP,SF,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,LD%,GB%,FB%,Barrel%,HardHit%,HR/FB,Pull%,Cent%,Oppo%,Spd,SweetSpot%,M-Swing%,Meat%,Edge%,LDFB_EV
16,Nathaniel Lowe,TEX,26,132,543,501,0.303,0.357,0.503,0.86,0.219,0.074,0.358,24,0.2,2,0,0.348,0.665,0.76,0.866,0.432,0.63,0.11,0.235,0.762,0.226,0.47,0.304,0.097,0.44,0.207,0.343,0.385,0.272,3,0.341,0.843,0.073,0.445,0.466
17,Joc Pederson,SFG,30,115,369,324,0.265,0.347,0.522,0.868,0.225,0.095,0.288,22,0.256,7,3,0.313,0.635,0.676,0.891,0.395,0.566,0.098,0.26,0.876811594,0.186,0.36,0.455,0.156,0.541,0.2,0.398,0.357,0.246,2.6,0.34,0.783,0.074,0.41,0.482
18,Andres Gimenez,CLE,23,123,463,410,0.302,0.37,0.478,0.848,0.192,0.058,0.353,15,0.176,19,3,0.406,0.652,0.697,0.843,0.405,0.631,0.128,0.278,0.884507042,0.217,0.439,0.344,0.067,0.372,0.139,0.405,0.366,0.229,5.5,0.327,0.697,0.073,0.417,0.461
19,Rafael Devers,BOS,25,120,524,477,0.287,0.347,0.526,0.874,0.181,0.073,0.312,25,0.239,7,2,0.413,0.664,0.78,0.794,0.386,0.62,0.147,0.252,1.026809651,0.188,0.415,0.397,0.117,0.51,0.164,0.349,0.398,0.253,3,0.325,0.892,0.075,0.422,0.483
20,William Contreras,ATL,24,76,299,267,0.27,0.344,0.509,0.854,0.271,0.104,0.324,17,0.24,0,1,0.303,0.576,0.667,0.778,0.39,0.602,0.136,0.308,0.994680851,0.139,0.535,0.326,0.139,0.476,0.279,0.417,0.369,0.214,3.9,0.305,0.819,0.059,0.408,0.486
21,Jose Ramirez,CLE,29,132,570,506,0.277,0.347,0.524,0.871,0.114,0.093,0.271,26,0.247,5,6,0.319,0.801,0.678,0.919,0.387,0.523,0.06,0.218,0.945031712,0.159,0.327,0.515,0.063,0.378,0.113,0.463,0.338,0.199,5,0.333,0.709,0.065,0.433,0.457
22,Alex Bregman,HOU,28,132,560,467,0.266,0.373,0.467,0.84,0.127,0.139,0.271,20,0.201,7,8,0.212,0.732,0.688,0.913,0.392,0.568,0.058,0.232,1.209580838,0.183,0.337,0.48,0.079,0.384,0.103,0.475,0.329,0.196,2,0.36,0.757,0.069,0.424,0.465
23,Jazz Chisholm Jr.,MIA,24,60,241,213,0.254,0.325,0.535,0.86,0.274,0.087,0.294,14,0.282,3,3,0.307,0.587,0.677,0.778,0.427,0.593,0.137,0.301,0.890909091,0.218,0.374,0.408,0.166,0.457,0.233,0.5,0.313,0.187,7.9,0.373,0.759,0.061,0.443,0.4775
24,Yandy Diaz,TBR,30,123,511,431,0.29,0.399,0.42,0.819,0.102,0.143,0.315,8,0.13,6,1,0.229,0.747,0.663,0.939,0.424,0.513,0.051,0.226,1.134328358,0.192,0.495,0.313,0.047,0.476,0.067,0.3,0.374,0.326,2.3,0.3,0.742,0.081,0.424,0.476
25,Jose Abreu,CHW,35,137,594,526,0.308,0.38,0.449,0.829,0.167,0.094,0.355,14,0.141,8,4,0.333,0.665,0.656,0.881,0.414,0.566,0.098,0.267,0.941048035,0.206,0.476,0.318,0.093,0.513,0.102,0.371,0.369,0.26,1.4,0.353,0.721,0.084,0.423,0.473
26,Alejandro Kirk,TOR,23,121,466,404,0.3,0.384,0.441,0.825,0.103,0.116,0.311,13,0.141,4,4,0.265,0.774,0.63,0.908,0.409,0.588,0.059,0.253,1.146496815,0.197,0.489,0.314,0.069,0.456,0.115,0.361,0.331,0.308,1.1,0.327,0.725,0.07,0.416,0.471
27,Willson Contreras,CHC,30,107,462,395,0.246,0.351,0.471,0.822,0.212,0.091,0.273,21,0.225,23,2,0.355,0.582,0.739,0.825,0.389,0.649,0.141,0.268,0.884615385,0.161,0.505,0.334,0.104,0.472,0.21,0.448,0.311,0.241,4.3,0.301,0.779,0.071,0.415,0.4845
28,Jake McCarthy,ARI,24,78,263,238,0.294,0.352,0.471,0.823,0.205,0.068,0.35,8,0.176,4,1,0.315,0.6,0.728,0.839,0.444,0.662,0.122,0.26,1.005649718,0.247,0.466,0.287,0.048,0.358,0.157,0.332,0.439,0.23,7.8,0.335,0.878,0.08,0.42,0.455
29,Pete Alonso,NYM,27,138,590,517,0.267,0.344,0.505,0.849,0.195,0.093,0.279,33,0.238,10,8,0.365,0.661,0.752,0.873,0.36,0.559,0.114,0.242,0.929705215,0.21,0.356,0.434,0.12,0.466,0.185,0.468,0.3,0.232,2.4,0.344,0.837,0.057,0.435,0.4745
30,Anthony Rizzo,NYY,32,117,489,414,0.225,0.339,0.493,0.832,0.19,0.112,0.215,30,0.268,18,2,0.317,0.651,0.647,0.88,0.412,0.554,0.097,0.266,0.901960784,0.174,0.317,0.509,0.115,0.418,0.183,0.477,0.307,0.217,4,0.347,0.693,0.074,0.417,0.467
31,Albert Pujols,STL,42,88,279,244,0.258,0.333,0.5,0.833,0.151,0.079,0.246,16,0.242,8,5,0.369,0.698,0.678,0.925,0.396,0.595,0.087,0.247,0.873417722,0.174,0.386,0.44,0.101,0.473,0.176,0.541,0.28,0.179,1.4,0.332,0.733,0.068,0.417,0.4805
32,Jeff McNeil,NYM,30,125,488,446,0.316,0.367,0.448,0.815,0.115,0.061,0.346,7,0.132,8,4,0.347,0.789,0.788,0.898,0.429,0.586,0.076,0.192,0.9513382,0.235,0.409,0.355,0.023,0.307,0.05,0.356,0.392,0.252,3.5,0.384,0.851,0.07,0.426,0.449
33,Trea Turner,LAD,29,136,605,556,0.304,0.348,0.477,0.825,0.18,0.063,0.346,19,0.173,3,6,0.368,0.621,0.745,0.848,0.391,0.623,0.129,0.27,1.013422819,0.216,0.442,0.342,0.079,0.418,0.123,0.461,0.329,0.21,5.8,0.357,0.816,0.069,0.412,0.4605
34,Byron Buxton,MIN,28,92,382,340,0.224,0.306,0.526,0.833,0.304,0.089,0.244,28,0.303,7,1,0.311,0.496,0.678,0.806,0.427,0.56,0.146,0.305,0.842696629,0.182,0.307,0.511,0.164,0.502,0.243,0.582,0.249,0.169,6.5,0.342,0.832,0.082,0.414,0.487
35,Adley Rutschman,BAL,24,90,372,314,0.255,0.363,0.449,0.812,0.175,0.137,0.289,10,0.194,4,3,0.245,0.726,0.659,0.911,0.398,0.524,0.064,0.253,0.845637584,0.234,0.365,0.401,0.087,0.377,0.099,0.456,0.357,0.187,4.6,0.353,0.771,0.067,0.414,0.4665
36,Vladimir Guerrero Jr.,TOR,23,136,597,538,0.277,0.343,0.483,0.827,0.157,0.084,0.29,27,0.206,6,3,0.334,0.65,0.734,0.88,0.391,0.581,0.106,0.252,1.111940299,0.181,0.512,0.306,0.116,0.51,0.197,0.38,0.387,0.233,3.1,0.293,0.801,0.064,0.418,0.4915
37,Starling Marte,NYM,33,118,505,466,0.292,0.347,0.468,0.814,0.192,0.051,0.34,16,0.176,13,0,0.36,0.656,0.685,0.876,0.41,0.628,0.108,0.274,0.98655914,0.221,0.49,0.289,0.068,0.339,0.151,0.425,0.336,0.238,6.5,0.385,0.795,0.066,0.448,0.4595
38,Josh Bell,- - -,29,136,579,494,0.275,0.368,0.447,0.815,0.154,0.123,0.302,17,0.172,5,6,0.291,0.716,0.699,0.867,0.394,0.534,0.087,0.236,1.043147208,0.195,0.494,0.311,0.075,0.408,0.133,0.394,0.35,0.255,2.5,0.319,0.806,0.061,0.457,0.4625
39,Will Smith,LAD,27,116,489,425,0.261,0.35,0.468,0.818,0.16,0.104,0.273,21,0.207,9,4,0.25,0.763,0.658,0.875,0.423,0.587,0.069,0.254,0.964285714,0.225,0.302,0.473,0.108,0.433,0.127,0.382,0.353,0.265,2.4,0.383,0.737,0.087,0.4,0.4695
40,Rhys Hoskins,PHI,29,136,584,511,0.252,0.341,0.472,0.813,0.241,0.111,0.296,27,0.219,5,2,0.245,0.575,0.641,0.862,0.427,0.579,0.097,0.286,0.877358491,0.223,0.36,0.417,0.113,0.44,0.174,0.46,0.331,0.21,3.1,0.378,0.746,0.071,0.441,0.4715
41,Carlos Correa,MIN,27,113,489,430,0.277,0.356,0.456,0.812,0.204,0.108,0.317,19,0.179,2,4,0.306,0.681,0.637,0.876,0.399,0.585,0.09,0.279,0.927777778,0.192,0.428,0.38,0.117,0.434,0.15,0.431,0.383,0.186,1.7,0.365,0.664,0.069,0.425,0.4755
42,Luis Arraez,MIN,25,123,525,473,0.313,0.375,0.423,0.798,0.078,0.09,0.328,8,0.11,2,3,0.282,0.901,0.619,0.956,0.409,0.501,0.028,0.219,1.082089552,0.255,0.418,0.326,0.037,0.301,0.056,0.303,0.386,0.31,3.3,0.369,0.643,0.067,0.44,0.453
43,Brandon Drury,- - -,29,119,492,450,0.262,0.319,0.496,0.815,0.22,0.067,0.291,25,0.233,6,3,0.324,0.711,0.645,0.891,0.416,0.61,0.084,0.268,0.891472868,0.186,0.406,0.409,0.11,0.423,0.177,0.475,0.299,0.226,3.8,0.342,0.758,0.065,0.416,0.4635
44,J.T. Realmuto,PHI,31,118,479,425,0.273,0.344,0.464,0.808,0.213,0.079,0.321,16,0.191,11,5,0.339,0.67,0.693,0.837,0.412,0.562,0.112,0.268,0.888888889,0.186,0.442,0.372,0.101,0.473,0.131,0.393,0.332,0.274,7.2,0.338,0.791,0.072,0.433,0.4725
45,Christian Walker,ARI,31,135,559,482,0.237,0.331,0.481,0.812,0.184,0.114,0.232,32,0.245,7,6,0.26,0.568,0.7,0.892,0.404,0.605,0.098,0.255,1.109510086,0.166,0.379,0.455,0.127,0.431,0.183,0.418,0.353,0.229,2.1,0.336,0.805,0.079,0.421,0.4715
46,Gavin Lux,LAD,24,115,418,369,0.293,0.368,0.428,0.797,0.189,0.11,0.355,6,0.136,0,3,0.254,0.648,0.651,0.869,0.415,0.569,0.088,0.275,1.140077821,0.222,0.478,0.3,0.065,0.399,0.068,0.413,0.375,0.212,6.5,0.352,0.752,0.075,0.434,0.468
47,Brendan Donovan,STL,25,104,381,322,0.292,0.395,0.382,0.777,0.157,0.121,0.349,3,0.09,10,2,0.244,0.729,0.576,0.934,0.432,0.58,0.054,0.277,0.981343284,0.259,0.51,0.232,0.023,0.343,0.049,0.343,0.343,0.313,2.7,0.341,0.641,0.081,0.429,0.4545
48,Julio Rodriguez,SEA,21,121,518,472,0.271,0.334,0.477,0.811,0.264,0.073,0.335,23,0.206,7,1,0.371,0.576,0.712,0.817,0.382,0.639,0.147,0.293,0.941176471,0.182,0.455,0.363,0.131,0.506,0.189,0.411,0.351,0.238,6.3,0.326,0.793,0.062,0.442,0.481
49,Hunter Renfroe,MIL,30,104,431,390,0.254,0.316,0.497,0.814,0.234,0.077,0.277,25,0.244,4,3,0.337,0.64,0.661,0.832,0.405,0.592,0.117,0.289,0.96039604,0.172,0.375,0.454,0.119,0.447,0.189,0.451,0.324,0.225,2.1,0.332,0.718,0.066,0.413,0.4735
50,Travis d'Arnaud,ATL,33,90,358,331,0.266,0.321,0.483,0.805,0.215,0.047,0.3,17,0.218,10,0,0.397,0.635,0.699,0.844,0.411,0.654,0.13,0.282,0.888111888,0.185,0.461,0.354,0.083,0.382,0.189,0.472,0.295,0.232,2.9,0.325,0.695,0.087,0.438,0.4595
51,Randy Arozarena,TBR,27,131,551,500,0.272,0.338,0.466,0.804,0.232,0.073,0.331,19,0.194,10,1,0.325,0.635,0.657,0.805,0.387,0.59,0.122,0.304,1.113432836,0.169,0.512,0.319,0.078,0.413,0.16,0.383,0.383,0.233,5.3,0.28,0.75,0.066,0.423,0.4775
52,Mark Canha,NYM,33,118,448,386,0.272,0.368,0.415,0.783,0.17,0.094,0.312,11,0.142,18,2,0.271,0.731,0.631,0.85,0.425,0.623,0.082,0.289,0.962962963,0.208,0.455,0.337,0.045,0.378,0.105,0.417,0.301,0.282,2.8,0.315,0.622,0.073,0.424,0.4585
53,Kyle Tucker,HOU,25,127,518,460,0.259,0.334,0.472,0.806,0.154,0.102,0.265,24,0.213,0,2,0.307,0.677,0.84,0.888,0.41,0.608,0.097,0.192,0.839207048,0.197,0.331,0.472,0.101,0.4,0.133,0.403,0.361,0.236,5.1,0.348,0.892,0.057,0.436,0.4655
54,Matt Olson,ATL,28,138,605,532,0.244,0.331,0.479,0.81,0.231,0.109,0.278,28,0.235,4,3,0.318,0.676,0.758,0.793,0.395,0.62,0.124,0.253,0.75334608,0.183,0.406,0.411,0.129,0.511,0.173,0.4,0.385,0.215,1.2,0.332,0.804,0.068,0.414,0.4805
