,Name,Team,Age,G,PA,AB,AVG,OBP,SLG,OPS,K%,BB%,BABIP,HR,ISO,HBP,SF,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,LD%,GB%,FB%,Barrel%,HardHit%,HR/FB,Pull%,Cent%,Oppo%,Spd,SweetSpot%,M-Swing%,Meat%,Edge%,LDFB_EV
84,Luis Robert,CHW,24,92,384,363,0.295,0.331,0.444,0.774,0.185,0.044,0.338,12,0.149,3,1,0.484,0.625,0.84,0.876,0.371,0.677,0.153,0.243,0.951298701,0.225,0.454,0.321,0.092,0.423,0.128,0.379,0.348,0.273,4.6,0.324,0.904,0.056,0.427,0.4675
85,Evan Longoria,SFG,36,75,253,225,0.244,0.32,0.458,0.778,0.269,0.095,0.293,12,0.213,2,2,0.297,0.599,0.656,0.788,0.413,0.609,0.127,0.298,0.975460123,0.208,0.371,0.421,0.126,0.447,0.179,0.472,0.283,0.245,1.1,0.327,0.743,0.07,0.434,0.482
86,Jonathan India,CIN,25,80,341,309,0.269,0.337,0.424,0.761,0.214,0.062,0.323,10,0.155,11,0,0.295,0.647,0.588,0.881,0.453,0.63,0.089,0.318,1.044444444,0.234,0.391,0.374,0.038,0.305,0.114,0.466,0.339,0.195,3.8,0.355,0.705,0.071,0.429,0.4435
87,Corey Seager,TEX,28,131,578,514,0.247,0.322,0.457,0.779,0.154,0.092,0.244,29,0.21,6,5,0.348,0.539,0.821,0.886,0.411,0.651,0.133,0.223,1.128608924,0.216,0.405,0.379,0.107,0.456,0.178,0.428,0.347,0.226,3.4,0.394,0.931,0.073,0.434,0.4745
88,Seiya Suzuki,CHC,27,98,396,353,0.263,0.336,0.433,0.769,0.247,0.093,0.329,12,0.17,3,3,0.258,0.641,0.58,0.88,0.425,0.588,0.083,0.311,1,0.198,0.403,0.399,0.105,0.403,0.117,0.326,0.368,0.306,4.2,0.358,0.667,0.071,0.44,0.4625
89,Daulton Varsho,ARI,25,126,502,448,0.243,0.311,0.462,0.773,0.231,0.082,0.272,24,0.219,5,5,0.334,0.688,0.686,0.838,0.447,0.618,0.107,0.271,0.756944444,0.153,0.401,0.446,0.103,0.368,0.164,0.558,0.286,0.156,4.9,0.342,0.768,0.07,0.441,0.472
90,Lars Nootbaar,STL,24,86,277,231,0.221,0.332,0.433,0.765,0.213,0.144,0.241,11,0.212,1,5,0.247,0.64,0.594,0.825,0.41,0.614,0.095,0.293,1.124183007,0.186,0.442,0.372,0.113,0.458,0.172,0.441,0.345,0.215,6.5,0.291,0.59,0.077,0.44,0.479
91,Donovan Solano,CIN,34,61,238,217,0.304,0.357,0.401,0.758,0.193,0.063,0.371,3,0.097,4,2,0.352,0.689,0.67,0.909,0.446,0.618,0.088,0.278,0.856435644,0.289,0.434,0.277,0.058,0.405,0.063,0.353,0.376,0.272,1,0.375,0.786,0.078,0.396,0.463
92,Josh Naylor,CLE,25,101,406,370,0.265,0.318,0.457,0.774,0.148,0.067,0.272,17,0.192,4,5,0.382,0.743,0.749,0.894,0.38,0.616,0.091,0.217,1.053511706,0.178,0.486,0.337,0.086,0.419,0.16,0.444,0.349,0.206,3.1,0.287,0.774,0.066,0.422,0.4725
93,Jorge Polanco,MIN,28,104,445,375,0.235,0.346,0.405,0.751,0.213,0.144,0.269,16,0.171,2,4,0.282,0.643,0.64,0.858,0.393,0.521,0.097,0.278,0.823529412,0.218,0.3,0.482,0.102,0.384,0.119,0.489,0.299,0.211,2.3,0.377,0.664,0.061,0.441,0.4655
94,Dylan Moore,SEA,29,89,206,165,0.206,0.353,0.388,0.741,0.311,0.131,0.292,6,0.182,11,1,0.211,0.619,0.634,0.813,0.42,0.578,0.096,0.303,0.597633136,0.149,0.317,0.535,0.135,0.365,0.111,0.437,0.301,0.262,8.4,0.379,0.771,0.076,0.422,0.468
95,DJ LeMahieu,NYY,33,120,523,451,0.262,0.358,0.381,0.74,0.134,0.124,0.286,12,0.12,4,2,0.273,0.802,0.542,0.923,0.434,0.633,0.049,0.29,1.140718563,0.181,0.53,0.289,0.055,0.417,0.109,0.253,0.385,0.362,2.9,0.331,0.607,0.078,0.427,0.472
96,Christian Yelich,MIL,30,131,571,490,0.257,0.358,0.39,0.748,0.238,0.13,0.331,12,0.133,4,2,0.259,0.58,0.666,0.889,0.406,0.545,0.095,0.272,0.836879433,0.195,0.573,0.232,0.09,0.49,0.146,0.347,0.359,0.294,6.4,0.322,0.711,0.071,0.414,0.478
97,Josh Rojas,ARI,28,105,439,381,0.273,0.354,0.396,0.75,0.185,0.112,0.324,8,0.123,1,4,0.226,0.688,0.654,0.858,0.428,0.59,0.08,0.272,1.095588235,0.235,0.406,0.359,0.042,0.37,0.075,0.331,0.347,0.321,5.5,0.349,0.77,0.073,0.43,0.461
98,Rowdy Tellez,MIL,27,131,512,452,0.226,0.314,0.46,0.775,0.201,0.105,0.23,28,0.235,5,1,0.307,0.684,0.613,0.863,0.415,0.564,0.092,0.283,0.983146067,0.157,0.403,0.44,0.129,0.46,0.182,0.411,0.391,0.197,1.8,0.311,0.667,0.073,0.421,0.474
99,Manuel Margot,TBR,27,68,272,250,0.296,0.349,0.404,0.753,0.176,0.074,0.355,3,0.108,1,1,0.352,0.65,0.745,0.891,0.398,0.596,0.106,0.245,0.91627907,0.249,0.421,0.33,0.039,0.369,0.046,0.325,0.429,0.246,5.4,0.323,0.78,0.081,0.409,0.4615
100,Yonathan Daza,COL,28,93,321,293,0.307,0.355,0.392,0.748,0.128,0.062,0.346,2,0.085,4,4,0.374,0.735,0.657,0.905,0.41,0.604,0.084,0.26,1.066945607,0.239,0.541,0.22,0.023,0.281,0.036,0.359,0.348,0.293,3.3,0.34,0.747,0.069,0.422,0.437
101,Garrett Cooper,MIA,31,106,417,367,0.262,0.338,0.411,0.75,0.252,0.089,0.34,8,0.15,8,5,0.311,0.66,0.637,0.879,0.411,0.647,0.094,0.293,0.834375,0.262,0.449,0.288,0.105,0.423,0.104,0.382,0.345,0.273,1.7,0.386,0.776,0.07,0.408,0.4695
102,Cal Raleigh,SEA,25,103,357,319,0.21,0.283,0.489,0.772,0.283,0.09,0.221,23,0.279,2,4,0.364,0.59,0.783,0.787,0.392,0.641,0.156,0.268,0.762886598,0.158,0.288,0.554,0.149,0.437,0.187,0.482,0.293,0.225,2.7,0.356,0.867,0.066,0.423,0.475
103,Jean Segura,PHI,32,76,301,276,0.283,0.339,0.409,0.748,0.146,0.063,0.308,9,0.127,5,1,0.358,0.761,0.657,0.916,0.39,0.628,0.074,0.259,1.18877551,0.15,0.567,0.283,0.043,0.416,0.136,0.296,0.395,0.309,4.5,0.265,0.628,0.074,0.411,0.464
104,Kolten Wong,MIL,31,112,420,364,0.247,0.333,0.418,0.75,0.176,0.086,0.278,11,0.17,13,5,0.242,0.668,0.657,0.88,0.44,0.545,0.08,0.262,0.938511327,0.217,0.421,0.362,0.044,0.36,0.105,0.451,0.296,0.253,6.7,0.347,0.72,0.082,0.406,0.449
105,Eric Haase,DET,29,94,293,269,0.257,0.307,0.454,0.761,0.287,0.068,0.324,12,0.197,1,3,0.385,0.554,0.717,0.788,0.379,0.645,0.164,0.315,0.874418605,0.197,0.388,0.415,0.074,0.431,0.154,0.426,0.324,0.25,2.1,0.332,0.772,0.069,0.406,0.469
106,Nico Hoerner,CHC,25,123,471,438,0.288,0.335,0.418,0.753,0.108,0.055,0.309,9,0.13,6,1,0.351,0.778,0.676,0.934,0.415,0.639,0.064,0.245,1.216981132,0.212,0.457,0.331,0.023,0.325,0.07,0.374,0.327,0.299,6.4,0.33,0.681,0.073,0.428,0.4505
107,Steven Kwan,CLE,24,123,523,462,0.288,0.362,0.374,0.737,0.096,0.098,0.315,3,0.087,5,4,0.227,0.851,0.545,0.955,0.452,0.589,0.03,0.283,1.281733746,0.22,0.437,0.343,0.01,0.199,0.021,0.3,0.369,0.331,5.4,0.34,0.642,0.082,0.424,0.4375
108,Cavan Biggio,TOR,27,78,247,208,0.221,0.337,0.399,0.736,0.263,0.134,0.29,6,0.178,4,1,0.206,0.595,0.643,0.837,0.439,0.587,0.093,0.293,0.8125,0.217,0.35,0.434,0.083,0.372,0.097,0.476,0.317,0.207,4.9,0.389,0.833,0.069,0.455,0.457
109,Chas McCormick,HOU,27,100,341,301,0.239,0.326,0.419,0.744,0.255,0.111,0.292,13,0.179,1,1,0.327,0.579,0.747,0.801,0.385,0.566,0.142,0.289,0.850806452,0.213,0.417,0.37,0.112,0.405,0.167,0.34,0.358,0.302,3.4,0.335,0.818,0.076,0.413,0.471
110,Jurickson Profar,SDP,29,131,570,493,0.241,0.338,0.4,0.738,0.154,0.121,0.267,14,0.158,4,2,0.265,0.734,0.653,0.884,0.412,0.593,0.073,0.256,0.882608696,0.222,0.436,0.342,0.042,0.347,0.101,0.457,0.303,0.24,4.1,0.341,0.769,0.06,0.436,0.452
111,Lourdes Gurriel Jr.,TOR,28,121,493,453,0.291,0.343,0.4,0.743,0.168,0.063,0.346,5,0.108,6,2,0.334,0.69,0.699,0.876,0.416,0.647,0.097,0.265,1.065902579,0.237,0.446,0.317,0.038,0.453,0.042,0.379,0.344,0.277,2.7,0.347,0.727,0.075,0.429,0.4665
112,Christopher Morel,CHC,23,92,361,325,0.246,0.312,0.44,0.752,0.313,0.08,0.333,13,0.194,3,2,0.328,0.574,0.735,0.689,0.418,0.676,0.177,0.32,0.894067797,0.175,0.507,0.318,0.125,0.384,0.194,0.458,0.375,0.167,6.4,0.292,0.866,0.087,0.439,0.4765
113,Jake Cronenworth,SDP,28,136,593,506,0.245,0.342,0.397,0.74,0.189,0.105,0.283,15,0.152,16,6,0.249,0.698,0.611,0.921,0.451,0.629,0.063,0.279,0.975429975,0.164,0.343,0.494,0.06,0.34,0.077,0.345,0.37,0.285,4,0.316,0.725,0.075,0.434,0.458
114,Tyler Naquin,- - -,31,87,283,261,0.245,0.301,0.46,0.761,0.269,0.06,0.305,11,0.215,4,0,0.411,0.65,0.801,0.781,0.398,0.629,0.156,0.267,0.698841699,0.21,0.37,0.42,0.108,0.403,0.145,0.382,0.344,0.274,6.7,0.395,0.901,0.067,0.461,0.4665
115,Patrick Wisdom,CHC,30,117,471,411,0.217,0.311,0.438,0.749,0.335,0.108,0.288,22,0.221,6,2,0.306,0.478,0.732,0.777,0.413,0.654,0.161,0.305,0.669291339,0.176,0.341,0.482,0.148,0.465,0.179,0.508,0.297,0.195,3.5,0.313,0.836,0.081,0.439,0.489
116,David Peralta,- - -,34,114,416,376,0.255,0.32,0.441,0.761,0.236,0.082,0.312,12,0.186,3,3,0.36,0.577,0.702,0.87,0.414,0.606,0.127,0.28,0.952542373,0.231,0.345,0.423,0.096,0.438,0.101,0.406,0.388,0.206,2.8,0.345,0.698,0.069,0.441,0.4675
117,Jace Peterson,MIL,32,94,277,245,0.257,0.327,0.424,0.752,0.26,0.09,0.327,8,0.167,2,3,0.253,0.572,0.589,0.876,0.449,0.585,0.092,0.322,0.883248731,0.224,0.46,0.316,0.073,0.376,0.145,0.416,0.365,0.219,6.8,0.331,0.587,0.077,0.397,0.4635
118,Trey Mancini,- - -,30,122,509,451,0.255,0.332,0.408,0.74,0.228,0.086,0.307,16,0.153,10,4,0.329,0.595,0.697,0.85,0.41,0.633,0.121,0.281,0.869230769,0.215,0.392,0.392,0.094,0.416,0.12,0.437,0.333,0.23,1.6,0.408,0.773,0.076,0.424,0.4665
119,Isaac Paredes,TBR,23,89,309,274,0.212,0.294,0.456,0.751,0.181,0.1,0.198,18,0.245,2,2,0.279,0.767,0.621,0.911,0.391,0.576,0.061,0.267,0.94017094,0.136,0.423,0.441,0.068,0.373,0.186,0.545,0.255,0.2,2,0.274,0.708,0.075,0.433,0.4635
120,Alex Verdugo,BOS,26,132,557,514,0.286,0.334,0.411,0.744,0.124,0.065,0.314,9,0.125,3,4,0.298,0.738,0.653,0.933,0.448,0.598,0.063,0.249,1.142493639,0.209,0.457,0.334,0.06,0.379,0.06,0.318,0.421,0.261,2.1,0.38,0.745,0.074,0.45,0.4655
121,Ryan McMahon,COL,27,131,513,451,0.246,0.331,0.404,0.735,0.265,0.107,0.317,15,0.157,4,3,0.281,0.602,0.647,0.837,0.44,0.639,0.109,0.285,0.730858469,0.248,0.425,0.327,0.085,0.456,0.146,0.371,0.327,0.302,4.4,0.378,0.747,0.071,0.442,0.4745
122,Corey Dickerson,STL,33,75,226,214,0.29,0.319,0.435,0.753,0.155,0.04,0.324,5,0.145,1,2,0.454,0.726,0.775,0.87,0.403,0.535,0.115,0.223,0.811659193,0.249,0.409,0.343,0.044,0.32,0.081,0.387,0.315,0.298,2.1,0.367,0.891,0.076,0.429,0.4525
123,Juan Yepez,STL,24,63,229,210,0.252,0.297,0.457,0.754,0.231,0.061,0.28,11,0.205,1,4,0.396,0.6,0.743,0.878,0.432,0.646,0.129,0.26,0.805,0.155,0.348,0.497,0.099,0.342,0.138,0.503,0.286,0.211,1,0.335,0.88,0.087,0.401,0.468
124,Tim Anderson,CHW,29,79,351,332,0.301,0.339,0.395,0.734,0.157,0.04,0.347,6,0.093,5,0,0.444,0.694,0.773,0.881,0.408,0.65,0.118,0.24,1.108,0.242,0.549,0.209,0.058,0.412,0.103,0.357,0.339,0.303,5.6,0.375,0.774,0.073,0.44,0.4635
125,Nick Gordon,MIN,26,115,351,324,0.275,0.319,0.423,0.742,0.245,0.046,0.355,6,0.148,6,2,0.434,0.621,0.794,0.831,0.432,0.678,0.151,0.263,0.813559322,0.233,0.421,0.346,0.103,0.461,0.072,0.416,0.321,0.263,5.3,0.354,0.852,0.067,0.438,0.4775
126,J.D. Davis,- - -,29,95,293,254,0.24,0.334,0.394,0.728,0.338,0.106,0.351,9,0.154,6,2,0.296,0.522,0.784,0.699,0.426,0.635,0.182,0.303,0.700892857,0.21,0.465,0.325,0.159,0.554,0.176,0.376,0.408,0.217,3.4,0.359,0.897,0.083,0.444,0.493
127,Tommy Edman,STL,27,135,561,514,0.267,0.325,0.412,0.737,0.171,0.071,0.305,13,0.146,5,1,0.343,0.694,0.639,0.913,0.424,0.61,0.084,0.261,1.108753316,0.194,0.495,0.311,0.067,0.388,0.1,0.39,0.376,0.233,7.2,0.317,0.694,0.065,0.445,0.4645
128,Luke Voit,- - -,31,112,472,410,0.229,0.32,0.415,0.735,0.309,0.106,0.3,19,0.185,7,5,0.333,0.44,0.813,0.756,0.383,0.646,0.191,0.292,0.772988506,0.253,0.338,0.409,0.16,0.457,0.173,0.498,0.312,0.19,1.6,0.328,0.936,0.058,0.417,0.4805
129,Randal Grichuk,COL,30,123,468,438,0.269,0.312,0.427,0.739,0.241,0.047,0.33,15,0.158,6,2,0.362,0.622,0.708,0.886,0.397,0.596,0.115,0.275,0.987915408,0.138,0.526,0.336,0.061,0.434,0.136,0.37,0.379,0.251,4.1,0.272,0.739,0.068,0.418,0.466
130,Christian Arroyo,BOS,27,72,251,233,0.283,0.325,0.416,0.742,0.163,0.048,0.324,5,0.133,3,1,0.41,0.678,0.77,0.921,0.419,0.669,0.102,0.222,0.955445545,0.238,0.456,0.306,0.067,0.446,0.085,0.323,0.426,0.251,4.7,0.349,0.797,0.074,0.43,0.475
131,Giancarlo Stanton,NYY,32,92,373,329,0.213,0.296,0.45,0.746,0.276,0.107,0.224,24,0.237,0,3,0.305,0.566,0.636,0.758,0.398,0.563,0.141,0.318,1.031531532,0.153,0.472,0.376,0.183,0.513,0.279,0.362,0.384,0.253,0.7,0.263,0.757,0.073,0.432,0.491
132,Jose Iglesias,COL,32,114,451,423,0.3,0.337,0.392,0.729,0.12,0.038,0.336,3,0.092,8,3,0.435,0.809,0.646,0.934,0.407,0.663,0.067,0.26,0.961139896,0.224,0.52,0.256,0.005,0.277,0.032,0.417,0.36,0.223,2.2,0.306,0.637,0.068,0.431,0.4235
133,Nolan Gorman,STL,22,85,298,271,0.232,0.302,0.432,0.734,0.329,0.084,0.308,14,0.199,2,0,0.342,0.541,0.768,0.796,0.393,0.658,0.157,0.286,0.647940075,0.249,0.266,0.486,0.15,0.428,0.167,0.405,0.358,0.237,3.1,0.471,0.868,0.061,0.429,0.4705
134,Kyle Farmer,CIN,31,119,484,436,0.268,0.33,0.394,0.724,0.169,0.058,0.307,10,0.126,14,4,0.387,0.705,0.663,0.911,0.409,0.626,0.092,0.263,0.967567568,0.26,0.439,0.302,0.042,0.344,0.093,0.422,0.322,0.256,3.3,0.388,0.694,0.077,0.44,0.4515
135,Wilmer Flores,SFG,30,131,519,455,0.235,0.32,0.409,0.729,0.166,0.094,0.252,17,0.174,10,5,0.303,0.713,0.679,0.905,0.399,0.63,0.078,0.26,0.899038462,0.206,0.337,0.457,0.064,0.356,0.099,0.501,0.284,0.214,2.2,0.358,0.748,0.071,0.411,0.456
136,Luis Rengifo,LAA,25,103,405,387,0.274,0.304,0.432,0.736,0.158,0.035,0.304,11,0.158,3,0,0.394,0.685,0.79,0.869,0.41,0.62,0.115,0.231,0.99382716,0.193,0.444,0.363,0.046,0.333,0.094,0.38,0.435,0.185,4.7,0.332,0.868,0.073,0.411,0.454
137,Alec Bohm,PHI,25,129,534,497,0.294,0.326,0.41,0.736,0.184,0.047,0.342,10,0.117,3,9,0.355,0.723,0.739,0.862,0.407,0.622,0.1,0.244,1.032911392,0.262,0.449,0.289,0.066,0.446,0.085,0.333,0.355,0.311,3.4,0.417,0.812,0.077,0.441,0.4645
138,Christian Vazquez,- - -,31,105,382,354,0.28,0.325,0.404,0.729,0.152,0.058,0.313,8,0.124,3,3,0.354,0.779,0.681,0.898,0.41,0.634,0.075,0.242,0.961414791,0.231,0.448,0.321,0.054,0.358,0.083,0.341,0.381,0.278,1.9,0.365,0.738,0.07,0.429,0.4555
139,Luis Guillorme,NYM,27,86,289,258,0.283,0.355,0.357,0.712,0.135,0.1,0.327,2,0.074,0,0,0.253,0.844,0.593,0.94,0.447,0.612,0.038,0.262,0.955357143,0.257,0.556,0.187,0.027,0.244,0.05,0.29,0.425,0.285,3.1,0.367,0.702,0.079,0.427,0.45
140,Leody Taveras,TEX,23,76,267,245,0.286,0.333,0.392,0.725,0.247,0.064,0.374,3,0.106,2,3,0.333,0.563,0.705,0.849,0.412,0.64,0.13,0.282,1.01734104,0.21,0.426,0.364,0.044,0.396,0.047,0.368,0.385,0.247,5.8,0.279,0.831,0.073,0.43,0.454
141,Cedric Mullins II,BAL,27,134,582,524,0.263,0.325,0.403,0.727,0.18,0.072,0.304,13,0.139,8,5,0.343,0.719,0.722,0.872,0.437,0.589,0.095,0.239,0.897603486,0.184,0.391,0.425,0.044,0.37,0.074,0.454,0.327,0.219,6,0.291,0.816,0.089,0.437,0.457
142,Charlie Blackmon,COL,35,122,525,481,0.262,0.313,0.42,0.733,0.179,0.055,0.294,16,0.158,8,3,0.358,0.722,0.72,0.886,0.436,0.6,0.092,0.242,0.955665025,0.224,0.438,0.338,0.048,0.31,0.122,0.409,0.371,0.221,4.2,0.363,0.829,0.079,0.44,0.4505
143,Luis Urias,MIL,25,105,420,358,0.223,0.326,0.388,0.714,0.217,0.114,0.253,15,0.165,9,5,0.259,0.742,0.637,0.826,0.427,0.61,0.085,0.285,0.839506173,0.188,0.36,0.452,0.077,0.353,0.122,0.463,0.309,0.228,2.6,0.337,0.727,0.079,0.43,0.455
144,Brendan Rodgers,COL,25,124,535,488,0.266,0.321,0.404,0.725,0.176,0.075,0.307,11,0.137,2,5,0.323,0.648,0.745,0.88,0.421,0.621,0.103,0.251,1.078378378,0.208,0.534,0.258,0.073,0.461,0.107,0.303,0.376,0.321,2.7,0.317,0.813,0.072,0.422,0.47
145,Trevor Story,BOS,29,92,387,349,0.238,0.302,0.438,0.741,0.305,0.08,0.306,16,0.201,3,4,0.367,0.618,0.702,0.821,0.393,0.636,0.134,0.287,0.720858896,0.187,0.357,0.455,0.111,0.4,0.15,0.426,0.323,0.251,5.4,0.361,0.738,0.068,0.455,0.464
146,Max Muncy,LAD,31,114,473,391,0.197,0.323,0.391,0.715,0.258,0.156,0.227,19,0.194,2,6,0.214,0.598,0.618,0.826,0.424,0.619,0.095,0.3,0.855799373,0.183,0.322,0.495,0.138,0.436,0.141,0.502,0.313,0.185,3.4,0.335,0.693,0.086,0.403,0.478
147,Willy Adames,MIL,26,117,516,472,0.229,0.287,0.447,0.734,0.266,0.076,0.262,26,0.218,1,4,0.326,0.584,0.72,0.835,0.414,0.595,0.129,0.279,0.845386534,0.18,0.354,0.466,0.127,0.425,0.165,0.41,0.339,0.251,3.6,0.347,0.816,0.072,0.426,0.473
148,Emmanuel Rivera,- - -,26,88,316,290,0.238,0.301,0.424,0.725,0.231,0.066,0.282,11,0.186,5,0,0.313,0.553,0.758,0.885,0.411,0.633,0.118,0.275,0.955947137,0.152,0.493,0.355,0.106,0.392,0.143,0.419,0.323,0.258,4.2,0.323,0.824,0.077,0.435,0.472
149,Seth Brown,OAK,29,128,465,425,0.228,0.292,0.44,0.732,0.265,0.077,0.27,21,0.212,3,1,0.339,0.534,0.7,0.861,0.41,0.632,0.133,0.289,0.877906977,0.209,0.351,0.44,0.122,0.409,0.158,0.436,0.327,0.238,4.5,0.352,0.773,0.073,0.427,0.472
150,Connor Joe,COL,29,106,451,389,0.242,0.344,0.357,0.701,0.204,0.122,0.301,6,0.116,6,1,0.258,0.652,0.595,0.898,0.43,0.641,0.077,0.291,0.990033223,0.211,0.456,0.332,0.044,0.336,0.061,0.349,0.389,0.262,5.2,0.356,0.701,0.08,0.42,0.4455
151,Ketel Marte,ARI,28,119,492,434,0.24,0.321,0.401,0.722,0.181,0.1,0.277,10,0.161,5,4,0.314,0.733,0.686,0.856,0.402,0.596,0.09,0.247,0.948228883,0.193,0.42,0.388,0.06,0.413,0.074,0.443,0.353,0.204,4.4,0.304,0.783,0.063,0.435,0.458
152,Gavin Sheets,CHW,26,103,344,314,0.248,0.305,0.42,0.726,0.195,0.07,0.277,12,0.172,3,3,0.357,0.745,0.625,0.879,0.398,0.619,0.085,0.264,0.85862069,0.161,0.402,0.438,0.068,0.368,0.11,0.38,0.384,0.236,0.6,0.34,0.663,0.067,0.411,0.4605
153,Michael A. Taylor,KCR,31,108,396,359,0.27,0.329,0.387,0.716,0.242,0.078,0.342,9,0.117,2,3,0.353,0.551,0.733,0.848,0.403,0.687,0.14,0.28,0.893103448,0.181,0.39,0.429,0.071,0.322,0.081,0.423,0.318,0.258,4.1,0.351,0.866,0.075,0.427,0.4535
154,Adolis Garcia,TEX,29,132,560,521,0.248,0.293,0.44,0.732,0.279,0.055,0.308,22,0.192,4,4,0.413,0.592,0.755,0.77,0.378,0.636,0.17,0.298,0.867924528,0.198,0.421,0.38,0.114,0.474,0.157,0.425,0.366,0.209,6.9,0.37,0.759,0.068,0.413,0.4815
155,Lane Thomas,WSN,26,124,453,414,0.249,0.305,0.42,0.725,0.243,0.068,0.3,15,0.171,4,4,0.301,0.68,0.636,0.885,0.429,0.589,0.086,0.291,0.927710843,0.172,0.425,0.403,0.068,0.344,0.121,0.422,0.354,0.224,4.3,0.329,0.748,0.074,0.431,0.466
156,Jesse Winker,SEA,28,122,501,417,0.221,0.345,0.35,0.695,0.184,0.158,0.251,13,0.129,2,3,0.223,0.648,0.725,0.882,0.422,0.549,0.082,0.23,0.825757576,0.199,0.391,0.41,0.079,0.332,0.097,0.387,0.354,0.259,0.8,0.321,0.81,0.068,0.441,0.4535
157,Yadiel Hernandez,WSN,34,94,327,305,0.269,0.312,0.41,0.722,0.226,0.058,0.326,9,0.141,1,2,0.349,0.626,0.744,0.792,0.417,0.612,0.14,0.281,0.924603175,0.215,0.511,0.275,0.086,0.421,0.141,0.33,0.412,0.258,2.2,0.356,0.819,0.072,0.438,0.4765
158,Gio Urshela,MIN,30,119,449,413,0.266,0.312,0.416,0.728,0.176,0.067,0.301,11,0.15,0,6,0.4,0.722,0.718,0.876,0.415,0.644,0.102,0.249,0.957746479,0.226,0.415,0.359,0.074,0.391,0.09,0.353,0.385,0.262,3.3,0.405,0.797,0.077,0.419,0.4615
159,Aledmys Diaz,HOU,31,78,274,254,0.252,0.303,0.417,0.72,0.168,0.062,0.271,10,0.165,2,1,0.341,0.684,0.744,0.852,0.404,0.613,0.108,0.242,1.072164948,0.216,0.404,0.38,0.067,0.392,0.127,0.478,0.316,0.206,2.2,0.321,0.846,0.077,0.418,0.46
160,Salvador Perez,KCR,32,95,394,370,0.241,0.279,0.457,0.736,0.259,0.038,0.275,20,0.216,6,3,0.456,0.599,0.78,0.791,0.359,0.602,0.176,0.274,0.931271478,0.17,0.354,0.476,0.114,0.487,0.155,0.461,0.328,0.21,1.8,0.346,0.88,0.053,0.389,0.477
161,Brandon Lowe,TBR,27,63,257,227,0.229,0.315,0.396,0.712,0.23,0.101,0.273,8,0.167,3,1,0.345,0.497,0.791,0.782,0.422,0.607,0.173,0.273,0.913043478,0.214,0.387,0.399,0.107,0.391,0.119,0.444,0.314,0.243,4.3,0.357,0.864,0.061,0.428,0.471
162,Tommy Pham,- - -,34,124,537,480,0.248,0.32,0.392,0.712,0.27,0.093,0.319,16,0.144,3,4,0.253,0.559,0.631,0.865,0.44,0.62,0.1,0.306,0.968571429,0.198,0.478,0.324,0.077,0.493,0.145,0.378,0.381,0.242,4.4,0.331,0.748,0.074,0.44,0.4755
163,Luis Garcia,WSN,22,73,296,286,0.29,0.302,0.427,0.728,0.216,0.017,0.352,6,0.136,1,3,0.45,0.667,0.694,0.815,0.404,0.706,0.141,0.31,1.114427861,0.219,0.518,0.263,0.075,0.381,0.102,0.35,0.407,0.243,3,0.36,0.792,0.07,0.406,0.4725
164,MJ Melendez,KCR,23,106,434,371,0.221,0.318,0.396,0.714,0.251,0.127,0.264,15,0.175,1,7,0.282,0.609,0.695,0.825,0.412,0.562,0.115,0.279,0.817629179,0.208,0.394,0.398,0.1,0.431,0.14,0.446,0.327,0.227,2.8,0.316,0.802,0.075,0.415,0.4705
165,Ha-seong Kim,SDP,26,128,490,437,0.254,0.327,0.38,0.707,0.178,0.088,0.299,8,0.126,6,3,0.285,0.737,0.633,0.884,0.444,0.616,0.074,0.272,0.936170213,0.21,0.409,0.381,0.042,0.314,0.06,0.483,0.347,0.169,4.9,0.342,0.739,0.081,0.43,0.4535
166,Ji-Man Choi,TBR,31,97,366,311,0.228,0.336,0.37,0.706,0.298,0.137,0.316,9,0.141,2,3,0.228,0.552,0.709,0.776,0.388,0.566,0.124,0.29,0.787644788,0.23,0.466,0.304,0.093,0.449,0.145,0.429,0.341,0.229,0.7,0.355,0.804,0.071,0.438,0.47
167,Thairo Estrada,SFG,26,120,464,420,0.257,0.315,0.398,0.713,0.168,0.058,0.287,12,0.14,11,5,0.358,0.691,0.686,0.901,0.402,0.638,0.094,0.26,1.086261981,0.206,0.503,0.291,0.043,0.302,0.121,0.443,0.342,0.216,6.2,0.318,0.866,0.069,0.459,0.4575
168,Austin Hays,BAL,26,123,500,461,0.247,0.302,0.414,0.716,0.206,0.054,0.287,15,0.167,10,2,0.406,0.629,0.706,0.897,0.4,0.662,0.119,0.271,1.00280112,0.19,0.433,0.377,0.061,0.4,0.111,0.431,0.342,0.228,2.9,0.329,0.766,0.061,0.418,0.465
169,Jon Berti,MIA,32,79,307,269,0.253,0.342,0.353,0.695,0.218,0.111,0.325,3,0.1,3,1,0.245,0.589,0.664,0.872,0.432,0.606,0.094,0.282,1.091397849,0.167,0.522,0.31,0.064,0.374,0.048,0.31,0.379,0.31,7.3,0.31,0.804,0.084,0.426,0.4575
