,Season,Name,xHR%,HR%
1094,2017,Ender Inciarte,2.632,1.53
1165,2015,Kurt Suzuki,0.804,1.04
655,2019,Jason Kipnis,2.807,3.33
256,2019,Justin Turner,5.817,4.92
1040,2019,Elvis Andrus,2.188,1.85
1041,2018,Willson Contreras,1.238,1.84
535,2018,Anthony Rizzo,4.453,3.76
473,2015,Brian Dozier,3.815,3.98
1042,2018,Andrelton Simmons,1.41,1.83
224,2019,Yuli Gurriel,4.956,5.07
752,2015,David Freese,2.616,2.98
952,2018,Kolten Wong,2.195,2.21
1135,2016,Michael Bourn,1.863,1.21
478,2016,Maikel Franco,3.61,3.97
1154,2018,Robbie Grossman,1.963,1.08
328,2021,Willy Adames,4.728,4.5
585,2019,Brandon Dixon,4.271,3.57
446,2019,Nick Castellanos,4.389,4.07
625,2016,Mark Teixeira,3.416,3.42
769,2019,Vladimir Guerrero Jr,2.204,2.92
1053,2018,James McCann,2.248,1.75
218,2019,Ketel Marte,5.116,5.1
409,2019,Todd Frazier,4.055,4.21
764,2017,JT Realmuto,2.276,2.94
857,2017,Asdrubal Cabrera,2.359,2.59
1054,2017,Joe Panik,2.217,1.75
745,2015,Mark Reynolds,2.637,3.01
235,2017,Carlos Correa,4.948,4.99
717,2018,Adrian Beltre,4.222,3.12
368,2017,Didi Gregorius,3.965,4.39
1088,2019,Buster Posey,2.39,1.57
778,2016,Kevin Kiermaier,2.72,2.9
259,2017,Willson Contreras,4.043,4.91
246,2019,Jonathan Schoop,4.499,4.96
108,2016,Giancarlo Stanton,4.712,5.74
1153,2018,Jose Iglesias,1.685,1.08
1086,2021,Michael Brantley,2.978,1.57
281,2017,Manny Machado,3.539,4.78
796,2021,Akil Baddoo,2.931,2.82
1193,2016,Jose Iglesias,0.966,0.78
513,2021,Anthony Rizzo,3.202,3.82
