,MAE,RMSE,R2
0,0.6531129032258065,0.7974310668964515,0.7578949830873896
1,0.6911344086021505,0.8581235185672745,0.6962221167825409
2,0.5842903225806452,0.7333555592917299,0.7875569112094383
3,0.6398010752688172,0.784030429928433,0.7801183360400022
4,0.6434516129032257,0.7796274475602096,0.7488862416138283
5,0.6302258064516129,0.7820916949788168,0.786346875365289
6,0.5935483870967742,0.7539181453529774,0.7234122778483476
7,0.6411505376344085,0.7789293589514772,0.7724098965969219
8,0.613236559139785,0.7498527812500179,0.7810446180617743
9,0.5792903225806451,0.7316666127807558,0.799185733673108
10,0.6378870967741935,0.7975949432816053,0.7493204602631798
11,0.6412741935483872,0.7911686639640815,0.755865127785194
12,0.6639301075268816,0.8151001158905151,0.7645675782270227
13,0.5880483870967742,0.731375427621842,0.7744519687058393
14,0.6379731182795699,0.7832761120715578,0.7495516047202686
15,0.6060376344086023,0.76291839569814,0.7589793311098305
16,0.618016129032258,0.7651854122065863,0.7448838018035103
17,0.6193763440860216,0.770626605815941,0.7433502441750612
18,0.6156881720430107,0.7482667139922885,0.7442299165097359
19,0.6038010752688172,0.7535631524505314,0.7714185439322749
20,0.5620430107526883,0.7040904145263994,0.7781086206057318
21,0.5723494623655915,0.7352763031238556,0.8074549744802835
22,0.6198172043010752,0.7692419044272625,0.7817068331481424
23,0.5576182795698924,0.6933954441265705,0.7901607681046312
24,0.5860000000000001,0.7367349211799462,0.7600713694277786
25,0.613983870967742,0.7572658763782254,0.7908858837898799
26,0.6355322580645161,0.7646464465176328,0.7408182020740877
27,0.6494086021505378,0.823811760782948,0.7323367845911135
28,0.6427634408602151,0.7864797641102019,0.7484432444881141
29,0.5630268817204301,0.7057082654425826,0.8056716123899377
