,MAE,RMSE,R2
0,4.481653225806451,5.231531761595321,-1.6455236477829351
1,3.387217741935484,4.05996290206315,-0.3836254773983687
2,3.634975806451613,4.375278718310781,-0.6438087601146512
3,3.8694677419354844,4.557917807720482,-0.6586736657609567
4,4.530669354838711,5.134756834554097,-1.1049209001597338
5,4.290088709677419,4.900717347918929,-1.114517692227925
6,3.7379758064516126,4.361383948192178,-0.6291696182577475
7,4.186096774193548,4.900209766741065,-1.0141965026645692
8,3.4443629032258065,4.005747315601873,-0.5978238097134689
9,5.471822580645161,6.10914832113916,-2.470823910202259
10,3.8390403225806446,4.327952481888389,-1.0443322192034716
11,3.330588709677419,3.9717194994432905,-0.3459853202046763
12,4.553370967741936,5.235839840819205,-1.852602356954514
13,3.4981290322580643,4.236055914370987,-0.429145993142823
14,4.482395161290323,5.253251112406487,-1.4460227570258732
15,3.4583790322580645,4.0206884651600365,-0.893878958601894
16,3.9566612903225806,4.727296519904032,-1.3729450988151108
17,3.8333145161290325,4.569913100924349,-1.3187372150039938
18,3.464653225806452,4.04901902396761,-0.5340005500387517
19,3.537000000000001,4.2987684245306745,-0.5533185191607601
