,Season,Name,xBABIP,BABIP
398,2018,Max Kepler,0.306,0.308
642,2019,Franmil Reyes,0.31,0.279
783,2017,Marwin Gonzalez,0.311,0.291
1056,2016,Max Kepler,0.31,0.329
1235,2017,Brandon Moss,0.263,0.306
355,2016,Hanley Ramirez,0.287,0.304
972,2016,Chris Owings,0.33,0.291
1141,2018,Robinson Chirinos,0.33,0.354
796,2019,Danny Santana,0.34,0.353
1052,2019,Aaron Judge,0.367,0.36
346,2019,Lorenzo Cain,0.352,0.301
8,2017,Francisco Lindor,0.285,0.275
1091,2017,Logan Forsythe,0.298,0.306
880,2018,Niko Goodrum,0.298,0.285
268,2015,Ian Desmond,0.339,0.356
248,2018,Starlin Castro,0.304,0.33
987,2021,Manuel Margot,0.299,0.265
1100,2015,J.J. Hardy,0.301,0.306
884,2017,Dexter Fowler,0.311,0.305
546,2021,Eugenio Suarez,0.29,0.283
934,2017,Hunter Renfroe,0.346,0.323
358,2015,Justin Upton,0.293,0.278
1004,2018,Mitch Moreland,0.27,0.283
701,2018,Gregory Polanco,0.245,0.235
1181,2016,Kevin Kiermaier,0.296,0.278
543,2021,Andrew McCutchen,0.283,0.242
389,2017,Corey Seager,0.329,0.352
956,2015,Rougned Odor,0.297,0.31
539,2016,Joe Mauer,0.291,0.258
1179,2015,Jonathan Lucroy,0.32,0.328
239,2015,Jay Bruce,0.304,0.319
1026,2018,Jonathan Lucroy,0.314,0.33
67,2019,Alex Bregman,0.28,0.281
1139,2016,Matt Holliday,0.302,0.318
179,2019,Nolan Arenado,0.319,0.3
958,2019,Nick Markakis,0.269,0.268
330,2019,Randal Grichuk,0.278,0.266
498,2017,Trey Mancini,0.343,0.319
905,2017,Mike Napoli,0.248,0.225
1189,2021,Eddie Rosario,0.287,0.299
829,2019,Eloy Jimenez,0.294,0.332
442,2018,Jason Kipnis,0.281,0.258
1210,2018,Kolten Wong,0.308,0.315
830,2018,Carlos Gonzalez,0.301,0.308
440,2015,Billy Butler,0.308,0.277
1178,2021,Brendan Rodgers,0.316,0.343
469,2018,Brandon Crawford,0.308,0.294
371,2017,Steven Souza Jr.,0.315,0.302
849,2017,Danny Valencia,0.283,0.333
1121,2016,Adam Lind,0.32,0.309
1200,2021,Corey Seager,0.324,0.336
645,2021,C.J. Cron,0.292,0.3
806,2015,Francisco Cervelli,0.308,0.288
708,2015,Kevin Kiermaier,0.322,0.299
1067,2019,Buster Posey,0.297,0.302
267,2015,Jason Kipnis,0.306,0.307
1005,2017,Ryan Goins,0.285,0.283
1046,2019,Roberto Perez,0.313,0.336
657,2019,Dansby Swanson,0.304,0.357
238,2017,Wil Myers,0.279,0.251
737,2021,Kyle Farmer,0.307,0.296
17,2017,Mookie Betts,0.274,0.268
399,2019,Kyle Schwarber,0.295,0.27
244,2016,Anthony Rendon,0.292,0.291
218,2019,Tommy Pham,0.322,0.372
40,2016,Kris Bryant,0.293,0.283
823,2018,Matt Kemp,0.283,0.233
1209,2017,Jason Castro,0.301,0.275
1229,2021,Paul DeJong,0.306,0.313
136,2018,Nolan Arenado,0.328,0.338
780,2016,Danny Valencia,0.309,0.378
223,2021,Nolan Arenado,0.3,0.297
143,2021,Robbie Grossman,0.297,0.286
961,2021,Andrew Vaughn,0.338,0.31
361,2015,DJ LeMahieu,0.284,0.278
652,2019,Orlando Arcia,0.259,0.28
1132,2021,Jackie Bradley Jr.,0.292,0.299
293,2017,Adam Jones,0.378,0.388
4,2019,Whit Merrifield,0.345,0.35
417,2016,Jayson Werth,0.295,0.316
1011,2017,Hernan Perez,0.283,0.29
871,2019,Hunter Renfroe,0.254,0.239
64,2016,Brian Dozier,0.258,0.28
54,2017,Christian Yelich,0.342,0.382
866,2017,Ben Zobrist,0.273,0.289
1183,2019,David Dahl,0.345,0.386
624,2018,Derek Dietrich,0.309,0.336
914,2019,Omar Narvaez,0.265,0.298
272,2015,Jhonny Peralta,0.313,0.29
359,2018,George Springer,0.345,0.357
1214,2019,Harrison Bader,0.306,0.3
257,2017,Lorenzo Cain,0.335,0.34
1215,2018,Lewis Brinson,0.283,0.268
862,2017,Scooter Gennett,0.318,0.307
779,2016,Jose Bautista,0.317,0.346
777,2016,J.D. Martinez,0.275,0.255
904,2015,Mark Canha,0.288,0.289
990,2017,Keon Broxton,0.327,0.323
877,2021,Kolten Wong,0.324,0.312
811,2017,Carlos Beltran,0.251,0.263
882,2019,Matt Carpenter,0.306,0.334
80,2021,Ozzie Albies,0.262,0.239
1039,2018,Evan Gattis,0.247,0.232
425,2019,Gleyber Torres,0.327,0.327
713,2018,Ian Kinsler,0.293,0.318
48,2016,Manny Machado,0.32,0.329
61,2017,Giancarlo Stanton,0.339,0.318
59,2015,Prince Fielder,0.315,0.32
530,2016,Ender Inciarte,0.286,0.297
1086,2017,Delino DeShields,0.328,0.328
502,2021,Nick Castellanos,0.27,0.262
778,2015,David Peralta,0.336,0.368
1083,2019,Manuel Margot,0.278,0.271
942,2019,James McCann,0.305,0.296
216,2015,Mookie Betts,0.342,0.316
1106,2018,Yan Gomes,0.297,0.28
