,Season,Name,xBABIP,BABIP
250,2021,Trea Turner,0.318,0.362
83,2015,Kole Calhoun,0.31,0.304
166,2015,Matt Carpenter,0.322,0.321
1146,2021,Martin Maldonado,0.282,0.221
282,2021,Pete Alonso,0.293,0.274
210,2019,DJ LeMahieu,0.344,0.349
389,2017,Corey Seager,0.331,0.352
715,2018,Corey Dickerson,0.316,0.333
884,2017,Dexter Fowler,0.302,0.305
1061,2015,Eduardo Escobar,0.281,0.301
843,2021,Joey Wendle,0.31,0.327
942,2019,James McCann,0.326,0.359
658,2019,Albert Pujols,0.268,0.238
765,2019,Nelson Cruz,0.315,0.351
427,2018,Chris Taylor,0.326,0.345
1237,2021,Alex Bregman,0.286,0.286
362,2015,Adrian Beltre,0.314,0.295
563,2016,Asdrubal Cabrera,0.3,0.31
358,2015,Justin Upton,0.271,0.304
1139,2016,Matt Holliday,0.285,0.253
199,2016,Martin Prado,0.326,0.331
685,2021,Elvis Andrus,0.324,0.283
169,2018,Anthony Rizzo,0.316,0.287
611,2015,Cameron Maybin,0.335,0.316
794,2018,Evan Longoria,0.285,0.274
939,2015,Carlos Gomez,0.283,0.307
264,2021,Nathaniel Lowe,0.319,0.339
47,2018,Charlie Blackmon,0.315,0.329
107,2019,Jorge Soler,0.304,0.294
547,2017,Joe Panik,0.297,0.301
1028,2019,J.D. Davis,0.337,0.355
645,2021,C.J. Cron,0.288,0.316
75,2016,Carlos Santana,0.274,0.258
1220,2015,Jorge Soler,0.35,0.361
464,2016,Eduardo Nunez,0.285,0.314
96,2018,Andrew McCutchen,0.316,0.304
422,2018,Stephen Piscotty,0.319,0.29
847,2019,Scott Kingery,0.318,0.337
380,2015,Logan Forsythe,0.283,0.323
255,2018,Javier Baez,0.326,0.347
340,2015,Edwin Encarnacion,0.282,0.267
