,MAE,RMSE,R2
0,0.020677419354838706,0.02614393574701571,0.38100818497177624
1,0.02017741935483871,0.025788323606016003,0.39748320145347915
2,0.02106451612903226,0.026276855182452295,0.3507064607941819
3,0.018198924731182797,0.02401601168396412,0.4826993592868025
4,0.02078494623655914,0.025985728092861454,0.41729060811383667
5,0.020413978494623657,0.025513964129303738,0.4210301191828816
6,0.02088172043010753,0.026369989459346047,0.34561080380697995
7,0.020123655913978498,0.025210404917990356,0.39407603511483635
8,0.02237634408602151,0.028479005661027918,0.40814694362845005
9,0.019709677419354837,0.025309482264027412,0.46414178416969765
10,0.02053763440860215,0.026717357734272213,0.24102188677296887
11,0.02031182795698925,0.025961924146263582,0.3595840952395888
12,0.020548387096774194,0.0259283545542804,0.37216769441517916
13,0.02151075268817204,0.02755629623816654,0.4526722839951308
14,0.02051612903225807,0.026008683413491464,0.3312696746994437
15,0.02052150537634409,0.026564893155951088,0.3268221334143325
16,0.020784946236559142,0.025903045032109336,0.4283643037877488
17,0.021064516129032262,0.026476404589747454,0.37492516410801024
18,0.020311827956989246,0.02606484882146876,0.43997044463032386
19,0.019365591397849467,0.02512442156826272,0.4001629577266871
