,MAE,RMSE,R2
0,0.019865591397849467,0.025480015360978474,0.4326661395314625
1,0.020161290322580645,0.025411241268298936,0.4100772705613064
2,0.01776881720430108,0.023151093241563562,0.35781789510785167
3,0.019989247311827957,0.02448128536930472,0.49381693374168056
4,0.020295698924731185,0.02538149779086189,0.4051768029348395
5,0.02034408602150538,0.02488511236069271,0.3694972590751465
6,0.021451612903225805,0.026551836094703508,0.36244732681417224
7,0.01979569892473118,0.024846842684692345,0.4844155309007342
8,0.021489247311827955,0.026669119510847578,0.3831829861050181
9,0.019741935483870966,0.024795941395265062,0.39342659807839264
10,0.019489247311827957,0.024743740383621128,0.4337710266849063
11,0.019252688172043012,0.02445348887744998,0.405449909859644
12,0.019521505376344082,0.024612589662456757,0.4680432926314342
13,0.019317204301075266,0.025273450730518714,0.36972990835114283
14,0.02036021505376344,0.0256390369369398,0.4748738770949019
15,0.02013440860215054,0.024719392935441887,0.47000659463511985
16,0.019779569892473117,0.025045013239606062,0.4186904117687068
17,0.02184408602150538,0.026901752750987603,0.44639690627768236
18,0.022731182795698922,0.028403202908895163,0.36792177968487505
19,0.02060752688172043,0.025638407848172777,0.43292213452459094
